
[00:00:00.000 --> 00:00:04.000]  在正道之先我們同心低頭禱告
[00:00:04.000 --> 00:00:08.400]  神啊我們多謝祢
[00:00:08.400 --> 00:00:12.200]  求祢讓我們帶著一個感恩的心
[00:00:12.200 --> 00:00:14.200]  來領受祢的說話
[00:00:14.200 --> 00:00:17.200]  願意祢得著我們每一個人的心
[00:00:17.200 --> 00:00:20.000]  是呀,很多的雜念
[00:00:20.000 --> 00:00:21.600]  很多的聲音
[00:00:21.600 --> 00:00:23.600]  令我們不能夠專注
[00:00:23.600 --> 00:00:24.900]  但是主這一刻
[00:00:24.900 --> 00:00:26.900]  我們願意分別為誠
[00:00:26.900 --> 00:00:29.700]  將我們的生命全然交託給祢
[00:00:29.700 --> 00:00:31.000]  求祢引導我們
[00:00:31.000 --> 00:00:33.200]  讓我們走出這個會堂的時候
[00:00:33.200 --> 00:00:35.200]  我們帶著祢的說話
[00:00:35.200 --> 00:00:38.200]  活出祢的樣式
[00:00:38.200 --> 00:00:39.200]  多謝祢
[00:00:39.200 --> 00:00:41.200]  聽我們同心合意禱告
[00:00:41.200 --> 00:00:43.500]  奉主耶穌基督聖名祈求
[00:00:43.500 --> 00:00:45.500]  阿們
[00:00:45.500 --> 00:00:49.500]  在俄羅斯有一名
[00:00:49.500 --> 00:00:52.500]  出生21天的嬰兒
[00:00:52.500 --> 00:00:57.500]  在四樓被人拋出窗外慘死
[00:00:57.500 --> 00:01:00.500]  警方調查之後
[00:01:00.500 --> 00:01:02.500]  發現的兒胸
[00:01:02.500 --> 00:01:05.500]  就是這個嬰兒的五歲姐姐
[00:01:05.500 --> 00:01:11.500]  本來在家裡多一個孩子
[00:01:11.500 --> 00:01:13.500]  應該是怎樣
[00:01:13.500 --> 00:01:15.500]  是呀,歡天喜地
[00:01:15.500 --> 00:01:17.500]  快樂的事情
[00:01:17.500 --> 00:01:20.500]  為什麼會變成悲劇呢
[00:01:20.500 --> 00:01:23.500]  真的猜不到
[00:01:23.500 --> 00:01:26.500]  弟兄姊妹
[00:01:26.500 --> 00:01:28.500]  你有沒有試過
[00:01:28.500 --> 00:01:30.500]  因為嫉妒
[00:01:30.500 --> 00:01:33.500]  而做出一些你平常不會做
[00:01:33.500 --> 00:01:36.500]  而非理性的行為呢
[00:01:36.500 --> 00:01:40.500]  小孩子就是這樣
[00:01:40.500 --> 00:01:42.500]  那大人又怎樣呢
[00:01:42.500 --> 00:01:44.500]  大人會不會例外呢
[00:01:44.500 --> 00:01:46.500]  今天我們就透過
[00:01:46.500 --> 00:01:49.500]  《撒姆爾基相》十八章
[00:01:49.500 --> 00:01:51.500]  一至三十節
[00:01:51.500 --> 00:01:53.500]  去看看
[00:01:53.500 --> 00:01:55.500]  以色列第一位的君王
[00:01:55.500 --> 00:01:56.500]  索羅
[00:01:56.500 --> 00:01:58.500]  他能不能逃脫
[00:01:58.500 --> 00:02:02.500]  就問到這個問題
[00:02:02.500 --> 00:02:07.500]  在《撒姆爾基相》十八章六節
[00:02:07.500 --> 00:02:09.500]  的記載
[00:02:09.500 --> 00:02:11.500]  當大衛在伊拉谷
[00:02:11.500 --> 00:02:14.500]  殺死非理士人哥利亞之後
[00:02:14.500 --> 00:02:18.500]  和一眾人回來的時候
[00:02:18.500 --> 00:02:20.500]  那些婦女
[00:02:20.500 --> 00:02:23.500]  從以色列各地各方的
[00:02:23.500 --> 00:02:24.500]  走出來
[00:02:24.500 --> 00:02:26.500]  興高采烈地唱歌
[00:02:26.500 --> 00:02:27.500]  跳舞
[00:02:27.500 --> 00:02:30.500]  拍著那些鈴鼓
