
[00:00:00.000 --> 00:00:04.000]  很開心再次來到18樓
[00:00:04.000 --> 00:00:07.000]  標升的一個很有活力的群體
[00:00:07.000 --> 00:00:10.320]  每次見到大家差不多年紀都很開心
[00:00:10.320 --> 00:00:14.480]  今天很想和大家分享一個極講題
[00:00:14.480 --> 00:00:16.000]  就叫做
[00:00:16.000 --> 00:00:17.000]  哎呀
[00:00:17.000 --> 00:00:19.000]  叫做
[00:00:19.000 --> 00:00:20.000]  好像看不到字
[00:00:20.000 --> 00:00:22.000]  叫做日常中的calling
[00:00:22.000 --> 00:00:25.000]  不知道說到calling的話
[00:00:25.000 --> 00:00:27.000]  你會想起什麼呢
[00:00:27.000 --> 00:00:29.000]  可能會想起像這個圖
[00:00:29.000 --> 00:00:31.000]  可能會想起誰打給你呢
[00:00:31.000 --> 00:00:35.000]  或者每一天你通常收到最多的calling是什麼呢
[00:00:35.000 --> 00:00:39.000]  我記得我平時是這樣講calling
[00:00:39.000 --> 00:00:41.000]  現在的青少年是要這樣講calling
[00:00:41.000 --> 00:00:43.000]  因為現在他們用的不是這種電話
[00:00:43.000 --> 00:00:47.000]  是平的電話
[00:00:47.000 --> 00:00:49.000]  年齡暴露系列
[00:00:49.000 --> 00:00:53.000]  另外calling除了是電話的calling
[00:00:53.000 --> 00:00:57.000]  我想對於基督徒群體都不陌生
[00:00:57.000 --> 00:00:59.000]  但是在屬靈上
[00:00:59.000 --> 00:01:01.000]  上帝對人的呼召
[00:01:01.000 --> 00:01:04.000]  上帝對人生命的一些心意
[00:01:04.000 --> 00:01:07.000]  今天很想透過看《催拉及記》
[00:01:07.000 --> 00:01:08.000]  一段很熟悉的經文
[00:01:08.000 --> 00:01:10.000]  三章一到六節
[00:01:10.000 --> 00:01:15.000]  講的是摩西在荊棘火中與神相遇的經過
[00:01:15.000 --> 00:01:17.000]  我們會看頭半部分
[00:01:17.000 --> 00:01:21.000]  看看對我們有什麼提醒
[00:01:21.000 --> 00:01:23.000]  在過程中
[00:01:23.000 --> 00:01:27.000]  我們一起讀以下的經文
[00:01:27.000 --> 00:01:29.000]  預備起
[00:01:29.000 --> 00:01:32.000]  那時摩西正在目放
[00:01:32.000 --> 00:01:36.000]  岳父米顛濟斯葉剔羅的羊群
[00:01:36.000 --> 00:01:41.000]  有一次他把羊群領到曠野的盡頭去
[00:01:41.000 --> 00:01:43.000]  到了神的山
[00:01:43.000 --> 00:01:45.000]  就是荷列山
[00:01:45.000 --> 00:01:49.000]  耶和華的使者從荊棘重雷的火焰中
[00:01:49.000 --> 00:01:51.000]  向摩西顯現
[00:01:51.000 --> 00:01:53.000]  摩西觀看
[00:01:53.000 --> 00:01:56.000]  看見荊棘被火燒著
[00:01:56.000 --> 00:01:58.000]  卻沒有燒毀
[00:01:58.000 --> 00:01:59.000]  摩西說
[00:01:59.000 --> 00:02:01.000]  我要到那邊去
[00:02:01.000 --> 00:02:03.000]  看看這大異象
[00:02:03.000 --> 00:02:07.000]  這荊棘為什麼燒不掉
[00:02:07.000 --> 00:02:11.000]  耶和華見摩西要到那裡去觀看
[00:02:11.000 --> 00:02:14.000]  神就從荊棘重雷呼叫他
[00:02:14.000 --> 00:02:17.000]  說摩西摩西
[00:02:17.000 --> 00:02:20.000]  摩西說我在這裡
[00:02:20.000 --> 00:02:23.000]  耶和華說不可過渡這裡來
[00:02:23.000 --> 00:02:26.000]  要把你腳上的鞋脫掉
[00:02:26.000 --> 00:02:30.000]  因為你所站的地方是聖地
