
[00:00:00.000 --> 00:00:03.000]  親愛的天父,我滿心感謝讚美你
[00:00:03.000 --> 00:00:06.000]  能夠今早早晨聽你的話語
[00:00:06.000 --> 00:00:08.000]  主也真是起身
[00:00:08.000 --> 00:00:12.000]  覺得新年裡也不知道有什麼可以做到
[00:00:12.000 --> 00:00:16.000]  但我知道將我們最好的獻給你
[00:00:16.000 --> 00:00:19.000]  你是我們的王,求主你也是
[00:00:19.000 --> 00:00:23.000]  以這首歌為我們的中心
[00:00:23.000 --> 00:00:26.000]  時常都尊你名
[00:00:26.000 --> 00:00:28.000]  時常都覺得你是寶貴
[00:00:28.000 --> 00:00:31.000]  無理我們生命,真不算什麼
[00:00:31.000 --> 00:00:33.000]  求主你以愛同在
[00:00:33.000 --> 00:00:35.000]  祈禱奉主耶穌基督的名
[00:00:35.000 --> 00:00:37.000]  阿們
[00:00:37.000 --> 00:00:41.000]  來十八樓講就不難
[00:00:41.000 --> 00:00:43.000]  但十八樓好像是
[00:00:43.000 --> 00:00:46.000]  今次是講職場的系列
[00:00:46.000 --> 00:00:51.000]  我自己就寫了一個職場奇蹟一本書
[00:00:51.000 --> 00:00:53.000]  上個星期很開心的
[00:00:53.000 --> 00:00:55.000]  有一個新同工跟我說
[00:00:55.000 --> 00:01:01.000]  葉牧師,我先生現在才知道你是職場奇蹟的作者
[00:01:01.000 --> 00:01:03.000]  他說這本書寫得很好
[00:01:03.000 --> 00:01:06.000]  所以有機會你們去看這本書
[00:01:06.000 --> 00:01:07.000]  圖書館也有
[00:01:07.000 --> 00:01:10.000]  如果私人WhatsApp我,我都送一本給你
[00:01:10.000 --> 00:01:12.000]  無所謂的,我時常送給同工
[00:01:12.000 --> 00:01:15.000]  好,講職場奇蹟
[00:01:15.000 --> 00:01:18.000]  我今天的題目是齊家釀肉
[00:01:18.000 --> 00:01:21.000]  是一個英文字句
[00:01:21.000 --> 00:01:23.000]  英文字句很受歡迎
[00:01:23.000 --> 00:01:26.000]  叫做It takes a village to raise a child
[00:01:26.000 --> 00:01:28.000]  需要一個鄉村這麼多人
[00:01:28.000 --> 00:01:30.000]  才可以栽培到一個人
[00:01:30.000 --> 00:01:33.000]  即使不是你自己可以做到
[00:01:33.000 --> 00:01:35.000]  我首先講一個見證
[00:01:35.000 --> 00:01:38.000]  我太太Doris師母
[00:01:38.000 --> 00:01:40.000]  我每次寫書
[00:01:40.000 --> 00:01:42.000]  我星期一,星期一出版新書
[00:01:42.000 --> 00:01:46.000]  你看那本書六年裡面都是葉福成
[00:01:46.000 --> 00:01:47.000]  莫屬英的
[00:01:47.000 --> 00:01:49.000]  你不知道莫屬英已經過世了
[00:01:49.000 --> 00:01:52.000]  我寫的書全部都是我太太的
[00:01:52.000 --> 00:01:55.000]  我很尊重她和懷念她
[00:01:55.000 --> 00:01:57.000]  如果你看一次
[00:01:57.000 --> 00:02:00.000]  很好笑,我們過馬路的時候
[00:02:00.000 --> 00:02:03.000]  我們在說誰是英豐牧師
[00:02:03.000 --> 00:02:05.000]  我就說
[00:02:05.000 --> 00:02:11.000]  英豐牧師就是我們教會最有感情的人
[00:02:11.000 --> 00:02:13.000]  邱子斌,Jeffrey一轉過來
[00:02:13.000 --> 00:02:15.000]  他說不是,那個是你
[00:02:15.000 --> 00:02:17.000]  是英豐牌第二
[00:02:17.000 --> 00:02:20.000]  我太太五年半過世之後
[00:02:20.000 --> 00:02:23.000]  巧合中有很多機會
[00:02:23.000 --> 00:02:29.000]  接待年輕人來我家住幾個月
[00:02:29.000 --> 00:02:31.000]  因為你們不知道
[00:02:31.000 --> 00:02:34.000]  我試工很多是和大陸的青年人
[00:02:34.000 --> 00:02:36.000]  無論青年人是廣東話還是華語
[00:02:36.000 --> 00:02:38.000]  我都一樣很疼愛他們
[00:02:38.000 --> 00:02:41.000]  有幾個很特別
[00:02:41.000 --> 00:02:43.000]  和我的關係住了我家三四個月
[00:02:43.000 --> 00:02:46.000]  一個已經五年了
[00:02:46.000 --> 00:02:49.000]  周末在深圳來我家
[00:02:49.000 --> 00:02:51.000]  但因為疫情關了三年
