
[00:00:00.000 --> 00:00:02.800]  首先跟大家說一聲主內平安
[00:00:02.800 --> 00:00:04.800]  最近大家忙看什麼呢?
[00:00:04.800 --> 00:00:05.800]  (奧運)
[00:00:05.800 --> 00:00:06.800]  奧運啦!
[00:00:06.800 --> 00:00:07.600]  是啦!
[00:00:07.600 --> 00:00:09.100]  大家都忙於看奧運啦
[00:00:09.100 --> 00:00:12.300]  那奧運我比較喜歡看的就是這個
[00:00:12.300 --> 00:00:13.100]  羽毛球啦
[00:00:13.100 --> 00:00:14.400]  還有田徑的
[00:00:14.400 --> 00:00:17.700]  但是由於張家朗和江文偉的緣故
[00:00:17.700 --> 00:00:20.400]  我就喜歡看這個劍擊啦
[00:00:20.400 --> 00:00:20.900]  是啦!
[00:00:20.900 --> 00:00:23.700]  那我想大家都很期望
[00:00:23.700 --> 00:00:25.900]  何詩蓓也能拿到金牌的
[00:00:25.900 --> 00:00:26.900]  但是拿不到
[00:00:26.900 --> 00:00:29.400]  只能拿到銅牌
[00:00:29.400 --> 00:00:31.200]  但其實已經是很厲害的事
[00:00:31.200 --> 00:00:34.000]  因為我們香港有多少人口?
[00:00:34.000 --> 00:00:35.200]  七百多萬人
[00:00:35.200 --> 00:00:40.000]  但我們跟幾億、幾千億的國家去比拼
[00:00:40.000 --> 00:00:43.200]  而拿到銅牌的確是一件不容易的事
[00:00:43.200 --> 00:00:45.200]  其實所有香港運動員
[00:00:45.200 --> 00:00:47.000]  拿到牌和拿不到牌
[00:00:47.000 --> 00:00:50.200]  其實都是我們香港人的驕傲
[00:00:50.200 --> 00:00:50.700]  是啦!
[00:00:50.700 --> 00:00:52.500]  說到何詩蓓
[00:00:52.500 --> 00:00:54.700]  她除了游泳厲害
[00:00:54.700 --> 00:00:56.600]  還有她的笑容可愛之外
[00:00:56.600 --> 00:00:58.700]  有什麼吸引我們呢?
[00:00:59.500 --> 00:01:00.700]  她的身形
[00:01:00.700 --> 00:01:02.900]  很抖、很大隻的
[00:01:02.900 --> 00:01:04.500]  應該有六塊腹肌的
[00:01:04.500 --> 00:01:06.300]  我曾經也有六塊腹肌的
[00:01:06.300 --> 00:01:08.600]  因為我曾經參加學校的羽毛球隊
[00:01:08.600 --> 00:01:11.900]  但現在六塊腹肌變成一塊腹肌了
[00:01:11.900 --> 00:01:12.400]  是啦!
[00:01:12.400 --> 00:01:15.400]  何詩蓓有這麼強健的身體
[00:01:15.400 --> 00:01:17.300]  除了鍛鍊之外
[00:01:17.300 --> 00:01:20.500]  應該她也吃很多補充劑
[00:01:20.500 --> 00:01:22.600]  就是建立那些肌肉
[00:01:22.600 --> 00:01:25.100]  我們基督徒在我們的屬靈生命
[00:01:25.100 --> 00:01:28.300]  其實都需要吃一些補充劑
[00:01:28.300 --> 00:01:31.300]  以致我們有一個強健的屬靈生命
[00:01:31.300 --> 00:01:35.600]  今天我也很想介紹大家吃幾種補充劑
[00:01:35.600 --> 00:01:37.300]  幫助一下大家的信心
[00:01:37.300 --> 00:01:41.300]  希望建立大家一個更加有強壯的信心
[00:01:41.300 --> 00:01:46.100]  今天的講題就是使信心增強的補充劑
[00:01:46.100 --> 00:01:50.300]  取自於彼得後書的一章五至十一節
[00:01:50.300 --> 00:01:52.100]  在十二使徒裡面
[00:01:52.100 --> 00:01:54.800]  彼得是耶穌最看重的一位
