
[00:00:00.000 --> 00:00:06.520]  今日呢輪天氣有時下雨,有時晴天,
[00:00:06.520 --> 00:00:10.000]  不知大家有沒有被雨淋濕呢?
[00:00:10.000 --> 00:00:15.000]  我想感恩大家今日回來時天氣剛剛好。
[00:00:15.000 --> 00:00:19.000]  我們又想一下過去幾十年,
[00:00:19.000 --> 00:00:24.000]  其實各個國家經濟發展很急速,
[00:00:24.000 --> 00:00:26.000]  如果感受到,
[00:00:26.000 --> 00:00:30.000]  科技日新月異,很多AI突然出現,
[00:00:30.000 --> 00:00:33.000]  未來又不知我們要學些什麼,
[00:00:33.000 --> 00:00:36.000]  可能不用學了,講笑就行了。
[00:00:36.000 --> 00:00:40.000]  世界好像一片繁榮景象,
[00:00:40.000 --> 00:00:45.000]  很多人高舉人定勝天的思想,
[00:00:45.000 --> 00:00:48.000]  但過去三年新冠疫情,
[00:00:48.000 --> 00:00:52.000]  其實全世界都經歷了驚濤駭浪,
[00:00:52.000 --> 00:00:55.000]  經濟幾乎崩潰,
[00:00:55.000 --> 00:00:57.000]  今年初開始緩和,
[00:00:57.000 --> 00:01:02.000]  但出現不少後遺症,很多問題,
[00:01:02.000 --> 00:01:06.000]  很多人感受到人生難以掌控,
[00:01:06.000 --> 00:01:08.000]  又有很多無奈,
[00:01:08.000 --> 00:01:14.000]  因此坊間很多人去敬拜鬼神,
[00:01:14.000 --> 00:01:18.000]  過兩天就是盂蘭節,
[00:01:18.000 --> 00:01:20.000]  大家都留意到,
[00:01:20.000 --> 00:01:24.000]  附近很多地方,
[00:01:24.000 --> 00:01:29.000]  甚至去到沙灘近來都見到燒衣的跡象,
[00:01:29.000 --> 00:01:32.000]  很多人遇到盂蘭節,又叫鬼節,
[00:01:32.000 --> 00:01:36.000]  坊間對盂蘭節都有很多禁忌,
[00:01:36.000 --> 00:01:40.000]  特別第一個禁忌就是,
[00:01:40.000 --> 00:01:43.000]  要避免去荒郊野嶺,
[00:01:43.000 --> 00:01:47.000]  或者曾經有靈異傳說的地方,
[00:01:47.000 --> 00:01:49.000]  今天跟大家講的經文,
[00:01:49.000 --> 00:01:52.000]  耶穌和門徒剛剛相反,
[00:01:52.000 --> 00:01:56.000]  他們刻意去到這些地方,
[00:01:56.000 --> 00:01:58.000]  他們有什麼目的呢?
[00:01:58.000 --> 00:02:06.000]  今天講到耶穌和門徒在海上經歷了驚濤駭浪,
[00:02:06.000 --> 00:02:09.000]  門徒驚魂都未定,
[00:02:09.000 --> 00:02:12.000]  來到格拉森墳場,
[00:02:12.000 --> 00:02:15.000]  是一個旅程,
[00:02:15.000 --> 00:02:18.000]  經歷兩件驚心動魄的神蹟,
[00:02:18.000 --> 00:02:23.000]  請大家一起讀出今天第一段經文,
[00:02:23.000 --> 00:02:27.000]  馬福音4章35到41節,
[00:02:28.000 --> 00:02:32.000]  那天晚上,耶穌對門徒說,
[00:02:32.000 --> 00:02:35.000]  我們到過對岸去,
[00:02:35.000 --> 00:02:37.000]  門徒離開眾人,
[00:02:37.000 --> 00:02:39.000]  耶穌已在船上,
[00:02:39.000 --> 00:02:42.000]  他們就請他一同去,
[00:02:42.000 --> 00:02:45.000]  也有別的船和他同行,
[00:02:45.000 --> 00:02:47.000]  忽然狂風大作,
[00:02:47.000 --> 00:02:49.000]  波浪打入船內,
[00:02:49.000 --> 00:02:52.000]  以至船灌滿了水,
[00:02:52.000 --> 00:02:54.000]  耶穌在船尾上,
