
[00:00:00.000 --> 00:00:02.000]  我先介紹一下我自己
[00:00:02.000 --> 00:00:04.000]  我是來自馬鞍山堂的童宮
[00:00:04.000 --> 00:00:06.000]  大家叫我美恩就可以了
[00:00:06.000 --> 00:00:08.000]  都想帶來馬鞍山堂
[00:00:08.000 --> 00:00:11.000]  頂姐妹和童宮的文案
[00:00:11.000 --> 00:00:13.000]  我自己就很開心
[00:00:13.000 --> 00:00:16.000]  今天第一次來到北區的子堂
[00:00:16.000 --> 00:00:18.000]  即是堂子
[00:00:18.000 --> 00:00:20.000]  我們都等了很久
[00:00:20.000 --> 00:00:22.000]  來到當中都很感恩
[00:00:22.000 --> 00:00:24.000]  讓我們在聽到之前
[00:00:24.000 --> 00:00:26.000]  我們再一次低頭同心去祈禱
[00:00:28.000 --> 00:00:29.000]  求主多謝祢
[00:00:29.000 --> 00:00:30.000]  神多謝祢
[00:00:30.000 --> 00:00:33.000]  祢是那位配授一切重讚榮耀的主
[00:00:33.000 --> 00:00:35.000]  我們獻上感恩
[00:00:35.000 --> 00:00:38.000]  我們一還有氣息的時候
[00:00:38.000 --> 00:00:39.000]  我們就去讚美祢
[00:00:39.000 --> 00:00:41.000]  因為祢實在是配得
[00:00:41.000 --> 00:00:42.000]  多謝主
[00:00:42.000 --> 00:00:44.000]  我們都將以下我們聽到
[00:00:44.000 --> 00:00:46.000]  講到的時間交託
[00:00:46.000 --> 00:00:47.000]  求主祢帶領
[00:00:47.000 --> 00:00:48.000]  無論聽的
[00:00:48.000 --> 00:00:49.000]  無論講的
[00:00:49.000 --> 00:00:51.000]  我們再一次被祢寶貴的話語
[00:00:51.000 --> 00:00:55.000]  去更新改變我們的心思意念
[00:00:55.000 --> 00:00:57.000]  更加求主祢更新我們的生命
[00:00:57.000 --> 00:01:00.000]  活出祢自己寶貴的說話
[00:01:00.000 --> 00:01:01.000]  我們祈禱交託
[00:01:01.000 --> 00:01:04.000]  是奉主耶穌得勝的名字而求
[00:01:04.000 --> 00:01:05.000]  阿們
[00:01:05.000 --> 00:01:08.000]  有一篇文章叫做
[00:01:08.000 --> 00:01:13.000]  香港人正面對的幾大人生抉擇
[00:01:13.000 --> 00:01:15.000]  裏面提到
[00:01:15.000 --> 00:01:19.000]  香港人近幾年面對什麼樣的抉擇
[00:01:19.000 --> 00:01:21.000]  我們看看有沒有一些
[00:01:21.000 --> 00:01:24.000]  都是我們需要面對的抉擇
[00:01:24.000 --> 00:01:27.000]  第一個抉擇就是去與留
[00:01:27.000 --> 00:01:30.000]  身在何處心往哪裏
[00:01:30.000 --> 00:01:34.000]  我相信這幾年留下和離開
[00:01:34.000 --> 00:01:38.000]  都是香港最普遍的集體抉擇之一
[00:01:38.000 --> 00:01:41.000]  留下的原因可能有很多
[00:01:41.000 --> 00:01:44.000]  包括可能家人仍然在香港
[00:01:44.000 --> 00:01:47.000]  這裏有我們熟悉的文化生活
[00:01:47.000 --> 00:01:50.000]  有我們的事業和人物
[00:01:50.000 --> 00:01:53.000]  也對這個城市我們有感情
[00:01:53.000 --> 00:01:55.000]  而離開的原因
[00:01:55.000 --> 00:01:58.000]  可能希望有更大的生活空間
