
[00:00:00.000 --> 00:00:02.680]  弟兄姊妹,今天宣講的講題是
[00:00:02.680 --> 00:00:05.280]  「天國的三堅一共」
[00:00:05.280 --> 00:00:09.800]  所宣講的經文是《路加福音》的十八章一到八節
[00:00:09.800 --> 00:00:11.960]  此刻容讓我們開始正道之先
[00:00:11.960 --> 00:00:14.200]  一起低頭同心有個禱告
[00:00:14.200 --> 00:00:19.440]  掌管天地萬有
[00:00:19.440 --> 00:00:21.640]  信實不變的天父上帝
[00:00:21.640 --> 00:00:23.640]  我們感謝祢,讚美祢
[00:00:23.640 --> 00:00:27.400]  感謝祢一直默默地看顧照顧我們
[00:00:27.880 --> 00:00:31.880]  使我們仍有生命氣息敬拜和讚頌祢
[00:00:31.880 --> 00:00:36.680]  聽祢的話語親自向我們每一個生命說話
[00:00:36.680 --> 00:00:39.880]  願聖靈親自在我們中間運行
[00:00:39.880 --> 00:00:41.520]  高滿祢僕人的口
[00:00:41.520 --> 00:00:43.520]  成為祢流通的管子
[00:00:43.520 --> 00:00:44.880]  合用的器皿
[00:00:44.880 --> 00:00:48.560]  使我們能清楚明白、傾流祢的話語
[00:00:48.560 --> 00:00:52.080]  也求聖靈親自打開每一位會眾的心
[00:00:52.080 --> 00:00:56.400]  使我們每一位都能領受祢的話語親自的教導
[00:00:56.720 --> 00:00:58.200]  謹記在心中
[00:00:58.200 --> 00:01:00.440]  在祢的整個根階
[00:01:00.440 --> 00:01:02.080]  等候祢再來
[00:01:02.080 --> 00:01:04.280]  承聖生命的路上
[00:01:04.280 --> 00:01:08.040]  在基督裡堅定祢持守、見證
[00:01:08.040 --> 00:01:10.320]  一生與祢約中有份
[00:01:10.320 --> 00:01:14.800]  以上的禱告乃奉教主耶穌基督得勝的明字而求
[00:01:14.800 --> 00:01:15.680]  阿們
[00:01:15.680 --> 00:01:17.920]  兄弟姐妹
[00:01:17.920 --> 00:01:20.880]  記得自己在未信主之前
[00:01:20.880 --> 00:01:24.280]  在電影市場還是百花齊放的時候
[00:01:24.280 --> 00:01:26.480]  我也很喜歡進去戲院看電影
[00:01:26.680 --> 00:01:27.840]  大家喜不喜歡?
[00:01:27.840 --> 00:01:29.440]  都喜歡吧
[00:01:29.440 --> 00:01:32.400]  尤其是鍾情那些鬥智鬥力
[00:01:32.400 --> 00:01:35.400]  劇力萬軍的那些犯罪的片種
[00:01:35.400 --> 00:01:37.240]  但其實有一點
[00:01:37.240 --> 00:01:39.280]  其實我每次進戲院看
[00:01:39.280 --> 00:01:40.400]  看得很不明白
[00:01:40.400 --> 00:01:45.680]  每次都帶著揮之不去、不解的懸念離開戲院
[00:01:45.680 --> 00:01:48.560]  就是每當故事的劇情
[00:01:48.560 --> 00:01:50.280]  發展的推演
[00:01:50.280 --> 00:01:53.720]  鏡頭一方面聚焦在正義之師
[00:01:53.720 --> 00:01:56.280]  往往將要在行動出發之前
[00:01:56.760 --> 00:01:57.480]  會怎樣?
[00:01:57.480 --> 00:02:00.840]  大家有沒有這個印象?
[00:02:00.840 --> 00:02:03.560]  就是會走去拜一下關二哥
[00:02:03.560 --> 00:02:07.000]  去祈求一下他們行動的順利
[00:02:07.000 --> 00:02:09.520]  補一下他們一切的平安大吉
[00:02:09.520 --> 00:02:11.520]  但鏡頭一邊相
[00:02:11.520 --> 00:02:13.600]  又轉去另一個鏡頭的時候
[00:02:13.600 --> 00:02:17.800]  他聚焦在一些要去吃大茶飯的反派身上的時候
[00:02:17.800 --> 00:02:19.040]  那又會怎樣?
[00:02:19.040 --> 00:02:20.760]  對呀
[00:02:20.760 --> 00:02:23.360]  又會不厭其煩地去找一下二哥
[00:02:23.360 --> 00:02:25.840]  去拉一下關係、去關照一下
[00:02:26.440 --> 00:02:27.320]  弟兄姊妹
[00:02:27.320 --> 00:02:31.000]  其實黑白兩道都找二哥幫幫忙
[00:02:31.000 --> 00:02:32.680]  去搞一下關係的時候
[00:02:32.680 --> 00:02:36.800]  其實要跟自己那邊的兄弟去講義氣
[00:02:36.800 --> 00:02:38.280]  稱兄道弟
