
[00:00:00.000 --> 00:00:03.200]  好 喂喂喂 OK
[00:00:03.200 --> 00:00:06.200]  好 弟兄姊妹早晨
[00:00:06.200 --> 00:00:10.000]  今天是我們新一年第一次去更改崇拜時間之後
[00:00:10.000 --> 00:00:15.000]  第一個星期 很開心看到你們的樣子好像都精神了一點
[00:00:15.000 --> 00:00:18.000]  不知道你們剛剛有沒有去吃早餐
[00:00:18.000 --> 00:00:21.000]  大家都知道今年是多少年
[00:00:21.000 --> 00:00:26.000]  2024 我聽到有人說2025
[00:00:26.000 --> 00:00:30.000]  很開心新年第一個星期跟大家分享上來的訊息
[00:00:30.000 --> 00:00:33.000]  你知道2025要做一個手勢嗎
[00:00:33.000 --> 00:00:34.000]  知道是什麼嗎
[00:00:34.000 --> 00:00:37.000]  40
[00:00:37.000 --> 00:00:41.000]  是做一個5字 因為是2025年
[00:00:41.000 --> 00:00:43.000]  很想大家先給我5
[00:00:43.000 --> 00:00:46.000]  有些人都給我5
[00:00:46.000 --> 00:00:48.000]  大家都新年快樂
[00:00:48.000 --> 00:00:49.000]  我看到後面都給
[00:00:49.000 --> 00:00:54.000]  好 我不知道新年的時候你們看IG或者threads
[00:00:54.000 --> 00:01:00.000]  可能很多時候都會有人問新年有什麼目標
[00:01:00.000 --> 00:01:05.000]  我想新年去訂立新的目標代表什麼呢
[00:01:05.000 --> 00:01:09.000]  我想每個人心裡對於新的開始新一年
[00:01:09.000 --> 00:01:12.000]  都有一些期望期待去有些轉變
[00:01:12.000 --> 00:01:16.000]  不知道新一年你訂立了什麼目標
[00:01:16.000 --> 00:01:18.000]  或者想有什麼改變
[00:01:18.000 --> 00:01:21.000]  31號晚上我沒有出去倒數
[00:01:21.000 --> 00:01:23.000]  和幾個朋友一起
[00:01:23.000 --> 00:01:25.000]  進入2025前的一個小時
[00:01:25.000 --> 00:01:30.000]  有個朋友突然和我說不如我們一起訂立目標
[00:01:30.000 --> 00:01:35.000]  我們三個不約而同都說了一個說話
[00:01:35.000 --> 00:01:38.000]  我們想新一年身體健康多一點
[00:01:38.000 --> 00:01:40.000]  就想一起做運動
[00:01:40.000 --> 00:01:44.000]  我們三個人就說每個星期要做兩次運動
[00:01:44.000 --> 00:01:47.000]  打卡拍了你們做什麼運動
[00:01:47.000 --> 00:01:48.000]  然後發回群組
[00:01:48.000 --> 00:01:50.000]  希望可以互相監察
[00:01:50.000 --> 00:01:53.000]  希望這個目標可以改變
[00:01:53.000 --> 00:01:55.000]  而不是一個說詞
[00:01:55.000 --> 00:01:59.000]  今天很想和大家分享一個講題是什麼呢
[00:01:59.000 --> 00:02:03.000]  是新一年如何經歷神作
[00:02:03.000 --> 00:02:04.000]  神作是什麼呢
[00:02:04.000 --> 00:02:07.000]  可能你看漫畫或者遊戲都很想說
[00:02:07.000 --> 00:02:09.000]  就是公認的神作是一個masterpiece
[00:02:09.000 --> 00:02:15.000]  但很想說我們的生命都可以是上帝一個很奇妙的masterpiece
[00:02:15.000 --> 00:02:17.000]  今天的神作是說
[00:02:17.000 --> 00:02:21.000]  上帝在我們生命中有作為和工作
[00:02:21.000 --> 00:02:24.000]  不過我們要去經歷的時候
[00:02:24.000 --> 00:02:29.000]  我們想體會到、經驗到、taste到生命的作為的時候
[00:02:29.000 --> 00:02:34.000]  我們的心態或者我們在思想上都需要作出一些改變
[00:02:34.000 --> 00:02:39.000]  新一年很想透過《約翰福音》2章1到11節
[00:02:39.000 --> 00:02:41.000]  是耶穌所行的第一個神蹟
[00:02:41.000 --> 00:02:42.000]  也是水變酒的神蹟
[00:02:42.000 --> 00:02:47.000]  去看看對於我們今天有什麼提醒和學習
[00:02:47.000 --> 00:02:50.000]  我們一起去讀以下的經文
[00:02:50.000 --> 00:02:51.000]  我們預備起
[00:02:51.000 --> 00:02:56.000]  第三天在加利利的加拿大有一個婚宴
[00:02:56.000 --> 00:02:59.000]  耶穌的母親在那裡
[00:02:59.000 --> 00:03:03.000]  耶穌和祂的門徒也被請去赴宴
[00:03:03.000 --> 00:03:04.000]  酒用完了
[00:03:04.000 --> 00:03:07.000]  耶穌的母親對她說
[00:03:07.000 --> 00:03:09.000]  他們沒有酒了
[00:03:09.000 --> 00:03:12.000]  耶穌說:母親,我與你何干呢?
[00:03:12.000 --> 00:03:14.000]  我的時候還沒有到
[00:03:14.000 --> 00:03:16.000]  他母親對傭人說
[00:03:16.000 --> 00:03:20.000]  她告訴你們什麼,你們就做吧
[00:03:20.000 --> 00:03:23.000]  照猶太人的正理規矩
[00:03:23.000 --> 00:03:26.000]  有六口石缸擺在那裡
[00:03:26.000 --> 00:03:29.000]  每口可以乘兩三桶水
[00:03:29.000 --> 00:03:32.000]  耶穌對傭人說
[00:03:32.000 --> 00:03:34.000]  把缸倒滿水
[00:03:34.000 --> 00:03:36.000]  他們就倒滿了
[00:03:36.000 --> 00:03:37.000]  直到缸口
[00:03:37.000 --> 00:03:39.000]  耶穌又說
[00:03:39.000 --> 00:03:43.000]  現在要出來送給宴會總管
[00:03:43.000 --> 00:03:45.000]  他們就送了去
[00:03:45.000 --> 00:03:48.000]  宴會總管嘗了那水變的酒
[00:03:48.000 --> 00:03:51.000]  並不是來的
[00:03:51.000 --> 00:03:54.000]  只有要水的傭人知道
[00:03:54.000 --> 00:03:57.000]  於是宴會總管叫新郎來
[00:03:57.000 --> 00:03:59.000]  對他說
[00:03:59.000 --> 00:04:02.000]  人家都是先擺上好酒
[00:04:02.000 --> 00:04:05.000]  等客人喝夠了才擺上次的
[00:04:05.000 --> 00:04:08.000]  你倒把好酒留到現在
[00:04:08.000 --> 00:04:12.000]  這是耶穌所行的第一個神蹟
[00:04:12.000 --> 00:04:15.000]  是在加里里的加拿行的
[00:04:15.000 --> 00:04:17.000]  顯出了他的榮耀來
