
[00:00:00.000 --> 00:00:04.000]  很開心在12月31日晚
[00:00:04.000 --> 00:00:06.460]  我們能夠彼此見面
[00:00:06.460 --> 00:00:08.800]  一起去敬拜神
[00:00:08.800 --> 00:00:11.000]  今天我們要思想的經文
[00:00:11.000 --> 00:00:13.880]  記載在138篇
[00:00:13.880 --> 00:00:16.280]  第1至第8節
[00:00:16.280 --> 00:00:20.640]  我請姐妹為我們稍後讀出1至3節
[00:00:20.640 --> 00:00:23.280]  4至6節我邀請弟兄讀
[00:00:23.280 --> 00:00:27.280]  然後最後那段7至8節就由我來讀
[00:00:27.280 --> 00:00:29.680]  好 準備起立 姐妹
[00:00:29.680 --> 00:00:31.160]  好 123
[00:00:31.480 --> 00:00:33.880]  我要一心稱謝祢
[00:00:33.880 --> 00:00:37.080]  在諸神面前歌頌祢
[00:00:37.080 --> 00:00:40.040]  我要向祢的聖殿下拜
[00:00:40.040 --> 00:00:43.120]  我要因祢的慈愛和信實
[00:00:43.120 --> 00:00:45.000]  重揚祢的名
[00:00:45.000 --> 00:00:48.040]  因祢使祢的名和祢的言語
[00:00:48.040 --> 00:00:51.160]  顯為大 超乎一切
[00:00:51.160 --> 00:00:52.840]  我呼求的日子
[00:00:52.840 --> 00:00:54.480]  祢應允我
[00:00:54.480 --> 00:00:57.880]  使我壯膽 心裡有能力
[00:00:57.880 --> 00:01:23.880]  (閩南語)
[00:01:23.880 --> 00:01:26.360]  我雖困在患難中
[00:01:26.360 --> 00:01:28.360]  祢必將我救活
[00:01:28.360 --> 00:01:30.360]  我的仇敵發怒
[00:01:30.360 --> 00:01:32.960]  祢必伸手抵擋他們
[00:01:32.960 --> 00:01:35.960]  祢的右手也必拯救我
[00:01:35.960 --> 00:01:40.360]  (閩南語)
[00:01:40.360 --> 00:01:44.360]  (閩南語)
[00:01:44.360 --> 00:01:47.960]  求祢不要離棄祢所做的
[00:01:47.960 --> 00:01:49.960]  我們一起同心禱告
[00:01:52.960 --> 00:01:57.960]  差的天賦就好像我們剛才所讀的經文話
[00:01:57.960 --> 00:02:02.560]  「惹禍雖崇高卻看顧卑微的人」
[00:02:02.560 --> 00:02:05.160]  過去這一年無論是我們自己
[00:02:05.160 --> 00:02:08.160]  又或者我們所身處的世界
[00:02:08.160 --> 00:02:13.360]  都經歷了很多驚濤駭浪的時間
[00:02:13.360 --> 00:02:15.360]  今晚在座我們每一位
[00:02:15.360 --> 00:02:17.960]  能夠清清神神回到來崇拜
