
[00:00:00.000 --> 00:00:03.000]  有沒有看亞運?
[00:00:03.000 --> 00:00:05.000]  沒有呀?
[00:00:05.000 --> 00:00:07.000]  新聞應該都有吧?
[00:00:07.000 --> 00:00:09.000]  新聞都沒有?
[00:00:09.000 --> 00:00:11.000]  我都只是看新聞
[00:00:11.000 --> 00:00:13.000]  都知道今年的亞運
[00:00:13.000 --> 00:00:15.000]  港隊表現很好
[00:00:15.000 --> 00:00:16.000]  知道吧?
[00:00:16.000 --> 00:00:18.000]  拿了很多金牌
[00:00:18.000 --> 00:00:20.000]  所有獎牌都有增加
[00:00:20.000 --> 00:00:23.000]  其中一個我想最多人熟悉的
[00:00:23.000 --> 00:00:26.000]  就是何詩蓓
[00:00:26.000 --> 00:00:30.000]  她在2014年已經是第一次參加亞運
[00:00:30.000 --> 00:00:32.000]  上屆因傷缺陣
[00:00:32.000 --> 00:00:35.000]  9年之後再次參賽
[00:00:35.000 --> 00:00:36.000]  厲害了
[00:00:36.000 --> 00:00:38.000]  當年第一次參賽
[00:00:38.000 --> 00:00:40.000]  她是憑著接力項目
[00:00:40.000 --> 00:00:42.000]  來站上頒獎台
[00:00:42.000 --> 00:00:47.000]  但今年她橫掃兩金一銀三銅
[00:00:47.000 --> 00:00:50.000]  已經成為一個世界級的飛魚
[00:00:50.000 --> 00:00:54.000]  成為今屆港隊獎牌之后
[00:00:54.000 --> 00:00:58.000]  其中一項100米自由泳打破亞洲紀錄
[00:00:58.000 --> 00:01:00.000]  很厲害吧?
[00:01:00.000 --> 00:01:02.000]  2014年她第一次參賽
[00:01:02.000 --> 00:01:04.000]  她當時是運動員
[00:01:04.000 --> 00:01:07.000]  她不是那時才接受訓練
[00:01:07.000 --> 00:01:09.000]  只不過2014年之後
[00:01:09.000 --> 00:01:12.000]  她再接受一個盡心訓練
[00:01:12.000 --> 00:01:14.000]  再嚴格些訓練
[00:01:14.000 --> 00:01:15.000]  成績有目共睹
[00:01:15.000 --> 00:01:18.000]  其實奧運的時候我們都見到
[00:01:18.000 --> 00:01:21.000]  所以她經過嚴格訓練之後
[00:01:21.000 --> 00:01:23.000]  所得出的成績
[00:01:23.000 --> 00:01:25.000]  其實對我們的生命都是一樣
[00:01:25.000 --> 00:01:27.000]  我們都不是初信者
[00:01:27.000 --> 00:01:30.000]  我們都跟隨神有一段日子
[00:01:30.000 --> 00:01:32.000]  你想不想你的生命
[00:01:32.000 --> 00:01:35.000]  好像何詩蓓一樣呢?
[00:01:35.000 --> 00:01:39.000]  讓我們一起祈禱吧
[00:01:39.000 --> 00:01:42.000]  親愛的主,我們同心來到祢的面前
[00:01:42.000 --> 00:01:46.000]  求真理的聖靈帶領我們進入祢的真理當中
[00:01:46.000 --> 00:01:47.000]  聽我們禱告
