
[00:00:00.000 --> 00:00:04.920]  謝謝Kip的Praise Team帶我們剛才有很完整的詩歌
[00:00:04.920 --> 00:00:06.720]  我不知道大家覺得是不是很完整
[00:00:06.720 --> 00:00:09.120]  我真的覺得有性靈的感動
[00:00:09.120 --> 00:00:12.800]  跟今天的訊息的詩篇131篇也很吻合
[00:00:12.800 --> 00:00:15.440]  而且我越來越覺得很投入敬拜的人
[00:00:15.440 --> 00:00:19.520]  連身體語言都反映了詩歌裡面的精髓
[00:00:19.520 --> 00:00:21.280]  所以我為此很感恩
[00:00:21.280 --> 00:00:24.560]  讓我們一起在領受神的訊息之前一起禱告
[00:00:24.560 --> 00:00:26.960]  榮耀天父我們來到你面前
[00:00:26.960 --> 00:00:30.400]  心裡面真的很想你安定我們下來
[00:00:30.400 --> 00:00:35.280]  我們真的很願意很願意聽到感受到你的心跳
[00:00:35.280 --> 00:00:38.480]  同時我們因為你的光芒在你的光裡面
[00:00:38.480 --> 00:00:41.120]  我們願意我們的心都被你照遍
[00:00:41.120 --> 00:00:43.080]  將黑暗驅散
[00:00:43.080 --> 00:00:48.280]  將美、善、真留下來在我們的內心裡面
[00:00:48.280 --> 00:00:52.560]  特別經過社會事件到疫情到現在的日子裡面
[00:00:52.560 --> 00:00:55.760]  或許我們心裡面仍然有很多積壓了
[00:00:55.760 --> 00:00:58.160]  還沒有完全沉澱下來
[00:00:58.160 --> 00:01:00.920]  很多擋住我們靈命前行
[00:01:00.920 --> 00:01:05.040]  信心高攀的種種的難處障礙
[00:01:05.040 --> 00:01:07.480]  求主你一一都釋放我們的心
[00:01:07.480 --> 00:01:11.160]  因為我們真的要學從你的話裡面保守你的心
[00:01:11.160 --> 00:01:12.240]  保守我們的心
[00:01:12.240 --> 00:01:14.960]  因為一生的果效真的由心發出
[00:01:14.960 --> 00:01:16.960]  所以求主眷顧我們每一個人
[00:01:16.960 --> 00:01:20.080]  在聽到並且願意神的道
[00:01:20.080 --> 00:01:21.840]  就好像剛才詩歌一樣
[00:01:21.840 --> 00:01:25.280]  感動我們能夠在主裡面得到盼望
[00:01:25.280 --> 00:01:26.440]  得到力量
[00:01:26.440 --> 00:01:30.560]  高攀我們生命裡面種種的障礙和軟弱
[00:01:30.560 --> 00:01:33.480]  我們將以以下時間完全交託
[00:01:33.480 --> 00:01:35.320]  禱告奉耶穌的名求
[00:01:35.320 --> 00:01:36.320]  阿門
[00:01:36.320 --> 00:01:41.840]  今天講到的詩篇131篇
[00:01:41.840 --> 00:01:43.320]  大家節目早晨
[00:01:43.320 --> 00:01:47.520]  好,我們見到都好像平時中堂那麼傻
[00:01:47.520 --> 00:01:51.320]  我們離開去年疫情解禁
[00:01:51.320 --> 00:01:54.440]  至到現在是不是應該是去年三月到二月到
[00:01:54.440 --> 00:01:56.720]  現在就是年半了,是不是
[00:01:56.720 --> 00:02:00.320]  OK,有多少人覺得你生活已經回復回靈命
[00:02:00.320 --> 00:02:02.680]  身心靈狀態是回復回安穩
[00:02:02.680 --> 00:02:04.520]  你覺得你已經很有能很有力
[00:02:04.520 --> 00:02:06.800]  重建到敬虔生命的彰顯
[00:02:06.800 --> 00:02:08.600]  舉手看看
[00:02:08.600 --> 00:02:09.600]  都已經走回了
[00:02:09.600 --> 00:02:12.240]  起碼不會走著走著又滑腳又跌
[00:02:12.240 --> 00:02:13.400]  經常跌
[00:02:13.400 --> 00:02:16.000]  在待人處事上面都已經
[00:02:16.000 --> 00:02:18.480]  你覺得恢復回一定程度上的靈力
[00:02:18.480 --> 00:02:19.600]  如果你有這樣的情況
[00:02:19.600 --> 00:02:21.480]  我真的覺得很感恩
[00:02:21.480 --> 00:02:22.920]  不過不知道大家同不同意
[00:02:22.920 --> 00:02:25.920]  其實打仗的風聲沒有少過的
[00:02:25.920 --> 00:02:28.840]  末世的預兆亦是越來越頻繁
[00:02:28.840 --> 00:02:30.160]  以及越來越多
[00:02:30.160 --> 00:02:33.240]  我們的心靈能不能夠仍然有安靜穩妥
[00:02:33.240 --> 00:02:35.400]  心靈的定向去抓緊上帝
[00:02:35.400 --> 00:02:37.960]  或者被上帝抓緊去面對明天
[00:02:37.960 --> 00:02:41.320]  持續我們的靈能夠為主發光
[00:02:41.320 --> 00:02:45.640]  這個是我們心裏面很緊張的一樣東西
[00:02:45.640 --> 00:02:50.120]  我發覺過了年紀解禁之後
[00:02:50.120 --> 00:02:54.320]  其實開始我反而開始察覺到團體裏面的肢體
[00:02:54.320 --> 00:02:56.680]  我留意到有一樣東西開始越來越浮現
[00:02:56.680 --> 00:02:59.600]  原來社會事件至於疫情期間
[00:02:59.600 --> 00:03:01.560]  我們心裏面有很多心結
[00:03:01.560 --> 00:03:03.880]  很多說不出的難處
[00:03:03.880 --> 00:03:05.040]  掙扎
[00:03:05.040 --> 00:03:07.320]  而一直已經習慣了
[00:03:07.320 --> 00:03:09.040]  不是很敢跟身邊的人說
[00:03:09.040 --> 00:03:11.840]  亦不是很懂得分享自己心靈裏面的軟弱
[00:03:11.840 --> 00:03:13.960]  所以其實我感受到
[00:03:13.960 --> 00:03:16.880]  越來越多大英姐妹是有很多
[00:03:16.880 --> 00:03:19.080]  復常之後要在團體裏面
[00:03:19.080 --> 00:03:22.240]  復常那種信任、建立、交心
[00:03:22.240 --> 00:03:25.480]  原來是有一定程度上的困難
[00:03:25.480 --> 00:03:28.240]  不知道大家同不同意每一天的動盪、新聞
[00:03:28.240 --> 00:03:29.760]  最近減息了
[00:03:29.760 --> 00:03:33.880]  大家有多少人會覺得心靈為之一振的角色
[00:03:33.880 --> 00:03:34.920]  有多少人覺得的
[00:03:34.920 --> 00:03:35.800]  舉手
[00:03:35.800 --> 00:03:36.520]  不要舉了
[00:03:36.520 --> 00:03:39.480]  免得別人說你世俗
