
[00:00:00.000 --> 00:00:10.000]  今日陽光很好,昨天陰天,今早起床很光明很開心
[00:00:10.000 --> 00:00:16.000]  特別是今天崇拜之仙兒童事工核心一起很好
[00:00:16.000 --> 00:00:20.000]  他們很努力,八時就回來了,真的很感動
[00:00:20.000 --> 00:00:29.000]  意思是大家一起為新的地方,新的事工一起努力
[00:00:29.000 --> 00:00:39.000]  今天來到希伯來書,已經到尾聲,第十四講
[00:00:39.000 --> 00:00:46.000]  今日要看的經文記載向十一章二十三至四十節
[00:00:46.000 --> 00:00:50.000]  上星期見到牧師的下半集
[00:00:50.000 --> 00:00:59.000]  題目是「當信心看似很笨的時候,要怎樣?堅持到底」
[00:00:59.000 --> 00:01:09.000]  想問問大家,你們需要乘車很久來教會嗎?
[00:01:09.000 --> 00:01:13.000]  有些需要,有些不用,日後就會逆轉
[00:01:13.000 --> 00:01:20.000]  意思是四月的時候,現在不用就要很多周車輪
[00:01:20.000 --> 00:01:27.000]  想問問大家,當你整天周車輪,無論上班還是教會
[00:01:27.000 --> 00:01:33.000]  終於可以坐地鐵離開,由於路途比較遙遠
[00:01:33.000 --> 00:01:37.000]  通常要坐很多個站才可以回家
[00:01:37.000 --> 00:01:45.000]  當你進入車廂,碰巧有個位置,於是坐下
[00:01:45.000 --> 00:01:48.000]  正常是坐下感謝神的時候
[00:01:48.000 --> 00:01:52.000]  在你面前突然出現一位看似很有需要的人
[00:01:52.000 --> 00:01:55.000]  他也告訴你他很有需要的人在你面前
[00:01:55.000 --> 00:01:59.000]  大英姐妹,你會不會即時讓座?
[00:01:59.000 --> 00:02:02.000]  會不會?有多少人會?
[00:02:02.000 --> 00:02:07.000]  很好,看別人需要比自己強
[00:02:07.000 --> 00:02:14.000]  事實上,在今時今日肯讓座,一半一半看情況
[00:02:14.000 --> 00:02:17.000]  我想不讓座有很多原因
[00:02:17.000 --> 00:02:23.000]  其中一個原因是在車廂裡,大家都是偷偷看手機
[00:02:23.000 --> 00:02:29.000]  不是很多時候能留意到其他乘客的需要
[00:02:29.000 --> 00:02:34.000]  上個月,我坐地鐵又遇到類似的狀況
[00:02:34.000 --> 00:02:39.000]  在超級繁忙的時段裡,由葵興到中環
[00:02:39.000 --> 00:02:42.000]  很不容易看到座位,雖然我不是很老
[00:02:42.000 --> 00:02:45.000]  但當我看到座位,就像有磁石貼一樣
[00:02:45.000 --> 00:02:49.000]  一下子就吸過去,以9秒9的速度坐下
[00:02:49.000 --> 00:02:54.000]  正當我很想感恩和埋頭苦幹回覆WhatsApp的時候
[00:02:54.000 --> 00:03:00.000]  身邊的婆婆突然一聲「起身」
[00:03:00.000 --> 00:03:01.000]  我問她發生什麼事?
[00:03:01.000 --> 00:03:06.000]  她馬上起身,走開了
[00:03:06.000 --> 00:03:14.000]  在我們兩個前方的位置,有個南亞裔女士跟她說話
[00:03:14.000 --> 00:03:19.000]  你要知道她不是廣東人,她說「來來來,我讓你坐」
[00:03:19.000 --> 00:03:24.000]  於是這個婆婆急急忙忙地上陣
[00:03:24.000 --> 00:03:26.000]  買送車,兩袋大袋的送
[00:03:26.000 --> 00:03:35.000]  一下子就走開了,讓位置給南亞裔女士
[00:03:35.000 --> 00:03:40.000]  之後有另一位女乘客跟這個南亞裔女士說
[00:03:40.000 --> 00:03:44.000]  她很厲害,很勇敢,可能要說英文
[00:03:44.000 --> 00:03:50.000]  她說「你OK嗎?」對方就回答她,用半閒談廣東話
[00:03:50.000 --> 00:03:54.000]  「我OK」,頭暈暈地說「現在OK」
[00:03:54.000 --> 00:03:55.000]  因為她坐下了
[00:03:55.000 --> 00:03:59.000]  我在這件事中,一方面很慚愧
[00:03:59.000 --> 00:04:02.000]  因為我只顧著看手機
[00:04:02.000 --> 00:04:08.000]  沒有留意到身邊有個有需要的人要讓座
[00:04:08.000 --> 00:04:15.000]  另一方面,我打從心底很欣賞這位婆婆的堅持
