
[00:00:00.000 --> 00:00:03.740]  很開心能夠來到大家當中
[00:00:03.740 --> 00:00:04.540]  我想問一下
[00:00:04.540 --> 00:00:05.740]  不如我在這裡也試一下
[00:00:05.740 --> 00:00:06.440]  很久沒試過
[00:00:06.440 --> 00:00:08.140]  講道之前先歡迎一下
[00:00:08.140 --> 00:00:10.940]  有沒有第一次來我們恩福堂的新朋友
[00:00:10.940 --> 00:00:13.440]  可不可以舉手讓我們認識一下你
[00:00:13.440 --> 00:00:14.440]  有沒有
[00:00:14.440 --> 00:00:15.940]  後面是不是
[00:00:15.940 --> 00:00:18.940]  在哪裡我看不到是不是
[00:00:18.940 --> 00:00:20.140]  是歡迎你歡迎你
[00:00:20.140 --> 00:00:20.940]  前面也有一位
[00:00:20.940 --> 00:00:21.940]  歡迎你歡迎你
[00:00:21.940 --> 00:00:25.440]  很開心見到你們
[00:00:25.440 --> 00:00:26.940]  還有沒有
[00:00:26.940 --> 00:00:28.940]  我看到下面兩位上面有沒有
[00:00:28.940 --> 00:00:31.940]  我們兩位也是很感恩很開心
[00:00:31.940 --> 00:00:33.440]  你第一次來到當中
[00:00:33.440 --> 00:00:36.440]  我們待會會有一份禮物可以送給你們
[00:00:36.440 --> 00:00:38.440]  待會我不知道Carol怎麼歡迎你
[00:00:38.440 --> 00:00:40.440]  但我們先歡迎你
[00:00:40.440 --> 00:00:42.940]  因為很想認識一下大家
[00:00:42.940 --> 00:00:45.440]  我們一起能夠去知道
[00:00:45.440 --> 00:00:47.940]  剛才大家可能有些弟兄姊妹
[00:00:47.940 --> 00:00:49.440]  未進來之前也分享過
[00:00:49.440 --> 00:00:51.440]  能夠講道真的很感恩
[00:00:51.440 --> 00:00:52.940]  因為這個星期剛好
[00:00:52.940 --> 00:00:54.440]  我也很想跟同事吃飯
[00:00:54.440 --> 00:00:56.440]  我也不能停止跟同事吃飯
[00:00:56.440 --> 00:00:57.940]  無論什麼情況下
[00:00:57.940 --> 00:01:00.940]  吃完飯後有同事確診了
[00:01:00.940 --> 00:01:02.940]  在我們的要求
[00:01:02.940 --> 00:01:04.440]  如果你跟別人吃完飯
[00:01:04.440 --> 00:01:07.940]  要連續第三第四天快餐沒事
[00:01:07.940 --> 00:01:09.440]  或者去做個PCR
[00:01:09.440 --> 00:01:10.440]  兩樣都做了
[00:01:10.440 --> 00:01:13.440]  昨天就很心急等PCR的結果
[00:01:13.440 --> 00:01:15.940]  等到前天12點做的
[00:01:15.940 --> 00:01:18.940]  等到一點多鐘又可能很多人做
[00:01:18.940 --> 00:01:21.940]  所以最後拿到負
[00:01:21.940 --> 00:01:22.940]  negative
[00:01:22.940 --> 00:01:24.440]  現在negative是好東西
[00:01:24.440 --> 00:01:25.940]  以前negative是壞東西
[00:01:25.940 --> 00:01:27.940]  現在是negative我就很開心
[00:01:27.940 --> 00:01:29.940]  能夠回來講道
[00:01:29.940 --> 00:01:34.940]  今天講道為了香港很記掛
[00:01:34.940 --> 00:01:35.940]  紀念
[00:01:35.940 --> 00:01:38.940]  我們香港人成中有兩個比較大的新聞
[00:01:38.940 --> 00:01:40.940]  第一個就是賣豬仔的新聞
[00:01:40.940 --> 00:01:41.940]  大家都知道
[00:01:41.940 --> 00:01:44.940]  聽見一個要沿途拔手掣跳車才能走
[00:01:44.940 --> 00:01:45.940]  真的很驚險
[00:01:45.940 --> 00:01:47.940]  好像間諜片一樣
[00:01:47.940 --> 00:01:49.940]  原來還有很多很多
[00:01:49.940 --> 00:01:50.940]  不單止在香港
[00:01:50.940 --> 00:01:51.940]  台灣、國內
[00:01:51.940 --> 00:01:55.440]  很多華人都被人賣到緬甸、泰國
[00:01:55.440 --> 00:01:56.940]  這些地方
[00:01:56.940 --> 00:01:58.940]  簡陶寨
[00:01:58.940 --> 00:02:01.940]  聽見的時候好像是民國時候
[00:02:01.940 --> 00:02:03.940]  才發生土匪掠人勒索的事件
[00:02:03.940 --> 00:02:06.940]  好像今天還仍然發生
[00:02:06.940 --> 00:02:07.940]  令到我們心裏覺得
[00:02:07.940 --> 00:02:09.440]  為什麼城市變成這樣
[00:02:09.440 --> 00:02:10.940]  為什麼人們這麼願意
[00:02:10.940 --> 00:02:12.940]  去到外面打工
[00:02:12.940 --> 00:02:14.940]  好像我們以前舊金山
[00:02:14.940 --> 00:02:17.940]  有金掘
[00:02:17.940 --> 00:02:19.940]  就被人買了豬仔
[00:02:19.940 --> 00:02:21.940]  好像同樣的情況再一次發生
[00:02:21.940 --> 00:02:22.940]  第二個
[00:02:22.940 --> 00:02:27.940]  當然在這一刻我們見到
[00:02:27.940 --> 00:02:31.940]  我們很多的移民
[00:02:31.940 --> 00:02:33.940]  我們聽說最誇張的
[00:02:33.940 --> 00:02:36.940]  有80次的歡送宴會
[00:02:36.940 --> 00:02:39.940]  這些是很誇張的數字
[00:02:39.940 --> 00:02:41.940]  我想大家應該沒有這麼多
[00:02:41.940 --> 00:02:46.940]  但都見到我們在香港面對著很多挑戰和壓力
[00:02:46.940 --> 00:02:49.940]  我們經常都聽見
[00:02:49.940 --> 00:02:52.940]  其實整個重心向東移
[00:02:52.940 --> 00:02:54.940]  來到我們東方亞洲
[00:02:54.940 --> 00:02:55.940]  以後是亞洲的世代
[00:02:55.940 --> 00:02:57.940]  但我們住在香港又好像沒什麼感覺
[00:02:57.940 --> 00:02:59.940]  好像整個重心向西移
[00:02:59.940 --> 00:03:03.940]  去了倫敦、多倫多
[00:03:03.940 --> 00:03:05.940]  我們好像只剩下
[00:03:05.940 --> 00:03:07.940]  到底還是不是一個重心
[00:03:07.940 --> 00:03:09.940]  或者我們這一代的香港人
[00:03:09.940 --> 00:03:11.940]  很努力去建立的香港
[00:03:11.940 --> 00:03:14.940]  到底今天還是一個什麼地方
[00:03:14.940 --> 00:03:15.940]  可能我們都在問
[00:03:15.940 --> 00:03:17.940]  重心還是不是在這裡
[00:03:17.940 --> 00:03:18.940]  自己留在這裡的時候
[00:03:18.940 --> 00:03:20.940]  心裡都有點虛
[00:03:20.940 --> 00:03:23.940]  其實整個以西傑書
[00:03:23.940 --> 00:03:26.940]  就是向一代失去重心的人說話
[00:03:26.940 --> 00:03:28.940]  去告訴整個世界
[00:03:28.940 --> 00:03:31.940]  到底世界的重心在哪裡
[00:03:31.940 --> 00:03:33.940]  以致我們一路去領受的時候
[00:03:33.940 --> 00:03:34.940]  我們看得到
[00:03:34.940 --> 00:03:36.940]  到底神在我們心目中
[00:03:36.940 --> 00:03:39.940]  想我們怎樣在香港活下去
[00:03:39.940 --> 00:03:41.940]  怎樣有力地活下去
[00:03:41.940 --> 00:03:44.940]  我們一起去讀以西傑書的14章
[00:03:44.940 --> 00:03:46.940]  我想請弟兄讀到
[00:03:46.940 --> 00:03:49.940]  頭5章的頭影片告訴大家
[00:03:49.940 --> 00:03:51.940]  姐妹就讀6至8章
[00:03:51.940 --> 00:03:53.940]  然後我們一起讀最後那幾章
[00:03:53.940 --> 00:03:54.940]  第9、第10章
[00:03:54.940 --> 00:03:56.940]  我們讀完這10章的頭影片
[00:03:56.940 --> 00:03:58.940]  就將以西傑書的14章
[00:03:58.940 --> 00:04:00.940]  就會放在我們的腦裡
[00:04:00.940 --> 00:04:01.940]  我都鼓勵大家進來的時候
[00:04:01.940 --> 00:04:02.940]  拿一拿這個港島大綱
[00:04:02.940 --> 00:04:04.940]  我們印了相當大部分
[00:04:04.940 --> 00:04:06.940]  其實我們拿是很好的
[00:04:06.940 --> 00:04:07.940]  我經常覺得
