
[00:00:00.000 --> 00:00:04.400]  今天我們就去到教會主題的講道
[00:00:04.400 --> 00:00:06.600]  就是《馬學福音》第十五章
[00:00:06.600 --> 00:00:08.800]  今天我給大家的題目就是
[00:00:08.800 --> 00:00:10.800]  「與主相遇的人」
[00:00:10.800 --> 00:00:14.600]  到底今天你有沒有與主相遇呢?
[00:00:14.600 --> 00:00:17.200]  還是你身邊察過
[00:00:17.200 --> 00:00:19.000]  或者不經不覺呢?
[00:00:19.000 --> 00:00:21.600]  我們會讀一讀經文
[00:00:21.600 --> 00:00:22.800]  今天頗多的
[00:00:22.800 --> 00:00:24.600]  我分幾次讀
[00:00:24.600 --> 00:00:26.400]  首先我們會先讀一讀
[00:00:26.400 --> 00:00:29.200]  就是第十五章的一到六節
[00:00:29.200 --> 00:00:32.600]  接著就是七到十一節
[00:00:32.600 --> 00:00:36.600]  接著下面就是十四到十五節
[00:00:36.600 --> 00:00:37.400]  諸如此類
[00:00:37.400 --> 00:00:39.200]  看PowerPoint就可以了
[00:00:39.200 --> 00:00:42.000]  我們就請姐妹先讀一讀六節
[00:00:42.000 --> 00:00:42.800]  好不好?
[00:00:42.800 --> 00:00:44.000]  好,預備好了沒有?
[00:00:44.000 --> 00:00:45.400]  要齊一點
[00:00:45.400 --> 00:00:46.800]  一二三
[00:00:46.800 --> 00:00:48.600]  一到九三
[00:00:48.600 --> 00:00:51.600]  正是師長、國將、皇后、法師
[00:00:51.600 --> 00:00:54.600]  全國會議人大家相見
[00:00:54.600 --> 00:00:59.400]  (教會主任教導)
[00:00:59.400 --> 00:01:01.400]  比拉多問他說
[00:01:01.400 --> 00:01:03.800]  你是猶太人的皇嗎?
[00:01:03.800 --> 00:01:05.400]  耶穌回答說
[00:01:05.400 --> 00:01:07.000]  你是的是
[00:01:07.000 --> 00:01:10.000]  祭司長告訴他許多的事
[00:01:10.000 --> 00:01:12.200]  比拉多又問他說
[00:01:12.200 --> 00:01:13.200]  李翰
[00:01:13.200 --> 00:01:15.800]  他們告你這麼多的事
[00:01:15.800 --> 00:01:18.400]  你什麼都不回答
[00:01:18.400 --> 00:01:20.200]  耶穌回答
[00:01:20.200 --> 00:01:23.000]  以至比拉多覺得奇奇
[00:01:23.000 --> 00:01:30.600]  (教會主任教導)
[00:01:30.600 --> 00:01:32.600]  接著是七到十三節
[00:01:32.600 --> 00:01:33.200]  弟兄讀
[00:01:33.200 --> 00:01:34.800]  預備一二三
[00:01:34.800 --> 00:01:44.600]  (教會主任教導)
[00:01:44.600 --> 00:01:47.000]  眾人想去求從府
[00:01:47.000 --> 00:01:49.800]  (教會主任教導)
[00:01:49.800 --> 00:01:51.000]  比拉多說
[00:01:51.000 --> 00:01:55.200]  你們要我釋放猶太人的王給你們嗎?
[00:01:55.200 --> 00:01:57.000]  他們不曉得
[00:01:57.000 --> 00:02:01.600]  祭司長自恩澤道才把耶穌解了來
[00:02:01.600 --> 00:02:04.600]  只是祭司長挑唆眾人
[00:02:04.600 --> 00:02:07.800]  寧可釋放巴拉巴給他們
[00:02:07.800 --> 00:02:09.600]  比拉多又說
[00:02:09.600 --> 00:02:11.000]  那麼樣
[00:02:11.000 --> 00:02:13.800]  你們所稱為猶太人的王
[00:02:13.800 --> 00:02:16.000]  我怎樣辦他呢?
[00:02:16.000 --> 00:02:18.000]  他們又喊著說
[00:02:18.000 --> 00:02:20.400]  把他踢十字架
[00:02:20.400 --> 00:02:22.000]  接著是十四十五節
[00:02:22.000 --> 00:02:22.400]  一起讀
[00:02:22.400 --> 00:02:23.600]  一二三
[00:02:23.600 --> 00:02:44.800]  (教會主任教導)
[00:02:44.800 --> 00:02:46.000]  聖經讀筆
[00:02:46.000 --> 00:02:47.400]  我們一起禱告
[00:02:47.400 --> 00:02:50.000]  親愛的天父
[00:02:50.000 --> 00:02:53.600]  當我們面對主耶穌踢十字架的時候
[00:02:53.600 --> 00:02:55.600]  我們有不同的心態
[00:02:55.600 --> 00:02:57.400]  不同的反應
[00:02:57.400 --> 00:03:01.600]  但讓我們願意的被聖靈撫摸我們的內心
[00:03:01.600 --> 00:03:04.800]  到底今天我們與主的關係如何呢?
[00:03:04.800 --> 00:03:08.000]  我們對耶穌踢十字架的態度如何呢?
[00:03:08.000 --> 00:03:09.600]  更加讓我們曉得
[00:03:09.600 --> 00:03:10.800]  反轉過來
[00:03:10.800 --> 00:03:12.400]  去反省我們自己
[00:03:12.400 --> 00:03:14.600]  有沒有真正的跟隨著呢?
[00:03:14.600 --> 00:03:16.200]  主啊,求祢聖靈感動我們
[00:03:16.200 --> 00:03:18.200]  帶領我們明白真理
[00:03:18.200 --> 00:03:19.400]  如果我們過去有罪
[00:03:19.400 --> 00:03:20.800]  主啊,求祢赦免
[00:03:20.800 --> 00:03:23.600]  我們每一個人在祢面前可以稱義
[00:03:23.600 --> 00:03:26.600]  但因為祢的寬容大量接納我們
[00:03:26.600 --> 00:03:29.000]  我們才得以坐在這裡
