
[00:00:00.000 --> 00:00:07.000]  今日是我們教會已忽所書的講道系列最後一講
[00:00:07.000 --> 00:00:11.000]  經文是在已忽所書六章十到二十節
[00:00:11.000 --> 00:00:13.000]  講道的題目就是
[00:00:13.000 --> 00:00:16.000]  屬靈的征戰必勝技
[00:00:16.000 --> 00:00:18.000]  要知彼知己
[00:00:18.000 --> 00:00:22.000]  Full gear我們要必備
[00:00:22.000 --> 00:00:25.000]  不知講到Full gear的時候
[00:00:25.000 --> 00:00:26.000]  全套裝備
[00:00:26.000 --> 00:00:27.000]  弟兄姊妹
[00:00:27.000 --> 00:00:30.000]  你們一時會想起什麼
[00:00:30.000 --> 00:00:33.000]  如果是行山的發燒友
[00:00:33.000 --> 00:00:34.000]  可能就想起
[00:00:34.000 --> 00:00:36.000]  當然是行山鞋
[00:00:36.000 --> 00:00:37.000]  行山杖
[00:00:37.000 --> 00:00:38.000]  喜歡入廚的
[00:00:38.000 --> 00:00:40.000]  喜歡音樂的
[00:00:40.000 --> 00:00:41.000]  或者各樣的
[00:00:41.000 --> 00:00:45.000]  都立刻想起你們那套Full gear的裝備
[00:00:45.000 --> 00:00:47.000]  不知大家記不記得
[00:00:47.000 --> 00:00:49.000]  我上一次講道講什麼
[00:00:49.000 --> 00:00:52.000]  靈的突破
[00:00:52.000 --> 00:00:54.000]  不記得回去重聽
[00:00:54.000 --> 00:00:56.000]  我上次就提到
[00:00:56.000 --> 00:00:58.000]  我開始學人跑步
[00:00:58.000 --> 00:01:02.000]  跑了人生第一個10K
[00:01:02.000 --> 00:01:07.000]  我老公就減了人生第一個10KG
[00:01:07.000 --> 00:01:09.000]  這是上次講的
[00:01:09.000 --> 00:01:11.000]  在上一個月
[00:01:11.000 --> 00:01:14.000]  香港跑步界有一個盛事
[00:01:14.000 --> 00:01:16.000]  大家知不知道是什麼
[00:01:16.000 --> 00:01:18.000]  是駕馬
[00:01:18.000 --> 00:01:19.000]  駕馬那天
[00:01:19.000 --> 00:01:20.000]  我看看
[00:01:20.000 --> 00:01:29.000]  駕馬前一天
[00:01:29.000 --> 00:01:31.000]  天氣有預報
[00:01:31.000 --> 00:01:35.000]  第二天的氣溫會急降
[00:01:35.000 --> 00:01:38.000]  應該是入冬以來最冷的一天
[00:01:38.000 --> 00:01:40.000]  只有一個位數字
[00:01:40.000 --> 00:01:41.000]  9度
[00:01:41.000 --> 00:01:43.000]  我第一次跑
[00:01:43.000 --> 00:01:45.000]  我們團體一班弟兄姊妹
[00:01:45.000 --> 00:01:47.000]  都有參加駕馬
[00:01:47.000 --> 00:01:50.000]  其中一位比較有心的弟兄
[00:01:50.000 --> 00:01:52.000]  他怕我們會冷
[00:01:52.000 --> 00:01:54.000]  所以在起跑前一天
[00:01:54.000 --> 00:01:58.000]  他幫我們搜羅了一次性的雨衣
[00:01:58.000 --> 00:02:01.000]  即是手套
[00:02:01.000 --> 00:02:03.000]  讓我們起跑前穿著
[00:02:03.000 --> 00:02:05.000]  來保暖
[00:02:05.000 --> 00:02:08.000]  而在起跑前一晚
[00:02:08.000 --> 00:02:10.000]  社交平台
[00:02:10.000 --> 00:02:13.000]  我看到很多跑手
[00:02:13.000 --> 00:02:17.000]  他們展示了自己的全套裝備
[00:02:17.000 --> 00:02:19.000]  真的配得很絕
[00:02:19.000 --> 00:02:21.000]  無論是跑衣
[00:02:21.000 --> 00:02:22.000]  跑鞋
[00:02:22.000 --> 00:02:23.000]  襪子
[00:02:23.000 --> 00:02:24.000]  太陽眼鏡
[00:02:24.000 --> 00:02:26.000]  都配得很絕
[00:02:26.000 --> 00:02:29.000]  其實我自己不跑也不知道
[00:02:29.000 --> 00:02:31.000]  原來那些跑鞋
[00:02:31.000 --> 00:02:33.000]  跑最重要是跑鞋
[00:02:33.000 --> 00:02:36.000]  原來有些跑鞋是加了碳纖維板
[00:02:36.000 --> 00:02:37.000]  大家知不知道
[00:02:37.000 --> 00:02:39.000]  有沒有人知道
