
[00:00:00.000 --> 00:00:05.560]  很感謝見諒牧師的邀請,可以來到大家當中去靜悼
[00:00:05.560 --> 00:00:14.080]  我媽媽也是住在粉嶺,我很多時候都會過來粉嶺
[00:00:14.080 --> 00:00:21.200]  不過就不是來探望她,因為我發現我去過很多教會,都很有趣
[00:00:21.200 --> 00:00:25.920]  但是我一直很期待可以來到恩福的北區堂
[00:00:25.920 --> 00:00:29.360]  為什麼呢?因為正如剛才見諒牧師分享
[00:00:29.360 --> 00:00:34.840]  我們讀書的時候,過去兩年一直聊很多天
[00:00:34.840 --> 00:00:38.600]  或者我們幾個同學一直聊天,很多時候都紀念見諒牧師
[00:00:38.600 --> 00:00:46.280]  還有大家在這個地方開始想著要有一個敬拜的地方
[00:00:46.280 --> 00:00:50.680]  一直都兩年了,我們一直認識了
[00:00:50.680 --> 00:00:57.640]  我記得第一天開始我們已經知道,原來打算要在北區的地方有教會
[00:00:57.640 --> 00:01:02.360]  所以今天終於來到大家當中,我很開心
[00:01:02.360 --> 00:01:08.560]  今天下午我會去看話劇
[00:01:08.560 --> 00:01:12.280]  我不知道你們有沒有人喜歡看話劇,也有人吧
[00:01:12.280 --> 00:01:17.760]  話劇很多時候會有很多幕劇出現
[00:01:17.760 --> 00:01:21.360]  去到最後散場我會關燈
[00:01:21.360 --> 00:01:24.800]  我不知道你們可不可以想一想
[00:01:24.800 --> 00:01:27.040]  當我們進入這段經文的時候
[00:01:27.040 --> 00:01:32.600]  我們當作是一套三幕劇的形式去看
[00:01:32.600 --> 00:01:35.320]  這三幕劇我們看到有一個主角
[00:01:35.320 --> 00:01:39.280]  這個主角,稍後你們會知道,是一位父親
[00:01:39.280 --> 00:01:44.440]  究竟這個父親在這三幕劇裡發生了什麼事
[00:01:44.440 --> 00:01:46.840]  耶穌如何與他相處
[00:01:46.840 --> 00:01:50.400]  並且這個父親有沒有轉變呢?
[00:01:50.400 --> 00:01:54.560]  雖然說到父親,我不知道這裡中間多不多父親
[00:01:54.560 --> 00:02:00.560]  但我相信我們任何一個人都會有類似的經歷
[00:02:00.560 --> 00:02:03.640]  我們信仰歷程中都可能有這樣的經歷
[00:02:03.640 --> 00:02:09.160]  我們就進入經文前的一切祈禱
[00:02:09.160 --> 00:02:13.160]  真理的聖靈我們求祢,祢去幫助我們
