
[00:00:00.000 --> 00:00:06.000]  開始的時候我們一起祈禱
[00:00:06.000 --> 00:00:10.000]  七位天父感謝祢的帶領
[00:00:10.000 --> 00:00:12.000]  由我們回到崇拜裡面
[00:00:12.000 --> 00:00:14.000]  可以一同去敬拜祢
[00:00:14.000 --> 00:00:17.000]  求主祢打開我們的心
[00:00:17.000 --> 00:00:19.000]  聆聽神祢的話語
[00:00:19.000 --> 00:00:22.000]  被神祢的話語提醒和幫助
[00:00:22.000 --> 00:00:25.000]  奉主耶穌基督之名
[00:00:25.000 --> 00:00:27.000]  祈求阿門
[00:00:27.000 --> 00:00:32.000]  想像一下
[00:00:32.000 --> 00:00:37.000]  你現在一個人去沙漠探險
[00:00:37.000 --> 00:00:39.000]  真是不幸運
[00:00:39.000 --> 00:00:42.000]  你剛剛遇到沙塵暴
[00:00:42.000 --> 00:00:45.000]  你身上可以喝的水
[00:00:45.000 --> 00:00:47.000]  又不是剩下很多
[00:00:47.000 --> 00:00:50.000]  撐不住你出這個沙漠
[00:00:50.000 --> 00:00:51.000]  沒辦法
[00:00:51.000 --> 00:00:54.000]  你唯有堅步走步
[00:00:54.000 --> 00:00:56.000]  就在這個時候
[00:00:56.000 --> 00:00:58.000]  你離遠的時候
[00:00:58.000 --> 00:01:00.000]  看到有個井
[00:01:00.000 --> 00:01:03.000]  旁邊還有一瓶水
[00:01:03.000 --> 00:01:06.000]  於是你走前一點
[00:01:06.000 --> 00:01:10.000]  在井口下面有一個木牌
[00:01:10.000 --> 00:01:13.000]  木牌上面寫著一行字
[00:01:13.000 --> 00:01:15.000]  你猜是什麼
[00:01:15.000 --> 00:01:18.000]  不是見字飲水
[00:01:18.000 --> 00:01:20.000]  那行字是什麼呢
[00:01:20.000 --> 00:01:24.000]  請你將一瓶水倒入井裡面
[00:01:24.000 --> 00:01:26.000]  然後泵水上來
[00:01:26.000 --> 00:01:28.000]  走的時候
[00:01:28.000 --> 00:01:30.000]  你留下一瓶水
[00:01:30.000 --> 00:01:32.000]  但你向前看
[00:01:32.000 --> 00:01:35.000]  覺得井好像有點溜溜
[00:01:35.000 --> 00:01:38.000]  一大瓶水就放在這裡
[00:01:38.000 --> 00:01:40.000]  你會怎麼做呢
[00:01:40.000 --> 00:01:43.000]  有兩個選擇
[00:01:43.000 --> 00:01:48.000]  A. 你帶著一瓶水離開這個沙漠
[00:01:48.000 --> 00:01:53.000]  B. 你將一瓶水倒入井裡去泵水
[00:01:53.000 --> 00:01:55.000]  大家想到了嗎
[00:01:55.000 --> 00:01:56.000]  準備
[00:01:56.000 --> 00:01:59.000]  誰選擇A的請舉手
[00:01:59.000 --> 00:02:04.000]  不選A的
[00:02:04.000 --> 00:02:06.000]  有好處的
[00:02:06.000 --> 00:02:09.000]  誰選擇B的
[00:02:09.000 --> 00:02:13.000]  B的比較多
[00:02:13.000 --> 00:02:17.000]  選擇A的朋友應該也有
[00:02:17.000 --> 00:02:21.000]  可能你比較低手
[00:02:21.000 --> 00:02:24.000]  選擇A的朋友可能覺得
[00:02:24.000 --> 00:02:26.000]  一瓶水就夠了
[00:02:26.000 --> 00:02:28.000]  沒必要再打多一瓶
[00:02:28.000 --> 00:02:30.000]  或者打多一點
[00:02:30.000 --> 00:02:33.000]  可以說是一個知足常樂型的人
[00:02:33.000 --> 00:02:35.000]  選擇B的朋友
[00:02:35.000 --> 00:02:38.000]  你可能認為一瓶水給你夠喝
[00:02:38.000 --> 00:02:40.000]  我很口渴的
[00:02:40.000 --> 00:02:44.000]  所以你會將一瓶水倒入井裡
[00:02:44.000 --> 00:02:47.000]  然後泵多一點水上來
[00:02:47.000 --> 00:02:50.000]  你可以說是屬於一個貪婪型的人
[00:02:50.000 --> 00:02:54.000]  無論結果是怎樣也好
[00:02:54.000 --> 00:02:57.000]  這只是小小的測驗
[00:02:57.000 --> 00:03:01.000]  讓我們了解一下自己的想法是怎樣
[00:03:01.000 --> 00:03:04.000]  大家想到知足會想到什麼
[00:03:04.000 --> 00:03:08.000]  是常樂嗎
[00:03:08.000 --> 00:03:10.000]  真是好
[00:03:10.000 --> 00:03:12.000]  我還想到知足羊腩煲
[00:03:12.000 --> 00:03:16.000]  和知足豆腐火腩飯
[00:03:16.000 --> 00:03:22.000]  知足就是知道滿足
[00:03:22.000 --> 00:03:26.000]  人如果知足就容易滿足
[00:03:26.000 --> 00:03:30.000]  今天我們生活在這個時代裡
[00:03:30.000 --> 00:03:34.000]  我們發現很多人都不太知足
[00:03:34.000 --> 00:03:36.000]  什麼都覺得不夠
[00:03:36.000 --> 00:03:38.000]  不如我問一下大家
[00:03:38.000 --> 00:03:44.000]  誰覺得自己時間不夠用
[00:03:44.000 --> 00:03:46.000]  也有的
[00:03:46.000 --> 00:03:48.000]  這條就是
[00:03:48.000 --> 00:03:53.000]  誰覺得錢不夠用
[00:03:53.000 --> 00:03:56.000]  不是很多人舉
[00:03:56.000 --> 00:03:59.000]  不好意思我幫不了你
[00:03:59.000 --> 00:04:02.000]  有些人覺得地位不夠高
[00:04:02.000 --> 00:04:04.000]  或者成就不夠大
[00:04:04.000 --> 00:04:10.000]  誰手上有多過一部手機
[00:04:10.000 --> 00:04:11.000]  手上
[00:04:11.000 --> 00:04:20.000]  誰家裡有十雙鞋子以上
[00:04:20.000 --> 00:04:23.000]  有人說我們是蜈蚣
[00:04:23.000 --> 00:04:25.000]  我們穿十雙鞋子也不夠
[00:04:25.000 --> 00:04:27.000]  都要繼續買
[00:04:27.000 --> 00:04:30.000]  所以很多時候都覺得不足夠
[00:04:30.000 --> 00:04:32.000]  不滿足
[00:04:32.000 --> 00:04:34.000]  所以我們說不知足
[00:04:34.000 --> 00:04:38.000]  其實就是期望得到更多的心態
[00:04:38.000 --> 00:04:43.000]  而知足就是停止這種期待
[00:04:43.000 --> 00:04:44.000]  當然
[00:04:44.000 --> 00:04:47.000]  有時候這個所謂不足夠的感覺
[00:04:47.000 --> 00:04:52.000]  其實可以激發我們向好的一方面去努力
[00:04:52.000 --> 00:04:56.000]  但是如果太多太多這些不足感
[00:04:56.000 --> 00:05:01.000]  反而令到我們心裡面的空虛更加大
[00:05:01.000 --> 00:05:04.000]  可能你會覺得暫時滿足了
[00:05:04.000 --> 00:05:07.000]  下一次就需要越來越大
[00:05:07.000 --> 00:05:09.000]  而且越來越麻木
[00:05:09.000 --> 00:05:12.000]  最後你會不知道
[00:05:12.000 --> 00:05:16.000]  有什麼再令你開心和滿足
[00:05:16.000 --> 00:05:21.000]  今天是《肥立比書》系列的最後一講
[00:05:21.000 --> 00:05:24.000]  由下個主日開始至四月
[00:05:24.000 --> 00:05:27.000]  我們都回到自由題的系列
[00:05:27.000 --> 00:05:29.000]  今天和大家宣講的經文
