
[00:00:00.000 --> 00:00:03.000]  各位頂子妹 各位朋友 大家好
[00:00:03.000 --> 00:00:05.500]  在我們開始的時候
[00:00:05.500 --> 00:00:08.000]  我們一起有個禱告
[00:00:08.000 --> 00:00:10.000]  主我們的神
[00:00:10.000 --> 00:00:16.000]  祢賜給我們的恩典是多麼的美麗
[00:00:16.000 --> 00:00:20.000]  祢也賜給了我們有祢的聖經
[00:00:20.000 --> 00:00:22.000]  有祢的說話
[00:00:22.000 --> 00:00:25.500]  當中以致我們能夠學習神祢的心意
[00:00:25.500 --> 00:00:29.000]  求祢讓我們在今天的經文裏
[00:00:29.000 --> 00:00:33.000]  都能夠有從主祢而來的領受
[00:00:33.000 --> 00:00:34.500]  我們禱告
[00:00:34.500 --> 00:00:37.000]  願我們是奉主耶穌基督之名
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:44.500]  神學家兼作家C.S. Lewis
[00:00:44.500 --> 00:00:49.000]  路易斯他寫過一本名著叫《惡魔書信》
[00:00:49.000 --> 00:00:55.500]  在裏面講述一個上級的惡魔史叔叔
[00:00:55.500 --> 00:00:59.000]  寫信給他指導的小鬼阿旭
[00:00:59.000 --> 00:01:04.500]  教他如何欺騙小鬼負責的一個人
[00:01:04.500 --> 00:01:08.000]  令那個人離開信仰
[00:01:08.000 --> 00:01:09.500]  史叔叔是這樣寫的
[00:01:09.500 --> 00:01:15.500]  他說:你的病人從小就習慣在腦裏塞十幾樣
[00:01:15.500 --> 00:01:18.000]  互不相容的觀念
[00:01:18.000 --> 00:01:21.000]  在他的腦裏轉來轉去
[00:01:21.000 --> 00:01:25.000]  從來他都不會認為有什麼學理
[00:01:25.000 --> 00:01:28.500]  是根本上可以歸類為真或者假
[00:01:28.500 --> 00:01:30.500]  對於他來說
[00:01:30.500 --> 00:01:34.500]  這些東西要麼就有學術的價值
[00:01:34.500 --> 00:01:36.500]  要麼就實用
[00:01:36.500 --> 00:01:39.000]  要麼就過時
[00:01:39.000 --> 00:01:41.000]  如果不是過時就前衛
[00:01:41.000 --> 00:01:44.000]  要麼就傳統或者創新
[00:01:44.000 --> 00:01:50.000]  如果要令到他和教堂保持一個距離
[00:01:50.000 --> 00:01:51.500]  你相信我
[00:01:51.500 --> 00:01:57.000]  你最好的做法不是和他辯證信仰是否真實
[00:01:57.000 --> 00:02:00.500]  而是用一些時下流行的潮語
[00:02:00.500 --> 00:02:05.000]  只要讓他認定物質上的豐富是最好的
[00:02:05.000 --> 00:02:08.500]  最酷的人生的追求
[00:02:08.500 --> 00:02:12.500]  經常提醒他做人要貼地一點
[00:02:12.500 --> 00:02:20.000]  讓他認為有限度的宗教信仰已經夠好了
[00:02:20.000 --> 00:02:24.000]  你就可以為他的靈魂狀態感到高興
[00:02:24.000 --> 00:02:27.500]  因為一個溫和的基督教信仰
[00:02:27.500 --> 00:02:31.500]  對於我們來說和沒有宗教一樣
[00:02:31.500 --> 00:02:35.000]  而且更加有趣
[00:02:35.000 --> 00:02:40.000]  路易斯這一段虛構的說話是寫七十年前的
[00:02:40.000 --> 00:02:43.500]  是對應當時西方普遍的信徒
[00:02:43.500 --> 00:02:49.000]  那種有限度、溫和的信仰心態而寫的
[00:02:49.000 --> 00:02:52.000]  但時至今時今日對於基督徒來說
