
[00:00:00.000 --> 00:00:02.440]  各位大姐姐妹平安
[00:00:02.440 --> 00:00:04.440]  很久沒在五堂見面了
[00:00:04.440 --> 00:00:07.720]  平安真是一個最好的祝福
[00:00:07.720 --> 00:00:10.600]  比任何的祝福更加好
[00:00:10.600 --> 00:00:12.600]  因為平安表示什麼?
[00:00:12.600 --> 00:00:15.080]  沒有禍患
[00:00:15.080 --> 00:00:17.080]  沒有禍患
[00:00:17.080 --> 00:00:20.400]  其實我們也不喜歡遭遇禍患
[00:00:20.400 --> 00:00:21.600]  是嗎?
[00:00:21.600 --> 00:00:23.600]  催吉避凶
[00:00:23.600 --> 00:00:25.600]  我們時時都很想的
[00:00:25.600 --> 00:00:26.720]  不過呢
[00:00:26.720 --> 00:00:29.480]  原來我們不知不覺
[00:00:29.480 --> 00:00:32.960]  有時會墮入禍患裡面
[00:00:32.960 --> 00:00:36.200]  但是很感謝我們的主耶穌基督
[00:00:36.200 --> 00:00:41.280]  祂昔日對猶太宗教領袖的忠告
[00:00:41.280 --> 00:00:44.400]  同樣在今天也幫助我們
[00:00:44.400 --> 00:00:49.800]  以致我們不會墮入禍患當中
[00:00:49.800 --> 00:00:56.680]  我想請大家一起讀《馬太福音》23章1至3節
[00:00:56.680 --> 00:01:01.680]  那時耶穌對眾人和門徒議論
[00:01:01.680 --> 00:01:06.880]  說:「民是和法理賽人坐在摩西的位上
[00:01:06.880 --> 00:01:09.680]  凡他們所吩咐你們的
[00:01:09.680 --> 00:01:12.400]  你們都要謹守遵行
[00:01:12.400 --> 00:01:15.480]  但不要效法他們的行為
[00:01:15.480 --> 00:01:18.680]  因為他們能說不能行」
[00:01:18.680 --> 00:01:20.680]  民是是什麼人?
[00:01:20.680 --> 00:01:22.880]  就是抄寫經卷的人
[00:01:22.880 --> 00:01:25.280]  以前沒有印刷術要抄寫
[00:01:25.280 --> 00:01:27.880]  律法師解釋
[00:01:27.880 --> 00:01:29.080]  Torah
[00:01:29.080 --> 00:01:34.680]  即是上帝藉摩西所頒佈律法的人
[00:01:34.680 --> 00:01:37.680]  我們叫摩西所頒佈的律法
[00:01:37.680 --> 00:01:40.080]  在希伯來文叫Torah
[00:01:40.080 --> 00:01:46.880]  法理賽人的意思就是隔離或分別出來的人
[00:01:46.880 --> 00:01:51.480]  耶穌說他們都是坐在摩西的位上
[00:01:51.480 --> 00:01:58.080]  即是說這班人都是傳遞律法的宗教領袖
[00:01:58.080 --> 00:02:02.480]  法理賽人自稱自己是隔離者
[00:02:02.480 --> 00:02:06.880]  希望與世俗和罪隔離
[00:02:06.880 --> 00:02:10.480]  他們說自己要保持聖潔
[00:02:10.480 --> 00:02:15.280]  但耶穌責備他們說他們假冒為善
[00:02:15.280 --> 00:02:19.280]  假冒為善希臘原文是演員
[00:02:19.280 --> 00:02:23.680]  當時希臘的戲劇演員會戴面具
[00:02:23.680 --> 00:02:26.080]  代表著角色
[00:02:26.080 --> 00:02:30.080]  其實這個字是指虛偽
[00:02:30.080 --> 00:02:32.880]  不是真的
[00:02:32.880 --> 00:02:37.680]  用廣東話的俗語來說就是他們裝模作樣
[00:02:37.680 --> 00:02:41.080]  這些猶太的宗教領袖
[00:02:41.080 --> 00:02:45.880]  只有假的經卷是缺乏真正的信心
[00:02:45.880 --> 00:02:54.480]  主耶穌在這裡很嚴厲地指出他們是有禍
[00:02:54.480 --> 00:03:00.680]  有禍這個意思就是含有憤怒和悲痛
[00:03:00.680 --> 00:03:02.080]  兩個意思
[00:03:02.080 --> 00:03:07.080]  可以知道主耶穌對於虛偽的人和虛偽的事
[00:03:07.080 --> 00:03:11.280]  是很憤怒和很心痛的
[00:03:11.280 --> 00:03:17.080]  主忠告門徒和眾人
[00:03:17.080 --> 00:03:24.880]  我們都要謹守摩西所頒布的聖經所傳遞的律法
[00:03:24.880 --> 00:03:28.680]  但不要效法這些猶太的宗教領袖
[00:03:28.680 --> 00:03:29.680]  為什麼?
[00:03:29.680 --> 00:03:33.080]  因為他們能說只是大隻講
[00:03:33.080 --> 00:03:36.080]  但他們不能行
[00:03:36.080 --> 00:03:40.080]  不能夠實踐律法的精髓
[00:03:40.080 --> 00:03:45.880]  所以主耶穌指出他們有禍了
[00:03:45.880 --> 00:03:51.480]  如果深水清數馬太福音23章
[00:03:51.480 --> 00:03:55.280]  數也數不到有十宗禍患
[00:03:55.280 --> 00:03:59.080]  為什麼我今天的講題是十宗禍呢?
[00:03:59.080 --> 00:04:04.480]  但如果對照路加福音11章37-54節
