
[00:00:00.000 --> 00:00:03.360]  好,感謝勁敗隊帶領我們服侍
[00:00:03.360 --> 00:00:06.400]  不如我們給點掌聲好嗎,我們的侍奉團隊
[00:00:06.400 --> 00:00:09.280]  Cc、AV Team、勁敗隊
[00:00:09.280 --> 00:00:14.080]  其實都讓大家知道,尤其是小綠星中的
[00:00:14.080 --> 00:00:17.920]  大家都可以知道,其實做侍奉團隊都不容易
[00:00:17.920 --> 00:00:21.760]  比你們早一個小時,八點鐘來到就要setup(準備)
[00:00:21.760 --> 00:00:24.560]  甚至AV Team吃早餐七點半
[00:00:24.560 --> 00:00:30.960]  很想,這麼早起床都是為了希望可以幫到大家進入勁敗
[00:00:30.960 --> 00:00:32.560]  可以去服侍大家
[00:00:32.560 --> 00:00:36.560]  所以盼望大家可以多點appreciate(欣賞)他們
[00:00:36.560 --> 00:00:37.760]  去欣賞他們
[00:00:37.760 --> 00:00:40.720]  看到Cc拍下,多謝你們,多謝你們
[00:00:40.720 --> 00:00:42.480]  這樣去服侍我們
[00:00:42.480 --> 00:00:46.320]  其實這些不是必然的,有人去服侍我們
[00:00:46.320 --> 00:00:51.840]  其實不是因為我們做了什麼,所以人家要回報
[00:00:51.840 --> 00:00:58.480]  其實這一切都是我們回應上帝恩典,而學習施於愛
[00:00:58.480 --> 00:01:02.400]  所以盼望大家可以去學習,好好珍惜每一個時間
[00:01:02.400 --> 00:01:06.800]  都明白的,大家上來可能未必很適應
[00:01:06.800 --> 00:01:09.120]  但我都很想鼓勵你,慢慢去學習
[00:01:09.120 --> 00:01:11.520]  去投入,去嘗試
[00:01:11.520 --> 00:01:16.160]  剛才我們唱詩歌的,其實真的不是勁敗隊去做一個show給大家看
[00:01:16.160 --> 00:01:19.040]  其實是很想大家一起去參與,一起去勁敗
[00:01:19.040 --> 00:01:23.120]  所以大家嘗試去學習,唱一唱,跟著唱
[00:01:23.120 --> 00:01:25.840]  跟著唱完之後,你們嘗試一起唱
[00:01:25.840 --> 00:01:26.800]  都是很重要的
[00:01:26.800 --> 00:01:30.240]  很想和大家一起去唱歌,一起去勁敗我們的主人
