
[00:00:00.000 --> 00:00:02.520]  我們進入今天的講道
[00:00:02.520 --> 00:00:05.320]  不知道大家有沒有看過天龍八部
[00:00:05.320 --> 00:00:08.120]  可以看書或電視劇
[00:00:08.120 --> 00:00:10.120]  有看過的請舉手
[00:00:10.120 --> 00:00:13.400]  這麼少
[00:00:13.400 --> 00:00:21.000]  我想起我小時候一定會看金庸經典的其中幾部
[00:00:21.000 --> 00:00:25.640]  其中一個主角叫虛竹
[00:00:25.640 --> 00:00:27.640]  他很善良
[00:00:27.640 --> 00:00:32.360]  有一次他路過看到一群人想殺一個手無寸鐵的小女孩
[00:00:32.360 --> 00:00:36.360]  他衝過去揹起小女孩跑
[00:00:36.360 --> 00:00:43.440]  其實這個小女孩是一個每隔三十年會反腦還童的天生童女
[00:00:43.440 --> 00:00:49.320]  你知道揹起一些東西或一個人肯定會加重自己的負擔
[00:00:49.320 --> 00:00:51.320]  背起什麼都會加重負擔
[00:00:51.320 --> 00:00:53.320]  跑起來都很困難
[00:00:53.320 --> 00:00:55.960]  甚至有些人在後面追殺他
[00:00:55.960 --> 00:00:57.960]  處境很危險
[00:00:57.960 --> 00:01:01.040]  但他純粹為了救一個生命
[00:01:01.040 --> 00:01:03.680]  他路見不平就出手相助
[00:01:03.680 --> 00:01:05.680]  沒有想太多
[00:01:05.680 --> 00:01:08.280]  這種危險和可能會付出的代價
[00:01:08.280 --> 00:01:11.720]  真的不是每個人都願意付上的
[00:01:11.720 --> 00:01:15.360]  不過虛竹之後的經歷都很傳奇
[00:01:15.360 --> 00:01:18.360]  就是天生童女不但教他輕功
[00:01:18.360 --> 00:01:21.040]  讓他揹著她都可以飛得高一點
[00:01:21.040 --> 00:01:24.960]  還教了他很多不同的武功
[00:01:24.960 --> 00:01:28.880]  臨死之前還將他一生的功力傳給他
[00:01:28.880 --> 00:01:32.040]  所以是很蒙福的那一刻
[00:01:32.040 --> 00:01:36.400]  不過這當然只是武俠小說裡面的故事
[00:01:36.400 --> 00:01:39.440]  但我們今天的題目
[00:01:39.440 --> 00:01:45.440]  是展現上帝國度成為基督徵兵系列的閱題
[00:01:45.440 --> 00:01:46.440]  閱題是什麼?
[00:01:46.440 --> 00:01:48.440]  就是立事為主而活
[00:01:48.440 --> 00:01:51.960]  題目就是天天背起十字架跟從主
[00:01:51.960 --> 00:01:54.960]  我們會透過《路加福音》9章23至26節
[00:01:54.960 --> 00:01:56.560]  主耶穌的教導
[00:01:56.560 --> 00:01:57.760]  一起來看看
[00:01:57.760 --> 00:02:00.360]  背起很重量的十字架
[00:02:00.360 --> 00:02:02.840]  我們的心態又應該是怎樣的呢?
[00:02:02.840 --> 00:02:07.760]  而背起十字架跟從主又有什麼可能的後果呢?
[00:02:07.760 --> 00:02:09.160]  我們先一起來讀
[00:02:09.160 --> 00:02:11.760]  《路加福音》9章23節
[00:02:11.760 --> 00:02:12.760]  我們一起讀
[00:02:12.760 --> 00:02:14.760]  耶穌又對眾人說
[00:02:14.760 --> 00:02:16.560]  若有人要跟從我
[00:02:16.560 --> 00:02:21.760]  就當捨己天天背起自己的十字架來跟從我
[00:02:21.760 --> 00:02:24.760]  23節這一節的經文裡面
[00:02:24.760 --> 00:02:28.360]  有三個命令式的動詞
[00:02:28.360 --> 00:02:30.360]  分別是捨己的捨
[00:02:30.360 --> 00:02:32.360]  背起十字架的背起
[00:02:32.360 --> 00:02:34.360]  跟從我的跟從
[00:02:34.360 --> 00:02:36.360]  第一個命令是要捨己
[00:02:36.360 --> 00:02:39.960]  捨的意思是棄絕、否定
[00:02:39.960 --> 00:02:43.160]  而問是一個關心語態
[00:02:43.160 --> 00:02:45.760]  即是做在自己身上的動作
[00:02:45.760 --> 00:02:47.760]  捨的是自己
[00:02:47.760 --> 00:02:49.160]  要捨己
[00:02:49.160 --> 00:02:53.560]  即是否定自己、不顧自己、忘記自己
[00:02:53.560 --> 00:02:55.560]  放下自己的喜好
[00:02:55.560 --> 00:02:57.160]  放下自己的計劃
[00:02:57.160 --> 00:03:01.360]  不以自己作為生命和生活行事的中心
[00:03:01.360 --> 00:03:02.960]  很長吧?
[00:03:02.960 --> 00:03:06.360]  捨己是要讓神的計劃高於自己的計劃
[00:03:06.360 --> 00:03:07.760]  神在第一位
[00:03:07.760 --> 00:03:10.360]  高於自己、高於世界
[00:03:10.360 --> 00:03:13.760]  《路加福音》14章26至33節
[00:03:13.760 --> 00:03:16.160]  主更加對跟隨者這樣說
[00:03:16.160 --> 00:03:17.560]  我們一起來讀
[00:03:17.560 --> 00:03:20.360]  無論什麼人到我這裡來
[00:03:20.360 --> 00:03:25.960]  若不愛我勝過愛自己的父母、妻子、兒女、兄弟、姊妹
[00:03:25.960 --> 00:03:27.960]  甚至自己的姓名
[00:03:27.960 --> 00:03:29.960]  (不能作我的門徒)
[00:03:29.960 --> 00:03:33.360]  (但不顧著自己的生命和生命)
[00:03:33.360 --> 00:03:35.360]  (不能作我的門徒)
[00:03:35.360 --> 00:03:37.760]  這樣你們無論什麼人
[00:03:37.760 --> 00:03:39.760]  若不撇下一切所有的
[00:03:39.760 --> 00:03:41.760]  就不能作我的門徒
[00:03:41.760 --> 00:03:45.760]  這段經文有時令人感覺好像很難啃得下
[00:03:45.760 --> 00:03:47.560]  不過我們要知道
[00:03:47.560 --> 00:03:50.560]  主不是要我們連家人都不愛
[00:03:50.560 --> 00:03:53.560]  而是要我們調整愛的次序
[00:03:53.560 --> 00:03:57.560]  特別是當家人、其他人、其他東西
[00:03:57.560 --> 00:04:02.760]  甚至我們自己成為了難阻神的心意
[00:04:02.760 --> 00:04:06.360]  我們就要調整這個次序
[00:04:06.360 --> 00:04:09.160]  我們手上和身上擁有的東西
[00:04:09.160 --> 00:04:12.960]  可以成為我們跟隨主的難阻和障礙
[00:04:12.960 --> 00:04:15.360]  正如剛才詩歌提到
[00:04:15.360 --> 00:04:17.360]  我們要放手給主
[00:04:17.360 --> 00:04:20.360]  這段經文也令我想起
[00:04:20.360 --> 00:04:22.560]  亞伯拉罕獻耳撒的事蹟
[00:04:22.560 --> 00:04:25.160]  亞伯拉罕為神的吩咐
[00:04:25.160 --> 00:04:26.560]  可以去到多盡
[00:04:26.560 --> 00:04:28.560]  可以放下多少呢?
[00:04:28.560 --> 00:04:31.160]  這是第一個命令:寫記
[00:04:31.160 --> 00:04:34.160]  第二個命令是背起十字架
[00:04:34.160 --> 00:04:36.160]  首先我們要記住一件事
[00:04:36.160 --> 00:04:39.160]  主自己已經幫我們背起了十字架
[00:04:39.160 --> 00:04:42.160]  示範了最極致的寫記
[00:04:42.160 --> 00:04:44.160]  在菲勒比書2章6至8節
[00:04:44.160 --> 00:04:45.960]  「他本有神的形象
[00:04:45.960 --> 00:04:47.960]  卻不堅持自己與神同等
[00:04:47.960 --> 00:04:49.160]  反倒虛偈
[00:04:49.160 --> 00:04:51.960]  取了奴僕的形象成為人的樣式
[00:04:51.960 --> 00:04:53.360]  既有人的樣子
[00:04:53.360 --> 00:04:56.160]  就謙卑自己全心信服
[00:04:56.160 --> 00:04:57.760]  以至於死
[00:04:57.760 --> 00:04:59.760]  且死在十字架上」
[00:04:59.760 --> 00:05:02.560]  主耶穌放下了自己的尊貴
[00:05:02.560 --> 00:05:04.160]  為我們背起了十字架
[00:05:04.160 --> 00:05:06.160]  並且死在十字架上
[00:05:06.160 --> 00:05:10.160]  第三個命令是要跟隨主
[00:05:10.160 --> 00:05:13.760]  這是主對我們作門徒的呼召
[00:05:13.760 --> 00:05:16.760]  「跟隨我,成為我的徒弟」
[00:05:16.760 --> 00:05:18.760]  主耶穌的背起十字架
[00:05:18.760 --> 00:05:20.760]  是完全跟隨了誰的意思?
[00:05:20.760 --> 00:05:22.360]  是跟隨了父神的意思
[00:05:22.360 --> 00:05:23.760]  是跟隨父神
[00:05:23.760 --> 00:05:26.560]  照你的意思,不照我的意思
[00:05:26.560 --> 00:05:30.560]  是對父神呼召絕對的信服
[00:05:30.560 --> 00:05:33.960]  主也呼召門徒要跟隨他
[00:05:33.960 --> 00:05:35.160]  學校他
[00:05:35.160 --> 00:05:39.560]  他是唯一要跟從和學校的對象
[00:05:39.560 --> 00:05:42.760]  主在登山裏也提醒我們
[00:05:42.760 --> 00:05:44.760]  「你們不可效法他們」
[00:05:44.760 --> 00:05:48.360]  他們就是指那些不屬神、不信主的人
[00:05:48.360 --> 00:05:51.560]  「使徒保羅在哥林多前書亦提醒信徒
[00:05:51.560 --> 00:05:55.560]  你們該效法我,像我效法基督一樣」
[00:05:55.560 --> 00:05:57.760]  另一方面
[00:05:57.760 --> 00:06:01.760]  我們要記住命令是背起和跟隨
[00:06:01.760 --> 00:06:05.760]  不是想起
[00:06:05.760 --> 00:06:07.560]  不是只是頭腦上的認知
[00:06:07.560 --> 00:06:09.760]  而是要求我們走出來
[00:06:09.760 --> 00:06:11.560]  要跟隨
[00:06:11.560 --> 00:06:13.960]  更加說出了我們和主之間
[00:06:13.960 --> 00:06:16.960]  有一份緊密、親密的關係
[00:06:16.960 --> 00:06:18.160]  跟隨
[00:06:18.160 --> 00:06:20.360]  Follow me, be my disciple
[00:06:20.360 --> 00:06:24.560]  是主的呼召、主的命令
[00:06:24.560 --> 00:06:27.160]  除了這三個命令式動詞
[00:06:27.160 --> 00:06:29.160]  這節經裏還有三個字
[00:06:29.160 --> 00:06:30.760]  都是很特別要留意的
[00:06:30.760 --> 00:06:32.960]  第一是「若」
[00:06:32.960 --> 00:06:34.760]  若有人要跟從我
[00:06:34.760 --> 00:06:37.760]  這表明主的呼召是命令
[00:06:37.760 --> 00:06:39.760]  但不是強迫的
[00:06:39.760 --> 00:06:44.160]  人仍然有自由意志去作決定、作抉擇
[00:06:44.160 --> 00:06:46.160]  第二是「天天」
[00:06:46.160 --> 00:06:48.160]  不只是星期六、日
[00:06:48.160 --> 00:06:51.160]  不只是星期二、三
[00:06:51.160 --> 00:06:52.160]  跟隨
