
[00:00:00.000 --> 00:00:04.720]  好,頂姊妹,你今個星期過得如何?
[00:00:04.720 --> 00:00:08.080]  嗯,非常好
[00:00:08.080 --> 00:00:09.480]  我們都覺得非常好
[00:00:09.480 --> 00:00:12.920]  不過,越不好的時候,我們越要讚美上帝
[00:00:12.920 --> 00:00:16.520]  當我們宣告神是真實的神的時候
[00:00:16.520 --> 00:00:18.840]  是讓我們的心定下來的時候
[00:00:18.840 --> 00:00:23.680]  所以多謝敬拜隊能夠帶我們一起去敬拜的時候
[00:00:23.680 --> 00:00:25.640]  進入講道的時候
[00:00:25.640 --> 00:00:31.280]  我的講題就叫「神話,你躲好了嗎?我來找你」
[00:00:31.280 --> 00:00:34.400]  你想起一個什麼遊戲呢?
[00:00:34.400 --> 00:00:37.880]  竹米床,沒錯,我們都玩過竹米床
[00:00:37.880 --> 00:00:41.040]  我上個星期……大家知不知道我現在是……
[00:00:41.040 --> 00:00:42.320]  我是青少部的傳導人
[00:00:42.320 --> 00:00:45.960]  但我今年去了兒童部,也是傳導人
[00:00:45.960 --> 00:00:49.360]  就是有一半時間去了兒童部
[00:00:49.360 --> 00:00:53.120]  所以你星期天就會發覺你少了見我
[00:00:53.120 --> 00:00:57.040]  因為星期天他們聚會的時候,我有一半時間都要去
[00:00:57.040 --> 00:01:02.080]  上星期我們帶了高小的孩子去秋季大旅行
[00:01:02.080 --> 00:01:04.080]  你們應該沒有去過,因為疫情
[00:01:04.080 --> 00:01:06.000]  恢復了這次第一次
[00:01:06.000 --> 00:01:08.760]  有一段小插曲發生了
[00:01:08.760 --> 00:01:12.240]  中間我們旅行是有自由時間的
[00:01:12.240 --> 00:01:14.120]  但我們去營地旅行
[00:01:14.120 --> 00:01:17.800]  他們的營地是沒有球類活動的
[00:01:17.800 --> 00:01:22.560]  有一群可能是很小五的男孩子
[00:01:22.560 --> 00:01:26.440]  因為我們帶了一些球給他們玩
[00:01:26.440 --> 00:01:28.560]  有一個男孩子來找我借球
[00:01:28.560 --> 00:01:31.800]  你知道我一向都是和我親友好人
[00:01:31.800 --> 00:01:34.720]  他問我借球,我當然親自去拿給他
[00:01:34.720 --> 00:01:38.800]  「你們偷笑,我很好人這件事不是事實嗎?」
[00:01:38.800 --> 00:01:40.120]  因為……
[00:01:40.120 --> 00:01:42.120]  我就拿給他
[00:01:42.120 --> 00:01:44.960]  但我特意要拿給他也有原因
[00:01:44.960 --> 00:01:47.200]  就是因為我要講解規矩給他們聽
[00:01:47.200 --> 00:01:48.920]  因為那個場地不是很大
[00:01:48.920 --> 00:01:50.480]  其他有活動中
[00:01:50.480 --> 00:01:52.800]  我們要走過去告訴他們
[00:01:52.800 --> 00:01:55.160]  只有這個範圍可以做
[00:01:55.160 --> 00:01:59.120]  於是我走了三百多步
[00:01:59.120 --> 00:02:01.120]  親自拿球給他們
[00:02:01.120 --> 00:02:02.920]  打算開始講解
[00:02:02.920 --> 00:02:05.240]  但你要明白在一個沒有東西玩的地方
[00:02:05.240 --> 00:02:06.640]  有一個人拿著球
