
[00:00:00.000 --> 00:00:01.720]  各位靚姐妹平安
[00:00:01.720 --> 00:00:05.040]  我想問問大家
[00:00:05.040 --> 00:00:07.240]  如果有人叫你去介紹你自己
[00:00:07.240 --> 00:00:08.640]  你會怎樣介紹?
[00:00:08.640 --> 00:00:14.040]  有沒有人想上來試一下?
[00:00:14.040 --> 00:00:18.120]  通常我們會告訴別人我們叫什麼名字
[00:00:18.120 --> 00:00:19.760]  做什麼職業
[00:00:19.760 --> 00:00:22.640]  我近來看到一篇文章
[00:00:22.640 --> 00:00:25.840]  那個人是教人怎樣做一個自我介紹的
[00:00:25.840 --> 00:00:28.920]  他說一個能夠打動人心
[00:00:28.920 --> 00:00:32.160]  令人留下深刻印象的自我介紹
[00:00:32.160 --> 00:00:34.160]  不是介紹你自己
[00:00:34.160 --> 00:00:36.400]  是介紹未來
[00:00:36.400 --> 00:00:38.440]  意思是說什麼呢?
[00:00:38.440 --> 00:00:42.840]  他說是藉由你自己參與的一些事物
[00:00:42.840 --> 00:00:46.880]  或者因為你這個人所發揮的作用
[00:00:46.880 --> 00:00:50.200]  能夠令別人獲得未來
[00:00:50.200 --> 00:00:51.440]  好像很厲害
[00:00:51.440 --> 00:00:53.120]  他有一個例子
[00:00:53.120 --> 00:00:54.520]  他說一般我們說
[00:00:54.520 --> 00:00:57.040]  譬如我叫陳大文
[00:00:57.280 --> 00:00:58.920]  職業是攝影師
[00:00:58.920 --> 00:01:01.200]  他說這個不行的
[00:01:01.200 --> 00:01:03.120]  他說應該改做什麼呢?
[00:01:03.120 --> 00:01:04.400]  大家聽著
[00:01:04.400 --> 00:01:07.720]  他說我是可以將你個人魅力
[00:01:07.720 --> 00:01:10.920]  充分發揮的攝影師陳大文
[00:01:10.920 --> 00:01:16.600]  請你讓我有機會免費跟你拍一張照
[00:01:16.600 --> 00:01:22.200]  我會將你呈現你前所未有
[00:01:22.200 --> 00:01:25.800]  和其他攝影師看不到的最大魅力
[00:01:25.800 --> 00:01:26.880]  是不是很厲害?
[00:01:27.880 --> 00:01:29.880]  (笑)
[00:01:29.880 --> 00:01:31.640]  你回家試試看
[00:01:31.640 --> 00:01:32.960]  看看如何介紹自己
[00:01:32.960 --> 00:01:35.040]  不過我想問
[00:01:35.040 --> 00:01:36.360]  如果有人問你
[00:01:36.360 --> 00:01:39.480]  你相信的神是怎樣的神
[00:01:39.480 --> 00:01:41.480]  你又會如何介紹祂呢?
[00:01:41.480 --> 00:01:43.680]  我們一起同心同意
[00:01:43.680 --> 00:01:49.680]  天父求祢保守我們每一個人
[00:01:49.680 --> 00:01:51.960]  安靜地來到祢的面前
[00:01:51.960 --> 00:01:53.760]  去聆聽祢自己的話語
[00:01:54.160 --> 00:01:56.720]  父我求祢親自對我們每一個人說話
[00:01:56.720 --> 00:01:59.640]  也祈求祢預備我們每一個人的心
[00:01:59.640 --> 00:02:04.600]  讓我們去聆聽、領受、回應
[00:02:04.600 --> 00:02:06.000]  和進行祢的道
[00:02:06.000 --> 00:02:08.720]  求祢聽我們在面前同心的禱告
[00:02:08.720 --> 00:02:10.920]  禱告奉主耶穌基督的名求
[00:02:10.920 --> 00:02:11.680]  阿們
[00:02:11.680 --> 00:02:16.520]  很想我們今天一起看看
