
[00:00:00.000 --> 00:00:06.440]  謝謝敬拜隊,給點掌聲芒果,今天第一次大敬拜
[00:00:06.440 --> 00:00:08.440]  很好的敬拜
[00:00:08.440 --> 00:00:12.440]  也給點掌聲C師,AV Team,敬拜隊
[00:00:12.440 --> 00:00:16.440]  一起為我們崇拜很多不同的預備
[00:00:16.440 --> 00:00:22.440]  今天想介紹今天的講員,這個暑假應該很多人都見過他
[00:00:22.440 --> 00:00:27.440]  或者跟他一起合作過,就是能恩,是我們的神學生
[00:00:27.440 --> 00:00:30.440]  今天他會跟大家分享訊息
[00:00:30.440 --> 00:00:35.440]  鼓勵大家,今天他應該是第一次在神學院以外講道
[00:00:35.440 --> 00:00:38.440]  所以他應該都會有些緊張
[00:00:38.440 --> 00:00:41.440]  所以大家用肯定鼓勵的眼神去專注
[00:00:41.440 --> 00:00:43.440]  去聽他分享神的話
[00:00:43.440 --> 00:00:45.440]  我們將時間交給他
[00:00:56.440 --> 00:00:58.440]  大家好
[00:00:58.440 --> 00:01:00.440]  沒有反應
[00:01:00.440 --> 00:01:04.440]  謝謝凌峰介紹了我
[00:01:04.440 --> 00:01:08.440]  本來都想介紹一下自己
[00:01:08.440 --> 00:01:10.440]  因為我都怕有些人去到八月尾都不認識我
[00:01:10.440 --> 00:01:14.440]  但現在介紹了我,太好了,不用我自己介紹
[00:01:14.440 --> 00:01:18.440]  都很開心,今天可以有機會跟大家分享神的話語
[00:01:18.440 --> 00:01:21.440]  但其實都真的有些壓力
[00:01:21.440 --> 00:01:27.440]  因為我第一次在課堂以外的地方講道
[00:01:27.440 --> 00:01:29.440]  多多少少都會有些緊張
[00:01:29.440 --> 00:01:33.440]  希望大家留心聽,我的體驗可能會好一點
[00:01:33.440 --> 00:01:37.440]  第二,原來被我翻查到一些資料
[00:01:37.440 --> 00:01:41.440]  在一年前,2024年八月第一個星期
[00:01:41.440 --> 00:01:45.440]  大家聽了一篇道,跟今天這篇道的經文是一模一樣的
[00:01:45.440 --> 00:01:47.440]  不知道大家還有沒有印象呢
[00:01:48.440 --> 00:01:53.440]  不要緊,其實我自己又偷偷地去YouTube找來聽了一點
[00:01:53.440 --> 00:02:00.440]  我覺得上帝給我們每一次在聽道裏面的更新和提醒都是不一樣的
[00:02:00.440 --> 00:02:03.440]  不如在我們今天講道之前,我們一起有個禱告
[00:02:03.440 --> 00:02:07.440]  七天會上帝,我們感謝你
[00:02:07.440 --> 00:02:09.440]  讓我們今天又可以再一次分到教會裏面
[00:02:09.440 --> 00:02:13.440]  我們有敬拜讚美聽道的時間
