
[00:00:00.000 --> 00:00:04.000]  有人認得嗎
[00:00:04.000 --> 00:00:06.000]  聰明啊
[00:00:06.000 --> 00:00:10.000]  聽到音樂還是看到畫面
[00:00:10.000 --> 00:00:12.000]  兩樣都有
[00:00:12.000 --> 00:00:14.000]  算你吧
[00:00:14.000 --> 00:00:16.000]  一部很震撼人心的電影
[00:00:16.000 --> 00:00:20.000]  這部電影是1993年的黑白電影
[00:00:20.000 --> 00:00:24.000]  講述一個德國商人
[00:00:24.000 --> 00:00:26.000]  他怎樣拯救這些面臨大屠殺的猶太人
[00:00:26.000 --> 00:00:29.000]  他召集他們到他的工廠工作
[00:00:29.000 --> 00:00:31.000]  幫他們避過這些災難
[00:00:31.000 --> 00:00:33.000]  避過大屠殺
[00:00:33.000 --> 00:00:36.000]  他就用自己的錢來賄賂士兵
[00:00:36.000 --> 00:00:39.000]  購買糧食去救這些猶太人
[00:00:39.000 --> 00:00:45.000]  其實本來他想在德國發展戰爭財產
[00:00:45.000 --> 00:00:48.000]  就是那些平價的猶太人
[00:00:48.000 --> 00:00:50.000]  平價勞工想著發達
[00:00:50.000 --> 00:00:54.000]  誰知他只看到那個紅色衣服的女孩
[00:00:54.000 --> 00:00:57.000]  令他改變了
[00:00:57.000 --> 00:01:00.000]  他知道這個女孩感動了他
[00:01:00.000 --> 00:01:04.000]  他要去拯救這些猶太人
[00:01:04.000 --> 00:01:06.000]  不過你翻查一下紀錄
[00:01:06.000 --> 00:01:09.000]  其實有關猶太人被擄、大屠殺
[00:01:09.000 --> 00:01:11.000]  很多電影主題都是做這個
[00:01:11.000 --> 00:01:16.000]  不過這部真是最震撼、最經典的
[00:01:16.000 --> 00:01:19.000]  猶太人被擄歷史上不斷重複
[00:01:19.000 --> 00:01:22.000]  大衛王的後裔
[00:01:22.000 --> 00:01:24.000]  大部分都是壞皇帝
[00:01:24.000 --> 00:01:26.000]  聖經怎樣形容他們
[00:01:26.000 --> 00:01:28.000]  作爺和華眼中看為
[00:01:28.000 --> 00:01:31.000]  惡的事多過好的事
[00:01:31.000 --> 00:01:33.000]  那次我們跟他們查經
[00:01:33.000 --> 00:01:35.000]  惡的惡的全部都是惡的
[00:01:35.000 --> 00:01:37.000]  真是心都暗了
[00:01:37.000 --> 00:01:39.000]  就因為他們不跟從神
[00:01:39.000 --> 00:01:40.000]  最後就亡國
[00:01:40.000 --> 00:01:42.000]  被擄到巴比倫
[00:01:42.000 --> 00:01:46.000]  巴比倫的移民政策究竟是怎樣呢
[00:01:46.000 --> 00:01:50.000]  他們就是這個叫做優才的輸入計劃
[00:01:50.000 --> 00:01:52.000]  你看聖經裏面說
[00:01:52.000 --> 00:01:55.000]  當時他們把城裏面剩下的百姓都擄走
[00:01:55.000 --> 00:01:58.000]  就留下一些最窮的
[00:01:58.000 --> 00:02:01.000]  最好的就全部擄走去自己地方
[00:02:01.000 --> 00:02:03.000]  這個就是優才輸入
[00:02:03.000 --> 00:02:05.000]  另外就是優秀人才改造
[00:02:05.000 --> 00:02:07.000]  大家記得吧
[00:02:07.000 --> 00:02:12.000]  但爾利被人帶入宮裏改造他
[00:02:12.000 --> 00:02:14.000]  教迦勒底的文字和語言
[00:02:14.000 --> 00:02:16.000]  用黃的扇子和喝的酒
