
[00:00:00.000 --> 00:00:05.000]  感謝敬拜隊帶領我們剛才的敬拜,很好的敬拜
[00:00:05.000 --> 00:00:08.000]  第一首其實也很觸動到我,Good Good Father
[00:00:08.000 --> 00:00:13.000]  天父是一個創造我們的創造主
[00:00:13.000 --> 00:00:17.000]  但也是那個時刻不斷地愛我們的神
[00:00:17.000 --> 00:00:21.000]  但很多時候,其實剛才的敬拜裡面,我體會到一種呼喊
[00:00:21.000 --> 00:00:24.000]  我們生命裡面可能面對很多東西
[00:00:24.000 --> 00:00:27.000]  我們看到這個世界,很不妙,很黑暗
[00:00:27.000 --> 00:00:29.000]  究竟那個出路在哪裡?究竟神的愛在哪裡?
[00:00:29.000 --> 00:00:31.000]  究竟神的良善在哪裡?
[00:00:31.000 --> 00:00:34.000]  很多時候我們都會在這個世界裡面
[00:00:34.000 --> 00:00:37.000]  就是因著這些事,令我們的心都沉下來
[00:00:37.000 --> 00:00:41.000]  天父的良善在哪裡?我們究竟可以如何體會到他?
[00:00:41.000 --> 00:00:45.000]  但在敬拜裡面,正正帶領我們體會到
[00:00:45.000 --> 00:00:48.000]  再一次說,神沒有放棄這個世界
[00:00:48.000 --> 00:00:50.000]  並且祂定義要拯救我們
[00:00:50.000 --> 00:00:55.000]  我們要回去就是回到主耶穌基督十字架的救恩裡面
[00:00:55.000 --> 00:00:58.000]  以至我們體會到這個世界不是就這樣就完
[00:00:58.000 --> 00:01:02.000]  而是一個句號,這個世界仍然會有祂的盼望在裡面
[00:01:02.000 --> 00:01:06.000]  盼望我們待會可以藉著經文裡面的提醒
[00:01:06.000 --> 00:01:10.000]  都可以在裡面,我們回去神賜給我們的盼望裡面
[00:01:10.000 --> 00:01:13.000]  以至我們可以去認定到我們生命裡面
[00:01:13.000 --> 00:01:15.000]  可以如何為他而活
[00:01:15.000 --> 00:01:17.000]  我一聲祈禱,好嗎?
[00:01:17.000 --> 00:01:19.000]  所以天父,我們感謝你賜給我們華語
[00:01:19.000 --> 00:01:21.000]  成為我們生命裡面的明燈
[00:01:21.000 --> 00:01:25.000]  因此我們生命裡面都會沮喪,都會不容易的
[00:01:25.000 --> 00:01:29.000]  求你藉著你的華語去兼顧我們,提醒我們
[00:01:29.000 --> 00:01:32.000]  並且也教我們如何活我們的生命
[00:01:32.000 --> 00:01:36.000]  以至我們在這個世界裡面可以成為一點點的光
