
[00:00:00.000 --> 00:00:02.600]  在分享之前我們一起祈禱吧
[00:00:03.600 --> 00:00:08.600]  善愛的天父上帝多謝您帶領我們腳步滿有平安回來
[00:00:08.600 --> 00:00:13.600]  我們都是在您的愛裡面天天被您看顧
[00:00:13.600 --> 00:00:15.600]  天天有著您的扶持
[00:00:15.600 --> 00:00:19.600]  我們感恩今天我們能夠敬拜您
[00:00:19.600 --> 00:00:21.600]  能夠實體相聚
[00:00:21.600 --> 00:00:25.600]  我們每一次都要去珍惜
[00:00:25.600 --> 00:00:27.600]  因為這不是必然
[00:00:27.600 --> 00:00:29.600]  主阿願您的聖靈在以下的時間
[00:00:29.600 --> 00:00:32.600]  都在我們整個會場裡面工作
[00:00:32.600 --> 00:00:37.600]  讓聖經的話語成為我們心靈裡面的滋潤提醒
[00:00:37.600 --> 00:00:42.600]  也都在我們靈裡面得著操就
[00:00:42.600 --> 00:00:44.600]  讓我們在屬靈的生命裡面
[00:00:44.600 --> 00:00:47.600]  不斷被您牧養成長
[00:00:47.600 --> 00:00:49.600]  願祢祝福帶領以下時間
[00:00:49.600 --> 00:00:52.600]  我們誠心禱告奉耶穌基督的名求
[00:00:52.600 --> 00:00:54.600]  阿們
[00:00:54.600 --> 00:00:57.600]  曾經有一個團友
[00:00:57.600 --> 00:00:59.600]  簽了一個孫女
[00:00:59.600 --> 00:01:05.600]  很多人在手機群組裡面
[00:01:05.600 --> 00:01:07.600]  恭喜她簽孫
[00:01:07.600 --> 00:01:10.600]  也有一個WhatsApp表達
[00:01:10.600 --> 00:01:12.600]  為BB女的哥哥
[00:01:12.600 --> 00:01:15.600]  能夠愛惜妹妹祈禱
[00:01:15.600 --> 00:01:20.600]  為什麼會有這樣的提出祈禱呢
[00:01:20.600 --> 00:01:23.600]  大家都想到了
[00:01:23.600 --> 00:01:25.600]  妹妹出生了
[00:01:25.600 --> 00:01:28.600]  父母對哥哥的注意力
[00:01:28.600 --> 00:01:32.600]  自然會分薄給妹妹
[00:01:32.600 --> 00:01:34.600]  因為妹妹年幼
[00:01:34.600 --> 00:01:38.600]  於是常見的問題出現了
[00:01:38.600 --> 00:01:45.600]  就是哥哥或姐姐會質問初生弟弟和妹妹
[00:01:45.600 --> 00:01:52.600]  妹妹會推開父母
[00:01:52.600 --> 00:01:55.600]  趁父母看不到的時候
[00:01:55.600 --> 00:01:57.600]  就撕弟弟
[00:01:57.600 --> 00:01:59.600]  欺負他
[00:01:59.600 --> 00:02:01.600]  撕妹妹
[00:02:01.600 --> 00:02:03.600]  欺負他
[00:02:03.600 --> 00:02:05.600]  為什麼呢
