
[00:00:00.000 --> 00:00:05.520]  有一位神的僕人,從神領受異象,
[00:00:05.520 --> 00:00:10.320]  由零開始創辦了一個福音機構。
[00:00:10.320 --> 00:00:16.320]  他在領受上帝異象之前,做了一個改變一生的決定。
[00:00:16.320 --> 00:00:21.720]  他和他太太同心在上帝面前納藥,
[00:00:21.720 --> 00:00:27.120]  願意做上帝的奴僕,即所謂奴僕之約。
[00:00:27.120 --> 00:00:30.720]  而做上帝的奴僕意味著什麼呢?
[00:00:30.720 --> 00:00:36.640]  就是要將他的全人,包括理智、情感、意志,
[00:00:36.640 --> 00:00:39.440]  都完全降伏於主。
[00:00:39.440 --> 00:00:42.720]  而因著他這樣降伏於主,
[00:00:42.720 --> 00:00:45.720]  神就使用他成為眾人的祝福。
[00:00:45.720 --> 00:00:47.920]  以1999年為例,
[00:00:47.920 --> 00:00:54.320]  他的機構在全世界總共有二萬多位全職的同工,
[00:00:54.320 --> 00:00:58.520]  以及六十六萬多位受訓義工。
[00:00:58.520 --> 00:01:03.320]  而全時間的同工也遍及世界181個國家。
[00:01:03.320 --> 00:01:08.920]  而自從這個機構在1951年開始發展事工,
[00:01:08.920 --> 00:01:16.520]  大約有45億人因著這個機構和和他合作的福音夥伴機構,
[00:01:16.520 --> 00:01:19.120]  而接觸到福音。
[00:01:19.120 --> 00:01:28.720]  在20世紀,這個機構曾經幫助全世界超過十萬個以上的教會直堂。
[00:01:28.720 --> 00:01:34.320]  這位神的僕人是哪位呢?
[00:01:34.320 --> 00:01:39.720]  他就是國際學員傳道會的創辦人,伯納德博士。
[00:01:39.720 --> 00:01:41.320]  想請問有多少位弟兄姊妹,
[00:01:41.320 --> 00:01:46.720]  你是聽過學員傳道會或者聽過伯納德博士的?請你舉手。
[00:01:46.720 --> 00:01:48.920]  好,也有不少。
[00:01:48.920 --> 00:01:56.920]  其實我大學的時候也是接受學員傳道會的訓練的。
[00:01:56.920 --> 00:02:00.120]  伯納德博士在1993年離世,
[00:02:00.120 --> 00:02:04.520]  在他的墓志銘上寫著這一句話,
[00:02:04.520 --> 00:02:09.920]  就是「Slave of Christ」,即是基督的奴僕。
[00:02:09.920 --> 00:02:15.920]  而他一生的的確確是持守了和神所立的奴僕之約。
[00:02:15.920 --> 00:02:22.520]  或者你會說,沒有什麼人能夠像伯納德博士那樣帶來這麼大的事功果效。
[00:02:22.520 --> 00:02:25.520]  但是在上帝的眼中,
[00:02:25.520 --> 00:02:29.720]  事功的果效不是以規模大小來看的,
[00:02:29.720 --> 00:02:34.320]  而是有沒有進行上帝的旨意。
[00:02:34.320 --> 00:02:39.120]  信服上帝的人一定會經歷到上帝奇妙的作為,
[00:02:39.120 --> 00:02:44.720]  並且在上帝面前的價值絕對不會少於伯納德博士。
[00:02:44.720 --> 00:02:49.320]  現在讓我們看看利希米時代的一群以色列民,
[00:02:49.320 --> 00:02:51.920]  又如何與神納約呢?
[00:02:51.920 --> 00:02:55.920]  讓我們有一個祈禱。
[00:02:55.920 --> 00:03:01.920]  真愛的天父,我們感謝祢,讓我們聚集在祢的殿中一同敬拜。
[00:03:01.920 --> 00:03:06.920]  願祢親自引導我們,幫助我們明白祢的心意,
[00:03:06.920 --> 00:03:11.120]  又願祢在我們心中做感動的工作,
[00:03:11.120 --> 00:03:15.520]  讓我們能夠回應祢給我們的說話和教導。
[00:03:15.520 --> 00:03:19.720]  我們的禱告奉主耶穌基督的名,阿們。
[00:03:19.720 --> 00:03:22.320]  我們一直在說利希米記,
[00:03:22.320 --> 00:03:27.520]  利希米記八章記述了以色列人明白律法,
[00:03:27.520 --> 00:03:32.320]  而第九章記述他們在上帝面前認罪,
[00:03:32.320 --> 00:03:37.520]  記述耶和華神是誰,祂為百姓做了什麼。
[00:03:37.520 --> 00:03:41.120]  這個禱告亦回顧了以色列人的歷史,
[00:03:41.120 --> 00:03:45.320]  顯明了神的威嚴和人的墮落。
[00:03:45.320 --> 00:03:49.120]  以色列人以大大惹動神的怒氣,
[00:03:49.120 --> 00:03:54.920]  來回應神的豐盛慈愛和極大的憐憫。
[00:03:54.920 --> 00:04:02.120]  所以最終導致他們遭遇了大難,即是被擄。
[00:04:02.120 --> 00:04:06.920]  在利希米記九章三十八節,
