
[00:00:00.000 --> 00:00:03.680]  大家好 新年 大家新年好
[00:00:03.680 --> 00:00:06.880]  首先我要多謝一班侍奉團隊
[00:00:06.880 --> 00:00:10.320]  有敬拜隊 AV Team 和 史詩團隊
[00:00:10.320 --> 00:00:13.600]  他們一早回來為大家盡心預備
[00:00:13.600 --> 00:00:16.240]  所以大家都希望他們成為你的榜樣
[00:00:16.240 --> 00:00:20.160]  讓接下來有機會的去跟他們一起參與服侍
[00:00:20.160 --> 00:00:22.880]  讓大家大兄姊妹能夠崇拜的裡面
[00:00:22.880 --> 00:00:26.240]  一起讓我們每一個都可以用心
[00:00:26.240 --> 00:00:29.360]  專心在崇拜裡面去敬拜主
[00:00:29.360 --> 00:00:31.360]  去聆聽主的話
[00:00:31.360 --> 00:00:34.000]  首先今天是新年初五
[00:00:34.000 --> 00:00:37.360]  不如跟大家旁邊的那個
[00:00:37.360 --> 00:00:40.560]  說一句新年的祝賀說話好嗎
[00:00:40.560 --> 00:00:43.600]  大家一起說祝賀說話
[00:00:43.600 --> 00:00:45.600]  我跟你說好嗎
[00:00:45.600 --> 00:00:47.600]  旁邊沒有
[00:00:47.600 --> 00:00:49.600]  新年快樂
[00:00:49.600 --> 00:00:51.600]  祝福你 遠處祝福你
[00:00:51.600 --> 00:00:55.200]  我相信整個新年
[00:00:55.200 --> 00:00:56.720]  全年裡面
[00:00:56.720 --> 00:01:02.000]  應該這幾天是大家說得最多祝福的說話
[00:01:02.000 --> 00:01:03.760]  不知道大家在祝福的說話裡面
[00:01:03.760 --> 00:01:05.440]  通常會說些什麼呢
[00:01:05.440 --> 00:01:07.440]  是不是那些新年夢福
[00:01:07.440 --> 00:01:10.240]  然後祝福滿滿
[00:01:10.240 --> 00:01:12.480]  然後平安是福
[00:01:12.480 --> 00:01:13.600]  事主夢福
[00:01:13.600 --> 00:01:17.440]  其實在這些祝福的句語裡面
[00:01:17.440 --> 00:01:18.960]  其實我們離不開
[00:01:18.960 --> 00:01:21.280]  很多時候會說福字
[00:01:21.280 --> 00:01:23.120]  那你有沒有想過
[00:01:23.120 --> 00:01:26.560]  其實怎樣才真的得到祝福呢
[00:01:26.560 --> 00:01:28.320]  今天看到我的講題
[00:01:28.320 --> 00:01:30.320]  就是在說夢福的選擇
[00:01:30.320 --> 00:01:33.280]  就是很想透過今天
[00:01:33.280 --> 00:01:34.560]  新年的開始
[00:01:34.560 --> 00:01:36.560]  透過這段經文去教導我們
[00:01:36.560 --> 00:01:37.920]  我們作為信徒
[00:01:37.920 --> 00:01:39.360]  我們在生活當中
[00:01:39.360 --> 00:01:41.040]  在我們侍奉的裡面
[00:01:41.040 --> 00:01:42.560]  我們讀書的裡面
[00:01:42.560 --> 00:01:45.760]  我們怎樣可以作出一個夢福的選擇呢
[00:01:45.760 --> 00:01:50.240]  很希望這段經文能夠成為大家新年的一個祝福
[00:01:50.240 --> 00:01:53.680]  今天我講到的經文就是《路加福音》
[00:01:53.680 --> 00:01:56.880]  10章38-42節
[00:01:56.880 --> 00:01:59.120]  不如我們一起大力的
[00:01:59.120 --> 00:02:01.280]  有聲的一起讀出經文好不好
[00:02:01.280 --> 00:02:02.800]  1、2、3
[00:02:03.200 --> 00:02:04.800]  他們繼續前行
[00:02:04.800 --> 00:02:07.040]  耶穌進了一個村莊
[00:02:07.040 --> 00:02:09.680]  有一個女人名叫瑪大
[00:02:09.680 --> 00:02:11.680]  接她到自己家裡
[00:02:11.680 --> 00:02:14.800]  她有一個妹妹名叫瑪利亞
[00:02:14.800 --> 00:02:18.000]  在主的腳前坐著聽她的道
[00:02:18.000 --> 00:02:20.000]  瑪大事後的事多
[00:02:20.000 --> 00:02:21.520]  心裡忙亂
[00:02:21.520 --> 00:02:22.960]  進前來說
[00:02:22.960 --> 00:02:23.760]  主啊
[00:02:23.760 --> 00:02:26.640]  我的妹妹留下我一個侍候
[00:02:26.640 --> 00:02:28.160]  祢不在意嗎
[00:02:28.160 --> 00:02:30.640]  請吩咐她來幫助我
[00:02:30.640 --> 00:02:32.000]  主回答說
[00:02:32.000 --> 00:02:33.440]  瑪大 瑪大
[00:02:33.440 --> 00:02:36.560]  你為許多事心煩絕路
[00:02:36.560 --> 00:02:39.440]  但是不可少的只有一件
[00:02:39.440 --> 00:02:43.200]  瑪利亞已經選擇了尚好的福分
[00:02:43.200 --> 00:02:46.240]  是沒有人能奪去的
[00:02:46.240 --> 00:02:48.240]  好 我們一起低頭祈禱
[00:02:48.240 --> 00:02:49.440]  七位天父
[00:02:49.440 --> 00:02:50.320]  好 感謝你
[00:02:50.320 --> 00:02:53.280]  讓我們能夠在新年的裡面平安回來
[00:02:53.280 --> 00:02:54.640]  有一起彼此相聚
[00:02:54.640 --> 00:02:56.160]  有去敬拜你的時間
[00:02:56.160 --> 00:02:59.360]  同樣現在都有去聽你的話語的時間
[00:02:59.360 --> 00:03:02.160]  求主高門孩子一口
[00:03:02.160 --> 00:03:06.800]  並且讓孩子的聲沙能夠用到
