
[00:00:00.000 --> 00:00:04.000]  今天能夠來到大家當中分享
[00:00:04.000 --> 00:00:07.000]  我也很想藉這個機會多說一點
[00:00:07.000 --> 00:00:10.000]  為什麼這一系列一直在說什麼呢?
[00:00:10.000 --> 00:00:11.000]  不過在說之前
[00:00:11.000 --> 00:00:13.000]  我看到最近經常聽到
[00:00:13.000 --> 00:00:16.000]  有些從海外回來的弟兄姊妹、會友
[00:00:16.000 --> 00:00:18.000]  有沒有放暑假從海外回來的
[00:00:18.000 --> 00:00:20.000]  舉手我們也給你掌聲吧
[00:00:20.000 --> 00:00:22.000]  應該有很多吧
[00:00:22.000 --> 00:00:23.000]  前面也有了
[00:00:23.000 --> 00:00:24.000]  還有沒有?
[00:00:24.000 --> 00:00:26.000]  我們真的很歡迎你
[00:00:28.000 --> 00:00:31.000]  有些可能也是從國內回來的
[00:00:31.000 --> 00:00:32.000]  我們真的很開心
[00:00:32.000 --> 00:00:34.000]  很期望你什麼時候回來
[00:00:34.000 --> 00:00:36.000]  這個家的門口也是為你打開的
[00:00:36.000 --> 00:00:38.000]  也很期望見到你
[00:00:38.000 --> 00:00:41.000]  今天是講到提多書的第三章
[00:00:41.000 --> 00:00:44.000]  我覺得也是一個挺挑戰的題目
[00:00:44.000 --> 00:00:47.000]  裡面講到關於對政權的馴服
[00:00:47.000 --> 00:00:50.000]  我自己也想再重溫一下
[00:00:50.000 --> 00:00:52.000]  為什麼我們一系列的講道
[00:00:52.000 --> 00:00:55.000]  讓大家也有些明白或者感受
[00:00:55.000 --> 00:00:58.000]  首先我們在上一年
[00:00:58.000 --> 00:01:00.000]  我們在《以西傑書》裡面說
[00:01:00.000 --> 00:01:03.000]  當整個屬靈的群體
[00:01:03.000 --> 00:01:07.000]  沒有了屬靈的所謂建築物的時候
[00:01:07.000 --> 00:01:08.000]  或者一些系統的時候
[00:01:08.000 --> 00:01:10.000]  它仍然在神面前站立
[00:01:10.000 --> 00:01:13.000]  上一年我們叫做《轉變中的盼望》
[00:01:13.000 --> 00:01:14.000]  在《以西傑書》裡面看
[00:01:14.000 --> 00:01:16.000]  今年我們藉著《馬克福音》
[00:01:16.000 --> 00:01:20.000]  是在說我們在這個蛻變
[00:01:20.000 --> 00:01:22.000]  我們破解的蛻變
[00:01:22.000 --> 00:01:25.000]  好像有很多東西困住我們整個社會
[00:01:25.000 --> 00:01:26.000]  甚至是基督徒生命的時候
[00:01:26.000 --> 00:01:28.000]  我們怎樣向前走
[00:01:28.000 --> 00:01:29.000]  所以在《馬克福音》裡面
[00:01:29.000 --> 00:01:31.000]  在耶穌基督什麼都沒有的時候
[00:01:31.000 --> 00:01:32.000]  連屬靈群體都沒有的時候
[00:01:32.000 --> 00:01:35.000]  怎樣可以重新在上帝的面前
[00:01:35.000 --> 00:01:36.000]  藉著祂的救恩
[00:01:36.000 --> 00:01:38.000]  產生一個屬靈的群體
[00:01:38.000 --> 00:01:40.000]  接著我就想在平衡的時候
[00:01:40.000 --> 00:01:41.000]  說些什麼好呢
[00:01:41.000 --> 00:01:43.000]  在平衡《馬克福音》的時候
[00:01:43.000 --> 00:01:46.000]  我就選擇了提多書和肥利門書
[00:01:46.000 --> 00:01:47.000]  如果大家記得上個月
[00:01:47.000 --> 00:01:48.000]  我講肥利門書
[00:01:48.000 --> 00:01:52.000]  講到自由、民主和博愛的概念
[00:01:52.000 --> 00:01:54.000]  在肥利門書裡面去講
[00:01:54.000 --> 00:01:56.000]  講到當一個屬靈群體出現的時候
[00:01:56.000 --> 00:01:58.000]  它和社會的關係是怎麼樣的
