
[00:00:00.000 --> 00:00:02.000]  (主人) 鼎姐妹早晨
[00:00:02.000 --> 00:00:04.000]  今日仲係年初九喎
[00:00:04.000 --> 00:00:06.800]  喺度祝福各位鼎姐妹新年蒙福
[00:00:06.800 --> 00:00:08.300]  主恩滿載
[00:00:08.300 --> 00:00:11.000]  讓我哋一同嚟到低頭禱告
[00:00:11.000 --> 00:00:14.600]  親愛的天父我哋感謝讚美你
[00:00:14.600 --> 00:00:17.000]  因為你常與我哋同在
[00:00:17.000 --> 00:00:19.200]  你坐在至高嘅寶座上面
[00:00:19.200 --> 00:00:21.200]  看顧我哋眾人嘅需要
[00:00:21.200 --> 00:00:23.800]  讓我哋同心嚟到去讚美你
[00:00:23.800 --> 00:00:26.400]  要求聖靈運行喺我哋嘅當中
[00:00:26.400 --> 00:00:28.000]  開我哋眾人嘅心靈
[00:00:28.000 --> 00:00:29.400]  藉住你嘅話語
[00:00:29.400 --> 00:00:31.000]  讓我哋與你親近
[00:00:31.000 --> 00:00:35.200]  並且領受神你為我哋所預備一切美好的事物
[00:00:35.200 --> 00:00:36.600]  領受神你嘅愛
[00:00:36.600 --> 00:00:38.200]  我哋咁樣同心禱告
[00:00:38.200 --> 00:00:40.600]  奉主耶穌基督聖名祈求
[00:00:40.600 --> 00:00:41.600]  阿門
[00:00:41.600 --> 00:00:44.800]  讓我哋嚟到去先讀出今日嘅經文
[00:00:44.800 --> 00:00:48.000]  係詩篇十九篇一至到六節
[00:00:48.000 --> 00:00:51.200]  諸天述說神的榮耀
[00:00:51.200 --> 00:00:54.200]  窮倉全讓他守的作為
[00:00:54.200 --> 00:00:57.000]  這日到那日發出言語
[00:00:57.000 --> 00:01:00.000]  這夜到那夜傳出知識
[00:01:00.000 --> 00:01:03.600]  無言無語也無聲音可聽
[00:01:03.600 --> 00:01:06.200]  他的聲浪傳遍天下
[00:01:06.200 --> 00:01:08.800]  他們的言語傳到地極
[00:01:08.800 --> 00:01:12.400]  神在其中為太陽安設帳幕
[00:01:12.400 --> 00:01:15.600]  太陽如同新郎步出洞房
[00:01:15.600 --> 00:01:18.400]  猶如勇士歡言奔怒
[00:01:18.400 --> 00:01:20.600]  他從天這邊出來
[00:01:20.600 --> 00:01:22.200]  繞到天那邊
[00:01:22.200 --> 00:01:26.600]  沒有一物可隱藏得不到他的熱氣
[00:01:27.600 --> 00:01:28.800]  弟兄姊妹
[00:01:28.800 --> 00:01:30.600]  過去一年
[00:01:30.600 --> 00:01:34.600]  我們都可以說是過了一年很特別的日子
[00:01:34.600 --> 00:01:36.400]  就著疫情的緣故
[00:01:36.400 --> 00:01:38.800]  今年新年我們都減少了很多
[00:01:38.800 --> 00:01:42.200]  和弟兄姊妹和親友相聚的時間
[00:01:42.200 --> 00:01:47.000]  反而改了在網上互相祝賀和拜年
[00:01:47.000 --> 00:01:48.600]  而且在這一年來
[00:01:48.600 --> 00:01:50.600]  大家的生活模式都有改變
[00:01:50.600 --> 00:01:52.600]  多了很多在家工作
[00:01:52.600 --> 00:01:54.600]  旅行又取消了
[00:01:54.600 --> 00:01:56.600]  運動也減少了
[00:01:56.600 --> 00:01:59.600]  每天關注的就是疫情的數字
[00:01:59.600 --> 00:02:01.000]  長時間以來
[00:02:01.000 --> 00:02:04.600]  心靈和生活都好像不斷要作出調整
[00:02:04.600 --> 00:02:06.800]  不知道這些對你的內心
[00:02:06.800 --> 00:02:08.000]  會不會都影響
[00:02:08.000 --> 00:02:09.600]  感到好像有點納悶
[00:02:09.600 --> 00:02:11.600]  甚至有擔憂的時間呢
[00:02:11.600 --> 00:02:13.400]  在信仰方面
[00:02:13.400 --> 00:02:16.600]  教會能夠實體聚會的次數又不是很多
[00:02:16.600 --> 00:02:21.000]  團契不能夠親身去和弟兄姊妹相交吃飯
[00:02:21.000 --> 00:02:23.000]  就算是崇拜
[00:02:23.000 --> 00:02:27.000]  也能夠由從前的現場參與
[00:02:27.000 --> 00:02:30.200]  改為要看網上直播觀看
[00:02:30.200 --> 00:02:32.200]  我想多少都影響到
[00:02:32.200 --> 00:02:35.000]  大家的專注度或者投入感
[00:02:35.000 --> 00:02:37.200]  在這些限制的裏面
[00:02:37.200 --> 00:02:39.000]  不知道你會不會覺得
