
[00:00:00.000 --> 00:00:06.280]  大家有沒有不同年代的人
[00:00:06.280 --> 00:00:08.960]  剛才今天早上跟同事聊
[00:00:08.960 --> 00:00:11.960]  我們這堂挺好的 有不同年代的人
[00:00:11.960 --> 00:00:18.480]  我發現不同年代都有不同文化的傳承
[00:00:18.480 --> 00:00:23.080]  但心目中總是有一個很共同的位置
[00:00:23.080 --> 00:00:25.600]  就是都有英雄人物在心裏面
[00:00:25.600 --> 00:00:35.600]  當有英雄人物的原因感受到被欺壓的時候
[00:00:35.600 --> 00:00:39.600]  那些英雄人物就會希望從你的腦海走出來
[00:00:39.600 --> 00:00:44.600]  幫你排難減分 幫你出頭的那種感覺
[00:00:44.600 --> 00:00:49.600]  在中文武俠世界大家有什麼
[00:00:49.600 --> 00:00:54.600]  蛇鵰那些英雄人物 郭靖 黃蓉
[00:00:54.600 --> 00:00:58.600]  在英文世界有超人 Superman 或其他
[00:00:58.600 --> 00:01:03.600]  在日文世界也有 成長當中有鹹蛋超人
[00:01:03.600 --> 00:01:07.600]  不知道大家有沒有經歷過這些階段
[00:01:07.600 --> 00:01:11.600]  他們都是很能打的 他們都是很聰明的
[00:01:11.600 --> 00:01:17.600]  他們在小說裏面 在電影裏面都是拯救世界的人物
[00:01:17.600 --> 00:01:23.600]  我們的救主耶穌基督在聖經裏面記載到那些言行舉止
[00:01:23.600 --> 00:01:31.600]  對我們在心目中的那種英雄形象好像格格不入
[00:01:31.600 --> 00:01:38.600]  他拯救世界的方法完全顛覆了人類心目中的那種想像
[00:01:38.600 --> 00:01:42.600]  當十二個門徒跟耶穌跟了兩年
[00:01:42.600 --> 00:01:48.600]  他們都覺得耶穌其實很厲害 這個師父很有實力
[00:01:48.600 --> 00:01:57.600]  但是無論從他的神跡 講道都覺得很厲害
[00:01:57.600 --> 00:02:01.600]  都令到他們覺得很讚嘆 哇 這是什麼人來的
[00:02:01.600 --> 00:02:05.600]  雖然耶穌很多次表露他的身份
[00:02:05.600 --> 00:02:07.600]  不經意 經意好 表露他的身份
[00:02:07.600 --> 00:02:12.600]  但是門徒又好像不太清楚他真正的身份
[00:02:12.600 --> 00:02:18.600]  這就是聖經 耶穌表現到在哪個年代的那種人
[00:02:18.600 --> 00:02:21.600]  那種吸引力和那種迷茫
[00:02:21.600 --> 00:02:26.600]  今天和大家分享 《約翰福音》七個神跡中間的第四個和第五個
[00:02:26.600 --> 00:02:31.600]  就是五丙二乳的神跡和耶穌在海面上行走的神跡
[00:02:31.600 --> 00:02:38.600]  就讓我們更加清楚耶穌的真正身份和去行神跡的目的
[00:02:38.600 --> 00:02:45.600]  首先就讓我們一起讀出《約翰福音》六章一到十五節
[00:02:45.600 --> 00:02:47.600]  一起讀吧
[00:02:47.600 --> 00:03:15.600]  (主持人讀書)
[00:03:15.600 --> 00:03:44.600]  (主持人讀書)
[00:03:44.600 --> 00:04:13.600]  (主持人讀書)
[00:04:13.600 --> 00:04:35.600]  (主持人讀書)
[00:04:35.600 --> 00:04:38.600]  在五丙二乳神跡的時間
[00:04:38.600 --> 00:04:43.600]  原來發生在加里尼海 又叫提比尼亞海
[00:04:43.600 --> 00:04:46.600]  就是圈著下面的位置叫提比尼亞
[00:04:46.600 --> 00:04:49.600]  圈著上面的是加勃隆
[00:04:49.600 --> 00:04:52.600]  因為海邊有提比尼亞的地方
[00:04:52.600 --> 00:04:54.600]  所以又叫提比尼亞海
[00:04:54.600 --> 00:04:58.600]  在第一節說到這些事 其實是指什麼呢?
[00:04:58.600 --> 00:05:01.600]  就是上一章第五章說到耶穌在不肆大慈
[00:05:01.600 --> 00:05:05.600]  醫好一個病了腿38年的人
[00:05:05.600 --> 00:05:08.600]  還有在當中和猶太人辯論
[00:05:08.600 --> 00:05:12.600]  安息日應不應該醫好人的事
[00:05:12.600 --> 00:05:15.600]  在第二節所說到的神跡其實是眾數
[00:05:15.600 --> 00:05:18.600]  就是說耶穌不止醫好一個人
[00:05:18.600 --> 00:05:22.600]  其實醫好很多人 還有也行了其他神跡
[00:05:22.600 --> 00:05:24.600]  所以有很大群人要跟著祂
[00:05:24.600 --> 00:05:28.600]  耶穌上了山 就和門徒一起坐下
[00:05:28.600 --> 00:05:33.600]  就在剛才這裡圈著提比尼亞海的海邊
[00:05:33.600 --> 00:05:37.600]  那時候就很近寓節
[00:05:37.600 --> 00:05:41.600]  海邊的地方就好像這樣的形態
[00:05:41.600 --> 00:05:43.600]  有高地斜坡去著海邊
[00:05:43.600 --> 00:05:46.600]  有草地可以坐很多天
[00:05:46.600 --> 00:05:50.600]  原來在那時候就很近猶太人的寓節
[00:05:50.600 --> 00:05:54.600]  在約翰福音其實記載到這裡的時候
[00:05:54.600 --> 00:05:56.600]  其實約翰福音記載了三個寓節
[00:05:56.600 --> 00:05:59.600]  就是耶穌總共經歷過三個寓節的
[00:05:59.600 --> 00:06:01.600]  祂出來做事工
[00:06:01.600 --> 00:06:04.600]  現在是第二個
[00:06:04.600 --> 00:06:07.600]  第三個就是耶穌被釘十字架的日子
[00:06:07.600 --> 00:06:10.600]  就是說耶穌在這世界上工作只剩下一年
[00:06:10.600 --> 00:06:14.600]  但是連祂最親密的門徒
[00:06:14.600 --> 00:06:17.600]  都不能夠確定祂真正的身份
[00:06:17.600 --> 00:06:21.600]  寓節英文叫做Passover 如果你知道
[00:06:21.600 --> 00:06:24.600]  就是越過的意思
[00:06:24.600 --> 00:06:27.600]  源頭就是記載在出埃及期
[00:06:27.600 --> 00:06:34.600]  這個節日就紀念到神接了摩西帶領當時作奴隸的以色列人出埃及
[00:06:34.600 --> 00:06:40.600]  神用了十災來逼使法老王放走以色列人
[00:06:40.600 --> 00:06:42.600]  第十災就是殺長子
[00:06:42.600 --> 00:06:46.600]  以色列人就聽神的話
[00:06:46.600 --> 00:06:51.600]  吩咐用羊羔的血來查門徽門框
[00:06:51.600 --> 00:06:54.600]  那些天使來要擊殺長子的時候
[00:06:54.600 --> 00:06:57.600]  就越過就Passover
[00:06:57.600 --> 00:07:00.600]  他們就免去了這場災難
[00:07:00.600 --> 00:07:02.600]  而災難就臨到埃及人
[00:07:02.600 --> 00:07:04.600]  在第十節記載到
[00:07:04.600 --> 00:07:09.600]  當時跟著耶穌的人群很多
[00:07:09.600 --> 00:07:12.600]  單是計算南丁都五千人
[00:07:12.600 --> 00:07:16.600]  如果計算女士小朋友應該超過一萬人
[00:07:16.600 --> 00:07:18.600]  有人覺得人多好辦事
[00:07:18.600 --> 00:07:21.600]  但是人多亦都會產生很多問題
[00:07:21.600 --> 00:07:25.600]  例如在恩福中心這裡崇拜
[00:07:25.600 --> 00:07:26.600]  大家都知道
[00:07:26.600 --> 00:07:28.600]  中堂就更加緊要
[00:07:28.600 --> 00:07:30.600]  一完結之後
[00:07:30.600 --> 00:07:32.600]  就是廁所的問題
[00:07:32.600 --> 00:07:34.600]  特別是女士排長龍
[00:07:34.600 --> 00:07:39.600]  就變成不少不方便
[00:07:39.600 --> 00:07:45.600]  但是當時萬人聚會聽到耶穌講道之後的問題
[00:07:45.600 --> 00:07:48.600]  他們沒有提過任何廁所的問題
[00:07:48.600 --> 00:07:50.600]  他們的問題是什麼?
[00:07:50.600 --> 00:07:53.600]  就是吃飯的問題
[00:07:53.600 --> 00:07:57.600]  在《約翰福音》六章五節剛才讀過
[00:07:57.600 --> 00:07:59.600]  耶穌舉目看見一大群人
[00:07:59.600 --> 00:08:02.600]  來到的時候就對肥力說
[00:08:02.600 --> 00:08:08.600]  我們到哪裡去買餅給這些人吃呢?
[00:08:08.600 --> 00:08:11.600]  耶穌就向門徒肥力提出
[00:08:11.600 --> 00:08:14.600]  那大群人需要吃飯的問題
[00:08:14.600 --> 00:08:18.600]  而最終是耶穌解決這個問題
