
[00:00:00.000 --> 00:00:03.720]  我是恩福北區堂的建量牧師
[00:00:03.720 --> 00:00:06.200]  我太太是二妹牧師
[00:00:06.200 --> 00:00:10.880]  我們兩位都是帶領恩福北區堂的兩位牧者
[00:00:10.880 --> 00:00:14.640]  今天很開心能夠和大家分享
[00:00:14.640 --> 00:00:15.960]  就好像師哥所說
[00:00:15.960 --> 00:00:19.720]  其實整個過程是上帝自己的工作
[00:00:19.720 --> 00:00:21.280]  是一個神蹟
[00:00:21.280 --> 00:00:24.080]  從過去的兩年裡
[00:00:24.080 --> 00:00:26.040]  從第四子堂
[00:00:26.040 --> 00:00:29.960]  今天正式命名為「恩福北區堂」
[00:00:29.960 --> 00:00:33.720]  今天我們終於有一個堂子
[00:00:33.720 --> 00:00:35.920]  是上帝很奇妙的工作
[00:00:35.920 --> 00:00:37.240]  是神蹟
[00:00:37.240 --> 00:00:39.240]  所以在宋牧師說到之前
[00:00:39.240 --> 00:00:41.880]  我很想大家去看一條短片
[00:00:41.880 --> 00:00:42.840]  大家要留意
[00:00:42.840 --> 00:00:45.800]  大家知道我們的堂子在粉嶺
[00:00:45.800 --> 00:00:48.800]  剛才領師也說了給大家聽
[00:00:48.800 --> 00:00:50.160]  給了大家答案
[00:00:50.160 --> 00:00:52.880]  但粉嶺在哪裡呢?大家知不知道呢?
[00:00:52.880 --> 00:00:54.760]  大家留意一下短片
[00:00:55.760 --> 00:00:58.760]  (恩福北區堂)
[00:00:58.760 --> 00:01:00.080]  詩篇第十六篇
[00:01:00.080 --> 00:01:03.040]  詩人說神用乘涼給他的地界
[00:01:03.040 --> 00:01:04.840]  坐落在皆美之地
[00:01:04.840 --> 00:01:06.000]  我們很感謝神
[00:01:06.000 --> 00:01:07.760]  恩福的第四間子堂
[00:01:07.760 --> 00:01:10.680]  終於落實在粉嶺的天井間
[00:01:10.680 --> 00:01:13.720]  並且命名為「恩福北區堂」
[00:01:13.720 --> 00:01:17.160]  接下來我們會有大步走籌款活動
[00:01:17.160 --> 00:01:18.720]  希望凝聚大家
[00:01:18.720 --> 00:01:21.840]  一起為這個城市來禱告
[00:01:21.840 --> 00:01:25.040]  紀念北區福音的需要
