
[00:00:00.000 --> 00:00:01.540]  頂尖武業平安
[00:00:01.540 --> 00:00:05.040]  你好啊!我叫Rex牧師
[00:00:05.040 --> 00:00:06.460]  我新來的
[00:00:06.460 --> 00:00:11.720]  多謝大家的鼓勵
[00:00:11.720 --> 00:00:18.620]  雖然在恩福堂已經侍奉了有十個年頭
[00:00:18.620 --> 00:00:23.020]  但是今天仍然有一種新入職的感覺
[00:00:23.020 --> 00:00:27.100]  在這裡雖然我也是港道
[00:00:27.100 --> 00:00:28.440]  也是這樣去侍奉
[00:00:28.440 --> 00:00:31.600]  但是很多事情要重新適應
[00:00:31.600 --> 00:00:35.120]  包括原來我來到這裡當值的時候
[00:00:35.120 --> 00:00:37.480]  其實我不知道自己應該怎麼坐
[00:00:37.480 --> 00:00:44.000]  因為其實童工會編排好我們應該站在哪裡
[00:00:44.000 --> 00:00:45.320]  坐在哪裡
[00:00:45.320 --> 00:00:49.720]  有些字眼我是不明白的
[00:00:49.720 --> 00:00:51.920]  又要問問別人
[00:00:51.920 --> 00:00:57.560]  例如坐近電梯的那邊
[00:00:57.560 --> 00:00:59.680]  你猜猜坐近電梯在哪裡
[00:00:59.680 --> 00:01:01.120]  是那邊
[00:01:01.120 --> 00:01:02.760]  遠電梯的
[00:01:02.760 --> 00:01:04.120]  是哪邊?是那邊
[00:01:04.120 --> 00:01:05.640]  我要問一問
[00:01:05.640 --> 00:01:09.200]  就算今天我弄這個PowerPoint的時候
[00:01:09.200 --> 00:01:11.760]  其實也是要適應一下
[00:01:11.760 --> 00:01:17.600]  這個變動也是一些很新鮮的東西
[00:01:17.600 --> 00:01:21.040]  其實如果可以選擇
[00:01:21.040 --> 00:01:24.600]  有一種感覺就是其實不變也好
[00:01:24.600 --> 00:01:27.760]  不變也好,繼續我在上面下來
[00:01:27.760 --> 00:01:29.360]  知道我在哪裡上面嗎?
[00:01:29.360 --> 00:01:31.040]  我在18樓下來
[00:01:31.040 --> 00:01:32.560]  傅棠在18樓
[00:01:32.560 --> 00:01:36.840]  一直在18樓也不錯
[00:01:36.840 --> 00:01:39.040]  不要變,熟悉所有東西
[00:01:39.040 --> 00:01:42.240]  一來就可以做好了
[00:01:42.240 --> 00:01:48.360]  或者某程度上有時候可以不用思考那些東西
[00:01:48.360 --> 00:01:51.800]  但是其實在改變裡面的時候
[00:01:51.800 --> 00:01:53.840]  有些新的事情發生
[00:01:53.840 --> 00:02:00.280]  其實又讓你去認識更多東西
[00:02:00.280 --> 00:02:02.960]  或者去經歷更多東西
[00:02:02.960 --> 00:02:06.240]  今天跟大家分享這個講題
[00:02:06.240 --> 00:02:08.640]  其實也是從我自身的經歷
[00:02:08.640 --> 00:02:09.880]  就是成就新事
[00:02:09.880 --> 00:02:12.120]  今天第一次在這裡講道的時候
[00:02:12.120 --> 00:02:18.240]  我想起其實新的事情在聖經裡面也有
[00:02:18.240 --> 00:02:20.480]  神也是會去做新事
[00:02:20.480 --> 00:02:23.920]  但是神做的新事其實是為了什麼呢?
[00:02:23.920 --> 00:02:25.280]  就是新鮮感
[00:02:25.280 --> 00:02:28.280]  還是說太悶了,做一些新的東西出來
[00:02:28.280 --> 00:02:30.240]  還是怎麼樣呢?
[00:02:30.240 --> 00:02:33.840]  今天這個講題成就新事
