
[00:00:00.000 --> 00:00:04.920]  今日的題目是如何能重申約翰福音三章一到十五節
[00:00:04.920 --> 00:00:08.240]  開始的時候我們一起去讀這段經文
[00:00:08.240 --> 00:00:10.240]  我讀單節
[00:00:10.240 --> 00:00:12.360]  大家就讀雙節
[00:00:12.360 --> 00:00:16.800]  有一個法利塞人名叫尼哥德姆
[00:00:16.800 --> 00:00:18.800]  是猶太人的官
[00:00:18.800 --> 00:00:33.560]  尼哥德姆對耶穌說:大利,我不知道你使用了神的法律來剝削我徒子們,讓他們所犯的神蹟,讓他們得失了民族和國的恩惠。
[00:00:33.560 --> 00:00:41.240]  耶穌回答他說:我實實在在地告訴你,人若不重申,就不能見神的國。
[00:00:41.240 --> 00:00:50.560]  尼哥德姆對他說:人已經老了,如何能重申呢?你能再進入我新的國嗎?
[00:00:50.560 --> 00:00:59.720]  耶穌回答:我實實在在地告訴你,人若不是從水和聖靈生的,就不能進神的國。
[00:00:59.720 --> 00:01:05.720]  人若不是從水和聖靈生的,就不能進神的國。
[00:01:05.720 --> 00:01:10.080]  我說:你們必須重申,你不要驚訝。
[00:01:10.080 --> 00:01:14.840]  人若不是從水和聖靈生的,就不能進神的國。
[00:01:14.840 --> 00:01:17.080]  耶穌回答他說:我實實在在地告訴你,人若不是從水和聖靈生的,就不能進神的國。
[00:01:17.080 --> 00:01:22.120]  人若不是從水和聖靈生的,就不能進神的國。
[00:01:22.120 --> 00:01:26.600]  尼哥德姆問他:怎麼能有這些事呢?
[00:01:26.600 --> 00:01:34.240]  耶穌回答他說:你使用了神的法律來剝削我徒子們,讓他們得失了民族和國。
[00:01:34.240 --> 00:01:45.800]  我實實在在地告訴你,我們所說的是我們知道的,我們所見證的是我們見過的,你們卻不領受我們的見證。
[00:01:45.800 --> 00:01:55.160]  我對你們所說的一切之事,你們不想聽我信,又對你們所說的一切之事,你們不相信嗎?
[00:01:55.160 --> 00:01:59.840]  除了從天降下的人子,沒有人升過天。
[00:01:59.840 --> 00:02:06.400]  我實實在在地告訴你,我們所說的一切之事,你們不想聽我信,又對你們所說的一切之事,你們不相信嗎?
[00:02:06.400 --> 00:02:11.920]  要使一切信他的人道德榮生,我們一同去低頭禱告。
[00:02:11.920 --> 00:02:20.720]  主讓我們仰望祢,求主祢的聖靈引領我們,開我們的心,也讓我們真正的生命去馴服祢的大靈。
[00:02:20.720 --> 00:02:25.840]  我們將一切都交上,願主祢去祝福,讓祢的話語滋潤我們的心。
[00:02:25.840 --> 00:02:27.680]  我們禱告奉主耶穌基督的名,祈求。
[00:02:27.680 --> 00:02:37.120]  整段經文的內容都是關於尼哥德姆這個人物。
[00:02:37.120 --> 00:02:45.720]  尼哥德姆,如果你讀過和合本,不是和修版,就是尼哥底姆。
[00:02:45.720 --> 00:02:48.640]  有時候說著說著,我會突然間說出尼哥底姆。
[00:02:48.640 --> 00:02:52.640]  但是和修版的翻譯就是尼哥德姆。
[00:02:52.640 --> 00:02:55.040]  尼哥德姆是一個怎樣的人呢?
[00:02:55.040 --> 00:03:04.520]  尼哥德姆是一個快蔡人,快蔡人其實是一群在猶太宗派裡面很有影響力的。
[00:03:04.520 --> 00:03:12.200]  他也是一個猶太人的官,他是一個猶太最高的議會裡面的成員。
[00:03:12.200 --> 00:03:14.880]  他是一個尊貴的階級。
[00:03:14.880 --> 00:03:24.800]  還有一個描述就是,人已經老了,其實他年紀有上下,他人生的閱歷也有上下。
[00:03:24.800 --> 00:03:28.280]  另外耶穌又再形容他就是以色列人的老師,
[00:03:28.280 --> 00:03:30.560]  在第十節那裡。
[00:03:30.560 --> 00:03:36.000]  代表什麼呢?就是他在教育上是一個很高的水平裡面。
[00:03:36.000 --> 00:03:47.040]  其實讓我們看到,尼哥德姆無論在信仰上的知識,人生的閱歷上其實都是很豐富。
[00:03:47.040 --> 00:03:53.720]  在他一開始的時候,整個對話裡面,和耶穌的對話裡面,
[00:03:53.720 --> 00:04:01.720]  他跟耶穌說了,你所行的神蹟,他在這裡強調。
[00:04:01.720 --> 00:04:12.080]  你所行的神蹟,其實在上文是有發生一些事情的。
[00:04:12.080 --> 00:04:17.160]  上文其實是在說耶穌行了很多的神蹟,
[00:04:17.160 --> 00:04:21.760]  很多人因為看到他的神蹟就信了他的名。
[00:04:21.760 --> 00:04:26.320]  但是這裡耶穌這麼說,就是說耶穌自己卻不信任他們,
[00:04:26.320 --> 00:04:27.720]  這是什麼意思呢?
[00:04:27.720 --> 00:04:30.680]  其實就是在說,他說人們信他的名,
[00:04:30.680 --> 00:04:37.200]  但是他不相信他們是真心相信耶穌基督。
[00:04:37.200 --> 00:04:42.000]  這裡此話何解呢?其實就可以在下面這個對話裡面,
[00:04:42.000 --> 00:04:46.280]  去明白當中的意思。
[00:04:46.280 --> 00:04:51.960]  在這裡,尼哥德姆對耶穌說拉比,
[00:04:51.960 --> 00:04:56.280]  我們知道你是由神那裡來的,作老師的,
[00:04:56.280 --> 00:04:59.400]  因為你所行的神蹟,若沒有神童在,沒有人能行。
[00:04:59.400 --> 00:05:06.440]  他這裡用了拉比,老師,來形容耶穌。
[00:05:06.440 --> 00:05:18.720]  其實這個拉比,或者說老師,也是在形容耶穌的身份。
[00:05:18.720 --> 00:05:27.160]  但是這是從尼哥德姆作為法利塞人的向導去理解的。
[00:05:27.160 --> 00:05:30.440]  他說我知道,知道什麼呢?
[00:05:30.440 --> 00:05:35.080]  就是按照他的經驗,按照他的理解,知道他是拉比,他是老師。
[00:05:35.080 --> 00:05:39.960]  這就是他的認知,來判斷耶穌的身份。
[00:05:39.960 --> 00:05:44.200]  表明是從主耶穌去領受更好的教訓,
[00:05:44.200 --> 00:05:47.400]  其實他很想在耶穌那裡學到一些東西。
[00:05:47.400 --> 00:05:51.440]  在他自己作為一個快錯人的老師上,
[00:05:51.440 --> 00:05:55.000]  他很想再盡心。
