
[00:00:00.000 --> 00:00:04.720]  榮耀的天父多謝你藉著James傳道帶給我們詩篇25篇
[00:00:04.720 --> 00:00:08.320]  詩人那種行切、長久的等候你
[00:00:08.320 --> 00:00:11.320]  再一次在Praise Team A的帶領下
[00:00:11.320 --> 00:00:13.320]  我們的心好像不能呼吸
[00:00:13.320 --> 00:00:18.320]  因為我們要在經過幾年的疫情的艱難中
[00:00:18.320 --> 00:00:23.120]  我們要神呼盡你自己全能的大能、聖靈的氣
[00:00:23.120 --> 00:00:25.920]  以致我們的生命能夠再一次被恢復
[00:00:25.920 --> 00:00:27.520]  再一次能夠振作
[00:00:27.520 --> 00:00:29.920]  彰顯你純正福音的風采
[00:00:29.920 --> 00:00:32.920]  所以神啊,你明白我們每一個弟兄姊妹
[00:00:32.920 --> 00:00:34.720]  這一刻來到崇拜
[00:00:34.720 --> 00:00:37.120]  過去兩年對我們的衝擊
[00:00:37.120 --> 00:00:40.320]  我們幾需要的縫補、幾需要的重建
[00:00:40.320 --> 00:00:42.720]  求主一一的在我們心裏面
[00:00:42.720 --> 00:00:46.320]  作安慰、作醫治、作縫補的功夫
[00:00:46.320 --> 00:00:48.120]  我們今天這樣的交託
[00:00:48.120 --> 00:00:50.320]  誠心交託禱告奉主的名
[00:00:50.320 --> 00:00:51.720]  阿門
[00:00:51.720 --> 00:00:54.520]  弟兄姊妹,我想詩詩不知道
[00:00:54.520 --> 00:00:55.520]  不如不在這裡等一會
[00:00:55.520 --> 00:00:59.120]  因為今天我們訊息去到回應詩歌之後
[00:00:59.120 --> 00:01:00.720]  就直接有聖餐了
[00:01:00.720 --> 00:01:02.920]  如果有弟兄姊妹今天想領聖餐
[00:01:02.920 --> 00:01:04.720]  但現在還沒有聖餐餅杯
[00:01:04.720 --> 00:01:06.920]  即是我們這種餅杯
[00:01:06.920 --> 00:01:07.720]  請你舉手
[00:01:07.720 --> 00:01:09.320]  或者我們詩詩會拿給你
[00:01:09.320 --> 00:01:09.920]  好嗎?
[00:01:09.920 --> 00:01:11.920]  因為中間沒有什麼空間
[00:01:11.920 --> 00:01:13.320]  還有家裏的弟兄姊妹
[00:01:13.320 --> 00:01:16.320]  也請你們提早把你們的餅杯拿出來
[00:01:16.320 --> 00:01:18.520]  我知道有些弟兄姊妹在家裏的餅杯
[00:01:18.520 --> 00:01:21.720]  真的工整到是開桌子吃飯
[00:01:21.720 --> 00:01:22.720]  OK?
[00:01:22.720 --> 00:01:25.720]  好
[00:01:27.720 --> 00:01:28.720]  OK
[00:01:28.720 --> 00:01:29.720]  第一頁,沒錯
[00:01:29.720 --> 00:01:31.120]  大家早安
[00:01:31.120 --> 00:01:33.520]  很快疫情已經進入了兩年半的光景
[00:01:33.520 --> 00:01:35.520]  最近確診數字還沒有下降
[00:01:35.520 --> 00:01:36.720]  還有所提升
[00:01:36.720 --> 00:01:38.320]  大家怕不怕呢?
[00:01:38.320 --> 00:01:40.920]  不要說那個monkeypox
[00:01:40.920 --> 00:01:43.120]  政府也很怕要拿那個
[00:01:43.120 --> 00:01:46.120]  喉痘症的疫苗過來
[00:01:46.120 --> 00:01:47.520]  唯恐第六波
[00:01:47.520 --> 00:01:50.120]  我們很擔心在冬季會再來
[00:01:50.120 --> 00:01:50.920]  不論如何
[00:01:50.920 --> 00:01:52.920]  我們仍然在備戰的狀態
[00:01:52.920 --> 00:01:54.920]  要掙扎,要努力的恢復
[00:01:54.920 --> 00:01:57.320]  面對疫情種種的後遺症
[00:01:57.320 --> 00:02:00.120]  你們有沒有想過有哪些新的後遺症
[00:02:00.120 --> 00:02:03.720]  是經過這兩三年之後我們要面對的?
[00:02:03.720 --> 00:02:05.720]  有多少人想到有後遺症要面對?
[00:02:05.720 --> 00:02:06.720]  舉手看看
[00:02:06.720 --> 00:02:08.720]  有些舉手
[00:02:08.720 --> 00:02:09.720]  有多少人覺得
[00:02:09.720 --> 00:02:10.920]  沒有啊
[00:02:10.920 --> 00:02:13.320]  我現在真的風光不再
[00:02:13.320 --> 00:02:15.720]  我已經完全準備好為主再出去
[00:02:15.720 --> 00:02:17.520]  就像剛才那首歌一樣
[00:02:17.520 --> 00:02:19.520]  出去宣揚著
[00:02:19.520 --> 00:02:22.520]  其實呢
[00:02:22.520 --> 00:02:26.320]  後遺症真的不少
[00:02:26.320 --> 00:02:29.320]  不單止是全球經濟民生大受打擊
[00:02:29.320 --> 00:02:30.920]  我們個人的身心靈
[00:02:30.920 --> 00:02:33.320]  其實在這幾年間都受到重創
[00:02:33.320 --> 00:02:35.120]  願意我們能夠誠實一點
[00:02:35.120 --> 00:02:36.320]  感受一下
[00:02:36.320 --> 00:02:37.520]  你我這三年間
[00:02:37.520 --> 00:02:39.920]  有多少的日夜是要忍著淚
[00:02:39.920 --> 00:02:40.920]  忍著痛
[00:02:40.920 --> 00:02:42.720]  面對社會的動盪
[00:02:42.720 --> 00:02:44.520]  疫情、健康的威脅
[00:02:44.520 --> 00:02:47.320]  隔離帶來給我們身心靈的孤立
[00:02:47.320 --> 00:02:49.320]  無緩、恐懼、焦慮
[00:02:49.320 --> 00:02:51.120]  內心的孤單、困擾
[00:02:51.120 --> 00:02:53.120]  以及沒有出路的疲憊
[00:02:53.120 --> 00:02:55.520]  事實上長生觀的後遺症
[00:02:55.520 --> 00:02:57.520]  都已經淋淋腫腫了
[00:02:57.520 --> 00:02:59.520]  我們當中有多少人曾經染疫
[00:02:59.520 --> 00:03:00.320]  不過康復了
[00:03:00.320 --> 00:03:02.320]  舉手看看
[00:03:02.320 --> 00:03:04.320]  大家看真一點
[00:03:04.320 --> 00:03:05.320]  看真一點
[00:03:05.320 --> 00:03:07.320]  但是不需要恐懼
[00:03:07.320 --> 00:03:09.320]  不需要恐懼
[00:03:09.320 --> 00:03:14.520]  我們會盡快跟你們一起
[00:03:14.520 --> 00:03:16.520]  放心
[00:03:16.520 --> 00:03:18.720]  既然你們都可以這麼鬥手精神
[00:03:18.720 --> 00:03:20.520]  回來繼續侍奉神經拜神
[00:03:20.520 --> 00:03:21.520]  是不是
[00:03:21.520 --> 00:03:23.720]  疲倦、失眠、咳嗽
[00:03:23.720 --> 00:03:25.720]  注意力差、腦霧
[00:03:25.720 --> 00:03:26.720]  心血管的症候群
[00:03:26.720 --> 00:03:27.720]  我不知道
[00:03:27.720 --> 00:03:29.720]  去到嚴重一點就是腦霧
[00:03:29.720 --> 00:03:31.720]  其實那些是比較嚴重的徵狀
[00:03:31.720 --> 00:03:32.720]  還有第二
[00:03:32.720 --> 00:03:35.720]  我們習慣了網絡的疏離
[00:03:35.720 --> 00:03:37.720]  習慣了Zoom
[00:03:37.720 --> 00:03:39.720]  習慣了Work from home
[00:03:39.720 --> 00:03:41.720]  已經習慣了不回教會來崇拜
[00:03:41.720 --> 00:03:42.720]  不回團契
[00:03:42.720 --> 00:03:43.720]  全部都Zoom
[00:03:43.720 --> 00:03:44.720]  教會一定要幫我Zoom
[00:03:44.720 --> 00:03:46.720]  回到團契組長都要幫我Zoom
[00:03:46.720 --> 00:03:49.720]  內心其實是越來越孤單的
[00:03:49.720 --> 00:03:50.720]  其實久了
[00:03:50.720 --> 00:03:52.720]  這種孤單感會令到你很沒有安全感
[00:03:52.720 --> 00:03:53.720]  內心封閉了
[00:03:53.720 --> 00:03:55.720]  我們的學習被動了
[00:03:55.720 --> 00:03:56.720]  我們充斥著腦袋的
[00:03:56.720 --> 00:03:59.720]  其實只會令到我們內心更加空虛空洞
[00:03:59.720 --> 00:04:01.720]  空到一個地步
[00:04:01.720 --> 00:04:03.720]  我們容易被各種試探引誘
[00:04:03.720 --> 00:04:05.720]  吸引著成了引
