
[00:00:00.000 --> 00:00:02.440]  現在到講道的時候
[00:00:02.440 --> 00:00:06.840]  講道的題目叫做「跟隨基督寫基的心志」
[00:00:06.840 --> 00:00:08.880]  不知道你是否知道
[00:00:08.880 --> 00:00:12.680]  其實我們這個月在標籤中的講道講題
[00:00:12.680 --> 00:00:16.600]  都是圍繞著一個全福音的心志和熱誠
[00:00:16.600 --> 00:00:17.880]  其實全福音這個題目
[00:00:17.880 --> 00:00:19.800]  由上個月已經開始講了
[00:00:19.800 --> 00:00:22.400]  已經講了福音的關係
[00:00:22.400 --> 00:00:24.080]  放心,接下來的一個兩個月
[00:00:24.080 --> 00:00:25.480]  你們都會繼續聽全福音
[00:00:25.480 --> 00:00:27.080]  全福音和全福音
[00:00:27.080 --> 00:00:31.920]  很想裝備自己成為一個全福音的勇士
[00:00:31.920 --> 00:00:35.080]  今天要講的是全福音的心志和熱誠
[00:00:35.080 --> 00:00:38.800]  我選擇了講「寫基」的心志
[00:00:38.800 --> 00:00:40.000]  不知道你們一看的時候
[00:00:40.000 --> 00:00:45.520]  會否想「全福音和寫基有甚麼關係呢?」
[00:00:45.520 --> 00:00:50.160]  我曾經有時陪媽媽去喝茶
[00:00:50.160 --> 00:00:51.880]  所以我認識一點我媽媽的朋友
[00:00:51.880 --> 00:00:53.160]  我媽媽是一個老人家
[00:00:53.160 --> 00:00:55.680]  她的朋友都是中老的老人家
[00:00:55.680 --> 00:01:01.640]  我聽到她的老人家朋友說
[00:01:01.640 --> 00:01:03.560]  他叫她信耶穌
[00:01:03.560 --> 00:01:04.840]  我媽媽是全福音的
[00:01:04.840 --> 00:01:05.840]  叫她信耶穌
[00:01:05.840 --> 00:01:07.440]  他就說
[00:01:07.440 --> 00:01:09.040]  「先不信了」
[00:01:09.040 --> 00:01:11.920]  「信了就不能吃福音飯」
[00:01:11.920 --> 00:01:13.840]  「看福音電影」
[00:01:13.840 --> 00:01:16.840]  「我也去福音海洋公園」
[00:01:16.840 --> 00:01:19.080]  我心想他在說甚麼呢
[00:01:19.080 --> 00:01:20.640]  原來是這樣的
[00:01:20.640 --> 00:01:22.800]  我媽媽在樓下的老人中心
[00:01:22.800 --> 00:01:24.520]  他們是基督教背景
[00:01:24.520 --> 00:01:28.280]  他們會提供很多免費的飯宴
[00:01:28.280 --> 00:01:30.840]  給未信的人和新朋友
[00:01:30.840 --> 00:01:32.480]  旅行也是未信的
[00:01:32.480 --> 00:01:33.400]  不用錢的
[00:01:33.400 --> 00:01:35.400]  信了就要付錢
[00:01:35.400 --> 00:01:37.120]  所以老人家就說
[00:01:37.120 --> 00:01:40.320]  「信了就不能吃福音飯」
[00:01:40.320 --> 00:01:42.640]  我心想
[00:01:42.640 --> 00:01:46.040]  原來福音聚會
[00:01:46.040 --> 00:01:49.120]  未信的新朋友通常都不用錢
[00:01:49.120 --> 00:01:51.560]  那錢是誰付呢?
[00:01:51.560 --> 00:01:54.680]  那些錢應該是信了的人付
[00:01:54.680 --> 00:01:57.920]  例如是教會付
[00:01:57.920 --> 00:01:59.440]  或者是全福音給他的人
[00:01:59.440 --> 00:02:01.640]  就幫他付了那份
[00:02:01.640 --> 00:02:03.840]  所以在想的時候
[00:02:03.840 --> 00:02:05.440]  其實也有一點
[00:02:05.440 --> 00:02:07.280]  全福音也挺吃虧的
[00:02:07.280 --> 00:02:08.640]  要犧牲的
[00:02:08.640 --> 00:02:09.720]  要寫記
[00:02:09.720 --> 00:02:11.720]  要沒有自己的錢
[00:02:11.720 --> 00:02:13.240]  請別人去旅行
[00:02:13.240 --> 00:02:14.840]  所以我就會想
[00:02:14.840 --> 00:02:17.760]  原來全福音和寫記的心智
[00:02:17.760 --> 00:02:19.560]  也是息息相關的
[00:02:19.560 --> 00:02:23.120]  今天我們會看《馬可福音》八章31至38節
[00:02:23.120 --> 00:02:24.640]  在裡面我們會學習
[00:02:24.640 --> 00:02:26.920]  耶穌基督寫記的心智
[00:02:26.920 --> 00:02:28.800]  在讀經文之前
[00:02:28.800 --> 00:02:32.800]  我想和大家看看經文的背景
[00:02:32.800 --> 00:02:35.240]  到這一刻究竟說了些什麼呢?
[00:02:35.240 --> 00:02:38.240]  今天來到《馬可福音》第八章
[00:02:38.240 --> 00:02:40.480]  大概就是全卷的《馬可福音》
[00:02:40.480 --> 00:02:43.640]  十六章的中間部分
[00:02:43.640 --> 00:02:45.680]  這一刻的耶穌是怎樣的呢?
[00:02:45.680 --> 00:02:47.840]  他已經在他工作的範圍
[00:02:47.840 --> 00:02:49.240]  即是加利利的一帶
[00:02:49.240 --> 00:02:51.480]  已經行了很多的神蹟奇事
[00:02:51.480 --> 00:02:54.560]  隨著耶穌的名聲逐漸擴大
[00:02:54.560 --> 00:02:56.680]  哇,這裡有伊亞人,哇,很厲害
[00:02:56.680 --> 00:02:58.920]  這裡有五餅二月,哇,很厲害
[00:02:58.920 --> 00:03:01.160]  這裡有講下鬼,哇,很厲害
[00:03:01.160 --> 00:03:02.760]  猶太人的社區裡面
[00:03:02.760 --> 00:03:05.960]  對耶穌的身份的猜測越來越多
[00:03:05.960 --> 00:03:07.280]  一直增多
[00:03:07.280 --> 00:03:09.560]  耶穌的身份也為耶穌帶來
[00:03:09.560 --> 00:03:13.440]  和社區的人的關係有很多很多的張力
[00:03:13.440 --> 00:03:14.240]  一方面
[00:03:14.240 --> 00:03:18.160]  是耶穌面對大部分的以色列民對他的擁戴
[00:03:18.160 --> 00:03:18.680]  為什麼呢?
[00:03:18.680 --> 00:03:21.040]  因為猶太人一直都等待著
[00:03:21.040 --> 00:03:22.960]  尼塞亞,即是說基督
[00:03:22.960 --> 00:03:25.560]  即是說受告的拯救者的尼
[00:03:25.560 --> 00:03:27.360]  來復興代表神
[00:03:27.360 --> 00:03:28.280]  是神派來的
[00:03:28.280 --> 00:03:29.800]  來復興以色列國
[00:03:29.800 --> 00:03:32.680]  就好像過去摩西和其他先知
[00:03:32.680 --> 00:03:34.440]  事司一樣去拯救他們
[00:03:34.440 --> 00:03:37.480]  脫離他們被外族統治的境況
[00:03:37.480 --> 00:03:38.560]  不過另一方面
[00:03:38.560 --> 00:03:40.160]  在擁戴的另一方面
[00:03:40.160 --> 00:03:44.440]  耶穌也面對著很多不相信他就是尼塞亞的人
[00:03:44.440 --> 00:03:45.680]  那些猶太人
[00:03:45.680 --> 00:03:47.480]  就是猶太人的領袖
[00:03:47.480 --> 00:03:48.440]  宗教領袖
[00:03:48.440 --> 00:03:50.080]  他們對耶穌的敵視
[00:03:50.080 --> 00:03:52.480]  隨著他的名聲一直增大
[00:03:52.480 --> 00:03:54.840]  他們的敵視也一直增加
[00:03:54.840 --> 00:03:55.760]  為什麼呢?
[00:03:55.760 --> 00:04:01.000]  因為耶穌的影響力直接威脅到他們的權力和地位
[00:04:01.000 --> 00:04:02.800]  就在這樣的情況下
[00:04:02.800 --> 00:04:04.240]  就到了今天的經文
[00:04:04.240 --> 00:04:06.840]  今天的經文是耶穌第一次預言
[00:04:06.840 --> 00:04:08.920]  祂自己的受死和復活
[00:04:08.920 --> 00:04:10.760]  讓我們一起進入經文吧
[00:04:10.760 --> 00:04:15.760]  《馬可福音》第八章35至38節
[00:04:15.760 --> 00:04:16.720]  哎呀
[00:04:16.720 --> 00:04:18.000]  不是,是31節
[00:04:18.000 --> 00:04:19.320]  所以下一章才是上一章
[00:04:19.320 --> 00:04:20.000]  不好意思
[00:04:20.000 --> 00:04:21.320]  我們一起讀
[00:04:21.320 --> 00:04:22.800]  1、2、3
[00:04:22.800 --> 00:04:25.800]  從此,他教導他們說
[00:04:25.800 --> 00:04:28.440]  人子必須受許多的苦
[00:04:28.440 --> 00:04:32.240]  被長老、祭司長和民士氣絕
[00:04:32.240 --> 00:04:33.720]  並且被殺
[00:04:33.720 --> 00:04:35.480]  三天後復活
[00:04:35.480 --> 00:04:38.320]  耶穌明白地說了這話
[00:04:38.320 --> 00:04:41.520]  彼得就拉著他、紮被他
[00:04:41.520 --> 00:04:44.400]  耶穌轉過來看著門徒
[00:04:44.400 --> 00:04:45.960]  斥責彼得說
[00:04:45.960 --> 00:04:48.640]  撒旦,退到我後面去
[00:04:48.640 --> 00:04:51.320]  因為你不體會神的心意
