
[00:00:00.000 --> 00:00:08.420]  好,弟兄姊妹,吾安,好開心可以回到青年崇拜的節目中跟大家分享神的話語
[00:00:08.420 --> 00:00:12.680]  開始講道之前,也想講一下神學
[00:00:12.680 --> 00:00:17.720]  有沒有發現,一百個人想神學,一百個人都有不同的印象
[00:00:17.720 --> 00:00:21.980]  好像大部分的人沒有讀過神學的那些,特別是那些
[00:00:21.980 --> 00:00:26.140]  覺得神學好像象牙塔上面那樣,很離地
[00:00:26.140 --> 00:00:31.060]  我舉個例,大家的印象,你看facebook,ig,經常取笑神學家
[00:00:31.060 --> 00:00:37.920]  舉個例,有個人很不開心,生癌症,病了,回到教會,人們會怎樣說
[00:00:37.920 --> 00:00:43.480]  會不會是你犯罪,會不會順帝請求你,或者審判你
[00:00:43.480 --> 00:00:49.540]  這些是我們覺得,神學是不是這樣,是不是這麼離地
[00:00:49.540 --> 00:00:53.000]  我們看漫畫,不是看漫畫,是看那些四格漫畫
[00:00:53.000 --> 00:00:57.020]  有些人在水裡叫救命,有沒有看過那些
[00:00:57.020 --> 00:01:02.120]  叫救命呀,好痛苦呀,然後有個牧師神學家怎樣
[00:01:02.120 --> 00:01:07.700]  拿新的手過去,然後怎樣,give me five,加油,神祝福你,然後就沉下去
[00:01:07.700 --> 00:01:14.640]  我們以為神學是很離地的東西,其實神學是幫助我們認識聖經
[00:01:14.640 --> 00:01:17.640]  透過認識聖經,我們認識我們的上帝
[00:01:17.640 --> 00:01:22.760]  好有趣,如果我們今天不認識聖經,不認識上帝,但是我們有很多信仰生活的話
[00:01:22.760 --> 00:01:29.060]  再來一次,我們不認識聖經,我們不認識上帝,但是我們有很多信仰生活實踐的話
[00:01:29.060 --> 00:01:34.540]  離不離地呀,結果離地不是因為認識聖經,不是讀聖經,不是讀神學
[00:01:34.540 --> 00:01:39.100]  離地是因為我們不讀聖經,不讀神學,你明白意思嗎
[00:01:39.100 --> 00:01:44.120]  我們以為我們知道,我們以為我們明白,其實我們根本一竅不通
[00:01:44.120 --> 00:01:52.560]  舉一個例子,不用舉手的,我們去探訪長者,探訪貧窮人士好不好
[00:01:52.560 --> 00:01:58.260]  當然好,我猜有很多人願意舉手,我們後面有AV team,control panel
[00:01:58.260 --> 00:02:03.260]  是不是很多人去參與侍奉,很好,我們敬拜的隊伍是不是很多人參與侍奉
[00:02:03.260 --> 00:02:09.300]  對的,很好,如果教會需要崇拜之前,有人撿椅子舉手
[00:02:09.300 --> 00:02:14.660]  我們有多少人願意幫忙撿一兩張椅子,沒有人舉手,不會的
[00:02:14.660 --> 00:02:20.540]  幫忙撿椅子,完成崇拜後,把牆清理掉,希望有活動
[00:02:20.540 --> 00:02:25.300]  我們願意的,我們很樂意擺上去做這些服事
[00:02:25.300 --> 00:02:30.500]  如果要大家毀身一年五十二個星期,舉例子,不用舉手
