
[00:00:00.000 --> 00:00:07.000]  很感恩有機會回來跟弟妹分享神的話語
[00:00:07.000 --> 00:00:13.000]  我跟大家講一個小小的故事
[00:00:13.000 --> 00:00:19.000]  有一天我在香港的大孫女來探望我和我太太
[00:00:19.000 --> 00:00:21.000]  來到我家的時間
[00:00:21.000 --> 00:00:23.000]  她告訴我太太
[00:00:23.000 --> 00:00:26.000]  她說她穿的那雙鞋子很緊
[00:00:26.000 --> 00:00:30.000]  脫下來看看,真的快要刮到損了
[00:00:30.000 --> 00:00:32.000]  好像想起水泡一樣
[00:00:32.000 --> 00:00:34.000]  我太太就二話不說
[00:00:34.000 --> 00:00:37.000]  就將去年在黃埔
[00:00:37.000 --> 00:00:39.000]  我跟她逛街的時間
[00:00:39.000 --> 00:00:41.000]  我給錢買那雙鞋子
[00:00:41.000 --> 00:00:43.000]  那雙新鞋子
[00:00:43.000 --> 00:00:46.000]  那是35號那雙鞋子
[00:00:46.000 --> 00:00:48.000]  35號
[00:00:48.000 --> 00:00:50.000]  給了孫女穿
[00:00:50.000 --> 00:00:52.000]  我一看
[00:00:52.000 --> 00:00:55.000]  真的她很疼愛孫女
[00:00:55.000 --> 00:00:57.000]  也讓我想到
[00:00:57.000 --> 00:01:00.000]  孫女真的長大了
[00:01:00.000 --> 00:01:04.000]  她的腳居然可以穿我太太的鞋子
[00:01:04.000 --> 00:01:06.000]  再想一想
[00:01:06.000 --> 00:01:09.000]  我不認老都不行
[00:01:09.000 --> 00:01:13.000]  我雖然已經領了長者卡
[00:01:13.000 --> 00:01:17.000]  你當是去年的事
[00:01:17.000 --> 00:01:19.000]  但我不會隨便給人看
[00:01:19.000 --> 00:01:22.000]  除非有好處
[00:01:22.000 --> 00:01:24.000]  有好處
[00:01:24.000 --> 00:01:27.000]  我一個星期都有五天去游泳
[00:01:27.000 --> 00:01:28.000]  跟Base
[00:01:28.000 --> 00:01:30.000]  我們有位長老叫Base
[00:01:30.000 --> 00:01:33.000]  跟她游泳去加空雞吃早餐的時候
[00:01:33.000 --> 00:01:35.000]  她就教我
[00:01:35.000 --> 00:01:37.000]  拿張長者卡出來
[00:01:37.000 --> 00:01:40.000]  可以申請多一杯免費的奶茶
[00:01:40.000 --> 00:01:44.000]  在那時候我就展示一下那些質素
[00:01:44.000 --> 00:01:45.000]  兄弟姐妹
[00:01:45.000 --> 00:01:47.000]  有得露也是好的
[00:01:47.000 --> 00:01:50.000]  有個孫女的腳
[00:01:50.000 --> 00:01:52.000]  她選擇要穿子太太的鞋子
[00:01:52.000 --> 00:01:53.000]  也是好的
[00:01:53.000 --> 00:01:55.000]  因為她正在長大
[00:01:55.000 --> 00:01:57.000]  有生命氣息
[00:01:57.000 --> 00:02:00.000]  其實在我們預期的人生日子裡
[00:02:00.000 --> 00:02:02.000]  我們很多時候都會遇到一些
[00:02:02.000 --> 00:02:05.000]  不似預期的遭遇
[00:02:05.000 --> 00:02:07.000]  就好像我孫女來說
[00:02:07.000 --> 00:02:10.000]  她穿最新買的鞋
[00:02:10.000 --> 00:02:12.000]  她都試過合穿
[00:02:12.000 --> 00:02:16.000]  想不到走一段路的時間就刮損了
[00:02:16.000 --> 00:02:18.000]  你看看今時今日
[00:02:18.000 --> 00:02:21.000]  好像這一場的疫症
[00:02:21.000 --> 00:02:23.000]  兩年了
[00:02:23.000 --> 00:02:25.000]  仍然未受到控制
[00:02:25.000 --> 00:02:27.000]  可以說
[00:02:27.000 --> 00:02:31.000]  我們還要繼續小心防疫
[00:02:31.000 --> 00:02:32.000]  保健
[00:02:32.000 --> 00:02:35.000]  也要保命
[00:02:35.000 --> 00:02:36.000]  其實
[00:02:36.000 --> 00:02:39.000]  聖經在盧家福音21章
[00:02:39.000 --> 00:02:44.000]  都不遺言地告訴我們世人
[00:02:44.000 --> 00:02:46.000]  告訴我們信徒知道
[00:02:46.000 --> 00:02:49.000]  我們將要面對的逆境
[00:02:49.000 --> 00:02:51.000]  今日經文我將請頂姐妹
[00:02:51.000 --> 00:02:54.000]  一起來和我讀出
[00:02:54.000 --> 00:02:57.000]  一起讀完
[00:02:57.000 --> 00:03:02.000]  有人談論是用美石和貢物裝飾的
[00:03:02.000 --> 00:03:04.000]  耶穌就說
[00:03:04.000 --> 00:03:06.000]  你們所看見的這一切
[00:03:06.000 --> 00:03:08.000]  日子將到
[00:03:08.000 --> 00:03:12.000]  沒有一塊石頭會留在另一塊石頭上
[00:03:12.000 --> 00:03:15.000]  而不被摧毀的
[00:03:15.000 --> 00:03:16.000]  他們問他
[00:03:16.000 --> 00:03:17.000]  老師
[00:03:17.000 --> 00:03:20.000]  什麼時候有這些事呢
[00:03:20.000 --> 00:03:22.000]  這些事將臨到的時候
[00:03:22.000 --> 00:03:25.000]  有什麼預兆呢
[00:03:25.000 --> 00:03:27.000]  耶穌說
[00:03:27.000 --> 00:03:30.000]  謹慎不要受迷惑
[00:03:30.000 --> 00:03:32.000]  因為將有好些人
[00:03:32.000 --> 00:03:34.000]  冒我的名來
[00:03:34.000 --> 00:03:36.000]  說我是基督
[00:03:36.000 --> 00:03:38.000]  又說時候近了
[00:03:38.000 --> 00:03:41.000]  你們不要跟從他們
[00:03:41.000 --> 00:03:44.000]  當你們聽見打仗和動亂的事
[00:03:44.000 --> 00:03:46.000]  不要驚慌
[00:03:46.000 --> 00:03:49.000]  因為這些事必須先發生
[00:03:49.000 --> 00:03:53.000]  但終結不會立刻就到
[00:03:53.000 --> 00:03:54.000]  於是
[00:03:54.000 --> 00:03:56.000]  耶穌對他們說
[00:03:56.000 --> 00:03:58.000]  民要攻打民
[00:03:58.000 --> 00:04:00.000]  國要攻打國
[00:04:00.000 --> 00:04:02.000]  將有大地震
