
[00:00:00.000 --> 00:00:06.200]  今晚繼續是重見之恩的訊息系列
[00:00:06.200 --> 00:00:08.440]  我定了一個講題
[00:00:08.440 --> 00:00:13.440]  就是是終點還是終轉
[00:00:13.440 --> 00:00:15.440]  是終點還是終轉
[00:00:15.440 --> 00:00:19.360]  一個星期又來,一個星期又去
[00:00:19.360 --> 00:00:22.080]  這個星期都發生很多事
[00:00:22.080 --> 00:00:25.600]  有沒有人喜歡吃麥當勞?
[00:00:25.600 --> 00:00:27.600]  早餐
[00:00:27.600 --> 00:00:32.600]  有人收到這些消息
[00:00:32.600 --> 00:00:35.280]  有時問人,人們沒有看到這個消息
[00:00:35.280 --> 00:00:39.440]  麥當勞某一日就說6點後沒有咖啡賣了
[00:00:39.440 --> 00:00:41.440]  大家很驚嚇
[00:00:41.440 --> 00:00:43.600]  看看股市有沒有跌
[00:00:43.600 --> 00:00:47.440]  過了幾個小時,原來這個不是終點
[00:00:47.440 --> 00:00:49.440]  這個是終轉
[00:00:49.440 --> 00:00:52.240]  現在在麥當勞買咖啡自動升級
[00:00:52.240 --> 00:00:54.480]  沒有傳統的咖啡
[00:00:54.480 --> 00:00:57.440]  全部只有麥七飛那邊的東西
[00:00:57.440 --> 00:01:00.440]  這個星期也有一個消息
[00:01:00.440 --> 00:01:02.440]  一個香港人的驕傲
[00:01:02.440 --> 00:01:07.440]  這個就是他老婆說的
[00:01:07.440 --> 00:01:10.440]  終於老虎拿了獅子回家
[00:01:10.440 --> 00:01:12.440]  大家有沒有看到
[00:01:12.440 --> 00:01:14.440]  老虎拿了獅子
[00:01:14.440 --> 00:01:17.440]  金獅杖拿了
[00:01:17.440 --> 00:01:18.440]  不多說了
[00:01:18.440 --> 00:01:20.440]  究竟一個終身成就獎
[00:01:20.440 --> 00:01:25.440]  又是人生的高峰還是終轉呢?
[00:01:25.440 --> 00:01:29.440]  很想和大家一齊思考這個問題
[00:01:29.440 --> 00:01:34.440]  這裡剛好看到另一個新聞
[00:01:34.440 --> 00:01:37.440]  很多人經常都分析
[00:01:37.440 --> 00:01:40.440]  分析我們是哪個世代
[00:01:40.440 --> 00:01:43.440]  你不用舉手
[00:01:43.440 --> 00:01:45.440]  我找了幾個
[00:01:45.440 --> 00:01:51.440]  如果是α世代,Z世代,Y世代
[00:01:51.440 --> 00:01:54.440]  我估計他們今晚在18樓
[00:01:54.440 --> 00:01:56.440]  所以我不會說這個
