
[00:00:00.000 --> 00:00:03.000]  (主席) 頂智梅早晨,
[00:00:03.000 --> 00:00:10.000]  好多謝勁拔小組帶出詩歌的訊息,
[00:00:10.000 --> 00:00:16.000]  其實我預備的講章早在美國選舉之前,
[00:00:16.000 --> 00:00:18.000]  我已經預備好了,
[00:00:18.000 --> 00:00:22.000]  但是選舉之後,
[00:00:22.000 --> 00:00:24.000]  盛鳴有一種感動,
[00:00:24.000 --> 00:00:33.000]  我不能不將更加重要的事情和大家分享。
[00:00:33.000 --> 00:00:38.000]  選舉後很短的時間,
[00:00:38.000 --> 00:00:43.000]  從美國有我們的頂智梅回來探望,
[00:00:43.000 --> 00:00:45.000]  和我吃飯的時候,
[00:00:45.000 --> 00:00:48.000]  就吃到很不開心的一件事,
[00:00:48.000 --> 00:00:52.000]  就是我們都曾經去過的那間教會,
[00:00:52.000 --> 00:00:55.000]  侍奉過的教會,
[00:00:55.000 --> 00:00:59.000]  小組裡面就是因為總統選舉之後,
[00:00:59.000 --> 00:01:01.000]  結果有人接他,
[00:01:01.000 --> 00:01:03.000]  「川普當選了」,
[00:01:03.000 --> 00:01:06.000]  接著已經有人說,
[00:01:06.000 --> 00:01:10.000]  「不要再講這些東西」,
[00:01:10.000 --> 00:01:13.000]  他說他很反感,
[00:01:13.000 --> 00:01:15.000]  是因為這樣,
[00:01:15.000 --> 00:01:18.000]  從此以後我退出小組,
[00:01:18.000 --> 00:01:20.000]  不只是一個兩個,
[00:01:20.000 --> 00:01:27.000]  是一半小組的人退出小組。
[00:01:27.000 --> 00:01:29.000]  我想起的時候,
[00:01:29.000 --> 00:01:32.000]  其實香港教會何嘗不是這樣,
[00:01:32.000 --> 00:01:35.000]  有一段時間都是這樣,
[00:01:35.000 --> 00:01:37.000]  所以因為這樣,
[00:01:37.000 --> 00:01:39.000]  有一個心裡面的感動,
[00:01:39.000 --> 00:01:44.000]  接下來這個世界是會有很多東西改變,
[00:01:44.000 --> 00:01:49.000]  所以我就改了今天這個訊息,
[00:01:49.000 --> 00:01:52.000]  逆境中不失方寸,
[00:01:52.000 --> 00:01:54.000]  跟大家分享,
[00:01:54.000 --> 00:01:56.000]  請大家低頭,
[00:01:56.000 --> 00:01:59.000]  我們一起做一個禱告,
[00:01:59.000 --> 00:02:01.000]  主耶穌,
[00:02:01.000 --> 00:02:05.000]  求你透過你自己的話,
