
[00:00:00.000 --> 00:00:08.000]  我女兒讀高中的時候,我們就不再請費用了。
[00:00:08.000 --> 00:00:14.000]  不如先問問,多少人有請過費用,幫忙的,舉起手。
[00:00:14.000 --> 00:00:20.000]  很多,是不是?我相信你和我一樣,都有一天決定不請的,是不是?
[00:00:20.000 --> 00:00:25.000]  都不想有多少個人,所以我們在她高中的時候已經決定不請了。
[00:00:25.000 --> 00:00:30.000]  好了,不請,問題就開始來了,那些家務是誰來做的?
[00:00:30.000 --> 00:00:32.000]  我。
[00:00:32.000 --> 00:00:41.000]  那不只是我,我一家三口,大家分配,所以我們要商量,我太太,我女兒一起分配。
[00:00:41.000 --> 00:00:50.000]  太太煮飯,我就洗碗,她做一些輕輕的清潔,我就做一些繁重的清潔,洗廁所,洗冷氣那些。
[00:00:50.000 --> 00:01:00.000]  好了,到洗衣服了,我們就各人做自己的,自己的衣服自己負責,你不洗衣服就沒有衣服穿,就是這樣,很簡單。
[00:01:00.000 --> 00:01:10.000]  各人做自己的事,我懶的,想用最少時間做最多的事,這是香港人本色。
[00:01:10.000 --> 00:01:20.000]  每次洗衣服,機衣打開,我就塞,盡量塞,有多少就塞多少,然後就開機洗了。
[00:01:20.000 --> 00:01:26.000]  我太太經常說,你有沒有看過洗衣機的手冊,怎麼用的?
[00:01:26.000 --> 00:01:30.000]  不可以敷的,衣服不能放到質地爆裂的那種。
[00:01:30.000 --> 00:01:42.000]  它說明多少公斤,你就放多少,還有顏色要分開洗,不同質地要分開洗,有沒有人這樣做?
[00:01:42.000 --> 00:01:54.000]  有啊,只有我沒有這樣做,我懶,所以經常隨便洗,我說不要啊,這樣洗衣機會壞的。
[00:01:54.000 --> 00:02:04.000]  因為你不按著洗衣機生產商的使用手冊去用,你就搞到它壞了。
[00:02:04.000 --> 00:02:22.000]  同樣,我們的生命,你我的生命,今天有沒有按著上帝獨特給你的生命手冊,使用手冊來用呢?有沒有?
[00:02:22.000 --> 00:02:27.000]  你有沒有打開過上帝給你的使用手冊去看?
