
[00:00:00.000 --> 00:00:05.000]  一開始的時候想問大家一個問題
[00:00:05.000 --> 00:00:11.000]  如果問你最記得可以彼此服侍的動物
[00:00:11.000 --> 00:00:13.000]  你會想起什麼動物?
[00:00:13.000 --> 00:00:18.000]  彼此服侍的動物
[00:00:18.000 --> 00:00:20.000]  不算人
[00:00:20.000 --> 00:00:23.000]  馬騮
[00:00:23.000 --> 00:00:25.000]  對 牧師說馬騮
[00:00:25.000 --> 00:00:26.000]  我也是想起馬騮的
[00:00:26.000 --> 00:00:28.000]  我一開始問我太太的時候
[00:00:28.000 --> 00:00:31.000]  她想起企鵝或是眼群
[00:00:31.000 --> 00:00:33.000]  我就想起馬騮
[00:00:33.000 --> 00:00:35.000]  香港是不陌生的馬騮
[00:00:35.000 --> 00:00:39.000]  如果你去過城門水塘
[00:00:39.000 --> 00:00:43.000]  或者金山公園一帶
[00:00:43.000 --> 00:00:44.000]  應該都會見過的
[00:00:44.000 --> 00:00:46.000]  大家見到牠的時候
[00:00:46.000 --> 00:00:49.000]  很多時候有沒有發覺牠在做什麼事?
[00:00:49.000 --> 00:00:52.000]  很多人都說捉蝨
[00:00:52.000 --> 00:00:55.000]  對 好像在互相捉蝨
[00:00:55.000 --> 00:00:57.000]  其實根據專家的研究
[00:00:57.000 --> 00:01:01.000]  更廣的說法就是牠們在互相梳毛
[00:01:01.000 --> 00:01:03.000]  而且這種互相梳毛
[00:01:03.000 --> 00:01:05.000]  有三種可能的目的
[00:01:05.000 --> 00:01:08.000]  第一種就是捉蝨或是捉寄生蟲
[00:01:08.000 --> 00:01:10.000]  是一個衛生的考慮
[00:01:10.000 --> 00:01:12.000]  第二個是補充鹽分
[00:01:12.000 --> 00:01:14.000]  就是原來牠捉完之後
[00:01:14.000 --> 00:01:18.000]  放到口裡的那些是牠身體的一種分泌物
[00:01:18.000 --> 00:01:20.000]  白色的顆粒
[00:01:20.000 --> 00:01:23.000]  裡面有鹽和其他元素和物質
[00:01:23.000 --> 00:01:25.000]  對身體有益
[00:01:25.000 --> 00:01:27.000]  這是一個健康的考慮
[00:01:27.000 --> 00:01:30.000]  第三種是彼此交流
[00:01:30.000 --> 00:01:32.000]  去建立關係的目的
[00:01:32.000 --> 00:01:36.000]  所以無論彼此捉蝨或是彼此梳毛
[00:01:36.000 --> 00:01:39.000]  似乎成為了猴子的標誌
[00:01:39.000 --> 00:01:40.000]  無論哪一種目的
[00:01:40.000 --> 00:01:44.000]  都是一種互相和彼此的元素在裡面
[00:01:44.000 --> 00:01:46.000]  不是單向的
[00:01:46.000 --> 00:01:50.000]  不知道這件事有沒有令大家覺得很有愛的感覺呢?
[00:01:50.000 --> 00:01:52.000]  今天的講道是
[00:01:52.000 --> 00:01:56.000]  展現上帝的國度成為基督徵兵系列的議題
[00:01:56.000 --> 00:01:58.000]  效法基督的生命
[00:01:58.000 --> 00:02:01.000]  題目就是彼此洗腳的群體
[00:02:01.000 --> 00:02:04.000]  我們會透過約翰福音13章1至20節
[00:02:04.000 --> 00:02:07.000]  看看主耶穌有什麼要對我們說的
[00:02:07.000 --> 00:02:12.000]  我們先一起來讀約翰福音13章1至11節
[00:02:12.000 --> 00:02:14.000]  好,1、2、3
[00:02:14.000 --> 00:02:19.000]  預節以前,耶穌知道自己離世歸父的時候到了
[00:02:19.000 --> 00:02:23.000]  他日向外世間屬自己的人,就愛他們到底
[00:02:23.000 --> 00:02:27.000]  晚餐的時候,魔鬼以把出賣耶穌的義師
[00:02:27.000 --> 00:02:31.000]  方在加掠人西門的兒子猶大心裡
[00:02:31.000 --> 00:02:35.000]  耶穌知道父以把萬有交在他手裡
[00:02:35.000 --> 00:02:40.000]  且知道自己是從神出來的,又要回到神那裡去
[00:02:40.000 --> 00:02:45.000]  就立即站起來,脫掉衣服,拿一條毛巾束腰
[00:02:45.000 --> 00:02:49.000]  隨後把水倒在盆裡,開始洗門徒的腳
[00:02:49.000 --> 00:02:54.000]  並以束腰的手筋擦乾,到了西門彼得跟前
[00:02:54.000 --> 00:02:57.000]  彼得對他說:主啊,祢洗我的腳嗎?
[00:02:57.000 --> 00:03:00.000]  耶穌回答他說:我所做的
[00:03:00.000 --> 00:03:11.000]  耶穌回答他:我若不洗祢,祢就與我無份了
[00:03:11.000 --> 00:03:17.000]  西門彼得對他說:主啊,不僅是我的腳,連手和頭也要洗
[00:03:17.000 --> 00:03:21.000]  耶穌對他說:凡洗過躁的人不需要再洗
[00:03:21.000 --> 00:03:24.000]  只要把腳一洗,全身就乾淨了
[00:03:24.000 --> 00:03:27.000]  你們是乾淨的,然而不都是乾淨的
[00:03:27.000 --> 00:03:30.000]  耶穌已知道要出賣他的是誰
[00:03:30.000 --> 00:03:33.000]  因此說:你們不都是乾淨的
[00:03:33.000 --> 00:03:37.000]  這段經文是主耶穌為門徒洗腳的事蹟
[00:03:37.000 --> 00:03:40.000]  讀1至11節的時候,我們要解答兩個問題
[00:03:40.000 --> 00:03:45.000]  第一,在第8節,主說:我若不洗祢,祢就與我無份
[00:03:45.000 --> 00:03:47.000]  這是什麼意思呢?
[00:03:47.000 --> 00:03:53.000]  第10節,耶穌對彼得說:你們是乾淨的,然而不都是乾淨的
[00:03:53.000 --> 00:03:57.000]  這是什麼意思呢?我們先來看這段經文的背景
