
[00:00:00.000 --> 00:00:04.000]  多謝競拜隊帶我們一起去競拜
[00:00:04.000 --> 00:00:07.000]  首先在競拜裡面特別感動
[00:00:07.000 --> 00:00:09.000]  我覺得師哥這樣說
[00:00:09.000 --> 00:00:12.000]  他說過去、現在和未來
[00:00:12.000 --> 00:00:15.000]  我們可以繼續去讚美神
[00:00:15.000 --> 00:00:20.000]  我特別感動今天節節回來
[00:00:20.000 --> 00:00:23.000]  我們可不可以給節節一點掌聲
[00:00:23.000 --> 00:00:25.000]  節節歡迎你
[00:00:25.000 --> 00:00:26.000]  我想真的
[00:00:26.000 --> 00:00:31.000]  我們記得節節之前我們在這裡跟大家說
[00:00:31.000 --> 00:00:33.000]  節節之前有個病
[00:00:33.000 --> 00:00:35.000]  要做一個很大的手術
[00:00:35.000 --> 00:00:36.000]  不過節節真的很厲害
[00:00:36.000 --> 00:00:39.000]  他熬過這個手術
[00:00:39.000 --> 00:00:40.000]  經過這麼大的手術
[00:00:40.000 --> 00:00:42.000]  他今天回來和我們一起競拜
[00:00:42.000 --> 00:00:44.000]  我想剛才唱到師哥的時候
[00:00:44.000 --> 00:00:45.000]  我想我第一
[00:00:45.000 --> 00:00:47.000]  我覺得可以和節節一起
[00:00:47.000 --> 00:00:48.000]  我們那時候都說
[00:00:48.000 --> 00:00:50.000]  我很喜歡和節節一起競拜
[00:00:50.000 --> 00:00:53.000]  因為節節競拜的時候有一份單純的心
[00:00:53.000 --> 00:00:56.000]  他都幫我、帶我、教我
[00:00:56.000 --> 00:00:58.000]  原來在神面前讚美
[00:00:58.000 --> 00:01:01.000]  可以這麼單純地讚美神
[00:01:01.000 --> 00:01:03.000]  我覺得今天可以和節節一起
[00:01:03.000 --> 00:01:06.000]  我覺得真的是我們這樣宣告
[00:01:06.000 --> 00:01:10.000]  我們的將來、過去、結局都在神的手裡
[00:01:10.000 --> 00:01:11.000]  神會看顧我們
[00:01:11.000 --> 00:01:13.000]  所以剛才的競拜裡面
[00:01:13.000 --> 00:01:15.000]  真的特別感動
[00:01:15.000 --> 00:01:16.000]  多謝神在我們中間
[00:01:16.000 --> 00:01:18.000]  多謝神保守我們這個群體
[00:01:18.000 --> 00:01:22.000]  讓我們可以整齊地一起回到神面前去競拜
[00:01:22.000 --> 00:01:27.000]  剛才Docas也有說
[00:01:27.000 --> 00:01:29.000]  有一個題目叫「搖樹功課」
[00:01:29.000 --> 00:01:32.000]  雖然是4月30日
