
[00:00:00.000 --> 00:00:03.000]  鄧姐妹們 和你旁邊的那個
[00:00:03.000 --> 00:00:05.000]  好啊 看到你
[00:00:05.000 --> 00:00:10.000]  我又想這樣
[00:00:10.000 --> 00:00:13.000]  可不可以給我們很大的掌聲
[00:00:13.000 --> 00:00:15.000]  我們的侍奉團隊 可以嗎
[00:00:15.000 --> 00:00:18.000]  AV Team給你們一點掌聲好不好
[00:00:18.000 --> 00:00:20.000]  Ceci在後面給你們一點掌聲好不好
[00:00:20.000 --> 00:00:22.000]  還有今天競拜隊好不好
[00:00:22.000 --> 00:00:24.000]  今天競拜隊有兩個新成員
[00:00:24.000 --> 00:00:27.000]  其實打鼓我覺得女生打這些東西
[00:00:27.000 --> 00:00:30.000]  玩這些東西覺得很死型
[00:00:30.000 --> 00:00:32.000]  真的很羨慕
[00:00:32.000 --> 00:00:35.000]  我經常夢想自己是坐在那裡打鼓的
[00:00:35.000 --> 00:00:38.000]  我覺得看到他們
[00:00:38.000 --> 00:00:40.000]  後面是不是還沒開燈
[00:00:40.000 --> 00:00:42.000]  我更看到一件事是什麼呢
[00:00:42.000 --> 00:00:44.000]  原來之前是不懂結他
[00:00:44.000 --> 00:00:47.000]  因為有個Leo哥哥教他
[00:00:47.000 --> 00:00:49.000]  我想起Leo就不是想起Leo
[00:00:49.000 --> 00:00:51.000]  我想起Leo想起誰呢
[00:00:51.000 --> 00:00:53.000]  想起韋樂、Jacky教他彈結他
[00:00:53.000 --> 00:00:55.000]  或者說是十幾年前
[00:00:55.000 --> 00:00:57.000]  Leo當時也很小的時候
[00:00:57.000 --> 00:01:00.000]  但我看到青少步這個圖畫很美麗
[00:01:00.000 --> 00:01:02.000]  所以我在前面競拜的時候
[00:01:02.000 --> 00:01:03.000]  不單是一邊競拜神
[00:01:03.000 --> 00:01:05.000]  其實同樣地在群體裡面
[00:01:05.000 --> 00:01:08.000]  可以看到不同的節目可以彼此侍奉
[00:01:08.000 --> 00:01:09.000]  彼此學習
[00:01:09.000 --> 00:01:12.000]  這個也是我們青少步一個很重要的特點
[00:01:12.000 --> 00:01:14.000]  我很久沒有講道了
[00:01:14.000 --> 00:01:17.000]  很興奮和有點緊張走上來講道
[00:01:17.000 --> 00:01:18.000]  雖然我喜歡說話
[00:01:18.000 --> 00:01:20.000]  但講道不是說話
[00:01:20.000 --> 00:01:22.000]  講道很想分享神的說話
[00:01:22.000 --> 00:01:23.000]  不單這樣
[00:01:23.000 --> 00:01:25.000]  我想讓你和我,包括我自己
[00:01:25.000 --> 00:01:27.000]  去講天道的時候
[00:01:27.000 --> 00:01:29.000]  我的生命都很想被主的愛
[00:01:29.000 --> 00:01:32.000]  被主自己的說話去激勵我們很重要
[00:01:32.000 --> 00:01:33.000]  特別是疫情
[00:01:33.000 --> 00:01:35.000]  特別是今天雖然我們回來
[00:01:35.000 --> 00:01:37.000]  都好像有點距離
[00:01:37.000 --> 00:01:40.000]  特別是在這個有距離、有阻隔
[00:01:40.000 --> 00:01:42.000]  不是那麼容易去表達愛的環境下
[00:01:42.000 --> 00:01:44.000]  神的說話是更加
[00:01:44.000 --> 00:01:46.000]  我們更加需要神的說話去幫助我們
[00:01:46.000 --> 00:01:49.000]  可以在我們生活上繼續堅定的前行
[00:01:49.000 --> 00:01:50.000]  雖然在主後面的大英姐妹
[00:01:50.000 --> 00:01:51.000]  我不能夠見到你
[00:01:51.000 --> 00:01:53.000]  我也會走出來看著你
[00:01:53.000 --> 00:01:54.000]  這個非常重要
[00:01:54.000 --> 00:01:56.000]  今天跟大家一起講一個題目
[00:01:56.000 --> 00:01:58.000]  與受苦者同行
[00:01:58.000 --> 00:01:59.000]  如果你知道的話
[00:01:59.000 --> 00:02:01.000]  其實我們這個月
[00:02:01.000 --> 00:02:03.000]  上個禮拜Foreign's講一次
[00:02:03.000 --> 00:02:07.000]  我們這個月的主題是講進到受苦者身邊
[00:02:07.000 --> 00:02:10.000]  我們過去其實《青少報》在崇拜裏面講過
[00:02:10.000 --> 00:02:12.000]  我們有幾個很重要的核價值
[00:02:12.000 --> 00:02:16.000]  我們講養、關、器、成、長、敬、拜、全、福、恩、福、事
[00:02:16.000 --> 00:02:18.000]  這幾個是我們很重要的核價值
[00:02:18.000 --> 00:02:20.000]  在暑假,即是往後的日子
[00:02:20.000 --> 00:02:21.000]  特別在聖誕節之後
[00:02:21.000 --> 00:02:22.000]  我們轉了一個新的主題
[00:02:22.000 --> 00:02:24.000]  很想讓我們成為光
[00:02:24.000 --> 00:02:27.000]  我們Shining Icos in the light
[00:02:27.000 --> 00:02:29.000]  我們成為光,我們希望落地
[00:02:29.000 --> 00:02:30.000]  希望很想進入人群裏面
[00:02:30.000 --> 00:02:32.000]  所以你看到在聖誕節也好
[00:02:32.000 --> 00:02:33.000]  在新年也好
[00:02:33.000 --> 00:02:35.000]  甚或我們現在Easter之前
[00:02:35.000 --> 00:02:37.000]  我們都有個,即是下個禮拜
[00:02:37.000 --> 00:02:38.000]  其實是我們的活動
[00:02:38.000 --> 00:02:41.000]  很想跟大家一起在社區裏面見證著
[00:02:41.000 --> 00:02:43.000]  不過今天特別我想講就是
[00:02:43.000 --> 00:02:47.000]  與受苦者同行這個題目對我們來說都很重要
[00:02:47.000 --> 00:02:48.000]  可能你會說穆斯
[00:02:48.000 --> 00:02:50.000]  對,我現在是受苦者
[00:02:50.000 --> 00:02:52.000]  我今天中間裏面會講一下
[00:02:52.000 --> 00:02:55.000]  我是受苦者,我如何離開痛苦
[00:02:55.000 --> 00:02:59.000]  但同樣地,你說我很好,我ok了
[00:02:59.000 --> 00:03:03.000]  狀態、信仰、人生到某個階段都ok的
[00:03:03.000 --> 00:03:07.000]  那我如何真正與受苦者同行呢?
[00:03:07.000 --> 00:03:10.000]  這是我今天很想和大家一起進入思考
[00:03:10.000 --> 00:03:12.000]  去分享的內容
[00:03:12.000 --> 00:03:14.000]  後面跟到吧
[00:03:14.000 --> 00:03:15.000]  我真的有點緊張
[00:03:15.000 --> 00:03:16.000]  講話好像很急
[00:03:16.000 --> 00:03:18.000]  不過不要緊,我都很熱愛講話
[00:03:18.000 --> 00:03:19.000]  更加熱愛講道
[00:03:19.000 --> 00:03:21.000]  龐木臣的說話鼓勵我們的生命
[00:03:21.000 --> 00:03:23.000]  我不知道你有沒有看過一本書
[00:03:23.000 --> 00:03:27.000]  這本書是講德蘭修女的一生的事
[00:03:27.000 --> 00:03:29.000]  德蘭修女是天主教的修女
[00:03:29.000 --> 00:03:32.000]  我call她,當然不代表天主教
[00:03:32.000 --> 00:03:34.000]  我不一定完全認同她的立場
[00:03:34.000 --> 00:03:36.000]  但對於她在地上所做過的事
[00:03:36.000 --> 00:03:38.000]  對一個作為基督徒的牧師
[00:03:38.000 --> 00:03:40.000]  我都值得很多東西去學習
