
[00:00:00.000 --> 00:00:02.800]  大家好,大英姐妹早安
[00:00:02.800 --> 00:00:05.960]  早安,不知道你能否享受在敬拜中
[00:00:05.960 --> 00:00:08.440]  首先,詩歌中有句說話
[00:00:08.440 --> 00:00:13.240]  它好像孩子般緊靠著神
[00:00:13.240 --> 00:00:14.920]  去享受那種甜味
[00:00:14.920 --> 00:00:19.160]  不知道你能否享受在敬拜中唱歌、讚美
[00:00:19.160 --> 00:00:22.400]  可能你說唱歌站了那麼久很累
[00:00:22.400 --> 00:00:23.840]  但很想告訴大家
[00:00:23.840 --> 00:00:25.920]  其實敬拜是甚麼
[00:00:25.960 --> 00:00:31.080]  你有否試過跟朋友或兄弟姐妹吵架
[00:00:31.080 --> 00:00:33.000]  然後打架
[00:00:33.000 --> 00:00:35.000]  你很想他要向你道歉
[00:00:35.000 --> 00:00:37.080]  你要向他道歉,有否試過?
[00:00:37.080 --> 00:00:40.200]  不知道你能否記得
[00:00:40.200 --> 00:00:42.680]  當那一刻,那個人真的走到你面前
[00:00:42.680 --> 00:00:44.480]  跟你說對不起的時候
[00:00:44.480 --> 00:00:45.960]  那種感覺是怎樣的
[00:00:45.960 --> 00:00:47.400]  我不知道你有沒有試過
[00:00:47.400 --> 00:00:50.960]  你拿高分,做了一件對的事
[00:00:50.960 --> 00:00:52.600]  你去到爸爸媽媽面前
[00:00:52.640 --> 00:00:56.080]  你很想說「98,98,100」
[00:00:56.080 --> 00:00:58.120]  現在媽媽說「差了兩分」
[00:00:58.120 --> 00:00:59.680]  但你覺得應該是很高分
[00:00:59.680 --> 00:01:01.280]  「我很高分」
[00:01:01.280 --> 00:01:05.320]  然後媽媽或爸爸說「你很厲害」
[00:01:05.320 --> 00:01:07.080]  你有否試過那一刻
[00:01:07.080 --> 00:01:09.480]  我猜其實敬拜就是這樣
[00:01:09.480 --> 00:01:12.760]  你去到神面前說「我愛你」
[00:01:12.760 --> 00:01:15.080]  然後上帝又說「祂也很愛你」
[00:01:15.080 --> 00:01:16.560]  其實那一刻就是那一刻
[00:01:16.560 --> 00:01:19.360]  不過上帝好像看不到
[00:01:19.360 --> 00:01:21.080]  所以是抽象一點
[00:01:21.120 --> 00:01:23.560]  不過說一下這個狀況給你聽
[00:01:23.560 --> 00:01:25.920]  讓你知道原來敬拜是一回事
[00:01:25.920 --> 00:01:27.960]  當我們在享受那二十分鐘
[00:01:27.960 --> 00:01:29.520]  二十五分鐘裡
[00:01:29.520 --> 00:01:32.440]  就好像那個人跟你道歉
[00:01:32.440 --> 00:01:33.920]  那個人說「我愛你」
[00:01:33.920 --> 00:01:35.360]  「你很厲害」這樣稱讚
[00:01:35.360 --> 00:01:38.040]  希望你們能夠感受這樣的敬拜
[00:01:38.040 --> 00:01:41.440]  願意你們不要認為這個時間很痛苦
[00:01:41.440 --> 00:01:43.200]  而是真的可以享受
[00:01:43.200 --> 00:01:45.120]  有幾種投入在裡面
[00:01:45.120 --> 00:01:46.640]  進入講道的時候
[00:01:46.640 --> 00:01:47.840]  今天講道很長
[00:01:47.840 --> 00:01:49.240]  我很努力把它短一點
[00:01:49.280 --> 00:01:50.080]  不過沒辦法
[00:01:50.080 --> 00:01:52.440]  你們幫幫我一起讀一起看
[00:01:52.440 --> 00:01:54.880]  講道的題目叫「轉化」
[00:01:54.880 --> 00:01:56.040]  只是為了機讀
[00:01:56.040 --> 00:01:57.480]  我想問大家一個問題
[00:01:57.480 --> 00:01:59.440]  平日你們吃午餐的時候
[00:01:59.440 --> 00:02:01.360]  可以選擇吃什麼嗎
[00:02:01.360 --> 00:02:02.480]  去外面吃
[00:02:02.480 --> 00:02:03.680]  有吧
[00:02:03.680 --> 00:02:05.440]  我想問你們選擇的時候
[00:02:05.440 --> 00:02:06.480]  痛不痛苦
[00:02:06.480 --> 00:02:07.560]  去哪裡吃
[00:02:07.560 --> 00:02:08.240]  吃什麼
[00:02:08.240 --> 00:02:09.960]  看著菜單的時候
[00:02:09.960 --> 00:02:11.840]  當中你有沒有感覺痛苦
[00:02:11.840 --> 00:02:13.680]  有一句話是這樣說的
[00:02:13.680 --> 00:02:14.560]  他說
[00:02:14.560 --> 00:02:15.760]  來,下一個頁了
[00:02:15.760 --> 00:02:18.720]  他說「人人每天都吃飯」
[00:02:18.760 --> 00:02:22.040]  難道人人每天都想吃什麼飯嗎
[00:02:22.040 --> 00:02:23.320]  我自己編的
[00:02:23.320 --> 00:02:24.800]  所以你沒見過
[00:02:24.800 --> 00:02:25.640]  不奇怪
[00:02:25.640 --> 00:02:26.600]  不過可能是
[00:02:26.600 --> 00:02:27.960]  這裡說的是
[00:02:27.960 --> 00:02:30.040]  其實每天想吃飯
[00:02:30.040 --> 00:02:32.280]  你覺得困難吃什麼
[00:02:32.280 --> 00:02:34.560]  不知道你們有沒有遇上這個難題
