
[00:00:00.000 --> 00:00:04.800]  (主持人:謝謝敬拜隊帶我們去敬拜)
[00:00:04.800 --> 00:00:08.800]  (我猜大家可能有些考完試,有些未考完)
[00:00:08.800 --> 00:00:10.800]  (大家都水深火熱之中)
[00:00:10.800 --> 00:00:14.400]  (但敬拜提醒我們,我們在過程中)
[00:00:14.400 --> 00:00:18.600]  (我們有沒有看見神,和我們一起都是很重要)
[00:00:18.600 --> 00:00:22.600]  (所以鼓勵大家繼續努力,未考完試那些)
[00:00:22.600 --> 00:00:28.600]  (今天不是我講道,很想介紹一下今天的講員)
[00:00:28.600 --> 00:00:33.000]  (今天講完,不知道大家有沒有認識Don)
[00:00:33.000 --> 00:00:37.600]  (其實他在去年9月是我們青少年會的神學生)
[00:00:37.600 --> 00:00:42.600]  (今天他第一次公開地講道)
[00:00:42.600 --> 00:00:46.600]  (我剛才都有說,我們當年講道)
[00:00:46.600 --> 00:00:49.600]  (當年不是幾年前,幾年前第一次講道)
[00:00:49.600 --> 00:00:52.600]  (其實都很緊張,他剛才都說他很緊張)
[00:00:52.600 --> 00:00:54.600]  (但我想鼓勵大家,他那麼緊張)
[00:00:54.600 --> 00:00:55.600]  (給他一些肯定的眼神)
[00:00:55.600 --> 00:00:58.600]  (專心留心聽他們分享神話)
[00:00:58.600 --> 00:01:00.600]  (所以把時間交給Don)
[00:01:00.600 --> 00:01:03.600]  (大家好,弟兄姊妹,平安)
[00:01:03.600 --> 00:01:08.600]  (今天一開始,在介紹講題之前)
[00:01:08.600 --> 00:01:10.600]  (首先跟大家分享一句說話叫做)
[00:01:10.600 --> 00:01:11.600]  (We tell our own story)
[00:01:11.600 --> 00:01:13.600]  (這句說話的意思就是)
[00:01:13.600 --> 00:01:16.600]  (其實你自己是怎樣的人)
[00:01:16.600 --> 00:01:18.600]  (就看你自己怎樣去詮釋你自己)
[00:01:18.600 --> 00:01:20.600]  (即是我們生命的焦點)
[00:01:20.600 --> 00:01:22.600]  (如果你們放在你成長的過程中)
[00:01:22.600 --> 00:01:24.600]  (我放在一些很開心的回憶上)
[00:01:24.600 --> 00:01:27.600]  (我會記得我小時候很開心的事是怎樣)
[00:01:27.600 --> 00:01:28.600]  (然後我會告訴自己)
[00:01:28.600 --> 00:01:30.600]  (我是一個很喜歡笑的人)
[00:01:30.600 --> 00:01:31.600]  (我是一個很開朗的人)
[00:01:31.600 --> 00:01:34.600]  (所以別人問你是怎樣的人的時候)
[00:01:34.600 --> 00:01:35.600]  (你就會跟他說)
[00:01:35.600 --> 00:01:37.600]  (我是一個很開心的人)
[00:01:37.600 --> 00:01:41.600]  (當講道We tell our own story的時候)
[00:01:41.600 --> 00:01:43.600]  (即是說很大程度上)
[00:01:43.600 --> 00:01:47.600]  (我們的焦點就決定了我們是怎樣的人)
[00:01:47.600 --> 00:01:50.600]  (當我們放在基督徒身份上的時候)
[00:01:50.600 --> 00:01:53.600]  (即是說我們的焦點放在我們信仰)
[00:01:53.600 --> 00:01:56.600]  (一些回憶片段或重點上)
[00:01:56.600 --> 00:01:59.600]  (就塑造了我們今天怎樣告訴別人)
[00:01:59.600 --> 00:02:01.600]  (我們是一個怎樣的基督徒)
[00:02:01.600 --> 00:02:03.600]  (在開始之前)
[00:02:03.600 --> 00:02:06.600]  (跟大家做一個很簡單的焦點實驗)
[00:02:06.600 --> 00:02:08.600]  (那幅圖會看到有些雲)
[00:02:08.600 --> 00:02:10.600]  (盡量不要看)
[00:02:10.600 --> 00:02:11.600]  (跟大家做一個實驗很簡單)
[00:02:11.600 --> 00:02:13.600]  (每個人都有電話)
[00:02:13.600 --> 00:02:14.600]  (有電話吧 大家都)
[00:02:14.600 --> 00:02:15.600]  (我想你拿出來)
[00:02:15.600 --> 00:02:16.600]  (但不要開著它)
[00:02:16.600 --> 00:02:18.600]  (拿出來但要反轉)
[00:02:18.600 --> 00:02:20.600]  (可以嗎 拿出來 再反轉)
[00:02:20.600 --> 00:02:21.600]  (然後)
[00:02:22.600 --> 00:02:23.600]  (好 拿了)
[00:02:23.600 --> 00:02:25.600]  (不用刻意反轉展示給我看)
[00:02:25.600 --> 00:02:26.600]  (你自己不要看就可以了)
[00:02:26.600 --> 00:02:29.600]  (我想大家一起想一下)
[00:02:29.600 --> 00:02:31.600]  (你的電話 我想你一天)
[00:02:31.600 --> 00:02:33.600]  (根據數據一天)
[00:02:33.600 --> 00:02:35.600]  (每個人登入都過百次)
[00:02:35.600 --> 00:02:37.600]  (你現在想一想在腦裏)
[00:02:37.600 --> 00:02:41.600]  (在你的螢幕右下角的APP)
[00:02:41.600 --> 00:02:42.600]  (你不要檢查 現在想)
[00:02:42.600 --> 00:02:44.600]  (提醒一下自己)
[00:02:44.600 --> 00:02:45.600]  (右下角的APP是甚麼)
[00:02:45.600 --> 00:02:47.600]  (你有答案在腦裏之後)
[00:02:47.600 --> 00:02:48.600]  (有了嗎 有了嗎)
[00:02:48.600 --> 00:02:51.600]  (你不用討論 你自己的電話)
[00:02:51.600 --> 00:02:53.600]  (有了之後 我想你現在)
[00:02:53.600 --> 00:02:55.600]  (登入 查一下答案)
[00:02:55.600 --> 00:02:57.600]  (查一下是否正確)
[00:02:57.600 --> 00:03:00.600]  (查完後 你就把你的電話)
[00:03:00.600 --> 00:03:02.600]  (鎖上 反轉 你看著我)
[00:03:02.600 --> 00:03:04.600]  (我就知道你查完了)
[00:03:04.600 --> 00:03:05.600]  (OK)
[00:03:05.600 --> 00:03:09.600]  (有些人對 有些人錯 是吧)
[00:03:09.600 --> 00:03:11.600]  (但不重要的)
[00:03:11.600 --> 00:03:13.600]  (這個不是在說Focus)
[00:03:13.600 --> 00:03:14.600]  (Focus是甚麼呢)
[00:03:14.600 --> 00:03:17.600]  (就是剛剛每個人)
