
[00:00:00.000 --> 00:00:04.400]  大家有花的,先看一下
[00:00:04.400 --> 00:00:08.600]  這朵花原來是織出來的
[00:00:08.600 --> 00:00:12.400]  很特別,這朵花重不重?
[00:00:12.400 --> 00:00:18.800]  其實物輕情意重,這朵花好像很輕
[00:00:18.800 --> 00:00:22.800]  但背後的心意是很重
[00:00:22.800 --> 00:00:27.200]  作為母親的重量,這朵花其實真的很重
[00:00:27.200 --> 00:00:28.400]  不容易去拿
[00:00:28.400 --> 00:00:35.600]  我想背後是承載著很偉大、很重量的母愛
[00:00:35.600 --> 00:00:38.800]  而剛才我是屬於多家團契的
[00:00:38.800 --> 00:00:41.000]  我們教會有幾十個團契
[00:00:41.000 --> 00:00:43.200]  其中一個團契就叫做多家團契
[00:00:43.200 --> 00:00:45.000]  剛剛我們才完結的
[00:00:45.000 --> 00:00:48.200]  在六點多七點多的時候才完結
[00:00:48.200 --> 00:00:50.800]  主題正正就是慶祝母親節
[00:00:50.800 --> 00:00:54.600]  在當中我們玩,我們笑
[00:00:54.600 --> 00:00:56.600]  但也有一些心情的對話
[00:00:56.600 --> 00:01:00.000]  你後悔不後悔?要不要當媽媽?讓你再選
[00:01:00.000 --> 00:01:05.400]  你覺得當媽媽應該要怎樣去做?
[00:01:05.400 --> 00:01:09.000]  其實在我們的團契當中有很多母親
[00:01:09.000 --> 00:01:12.000]  而當中有很多是單親的母親
[00:01:12.000 --> 00:01:13.800]  其實很不容易
[00:01:13.800 --> 00:01:16.000]  我聽到他們的生命故事
[00:01:16.000 --> 00:01:17.800]  其實不是他們的生命故事
[00:01:17.800 --> 00:01:19.200]  是我們的生命故事
[00:01:19.200 --> 00:01:21.400]  我也是一個單親母親
[00:01:21.400 --> 00:01:24.800]  但我真的聽到每一個單親母親的故事
[00:01:24.800 --> 00:01:28.400]  其實他們都在走很不容易的路
[00:01:28.400 --> 00:01:31.800]  但又看到有很多恩典在當中
[00:01:31.800 --> 00:01:35.200]  今天我就找到我其中一位的姐妹上來
[00:01:35.200 --> 00:01:36.600]  去跟我們分享
[00:01:36.600 --> 00:01:40.800]  分享她怎樣走過單親母親的這條路
[00:01:40.800 --> 00:01:44.800]  我們有請Forence姐妹來給Forence掌聲
[00:01:44.800 --> 00:02:01.600]  (掌聲)
[00:02:01.600 --> 00:02:03.000]  大家好
[00:02:03.000 --> 00:02:05.000]  有點緊張
[00:02:05.000 --> 00:02:07.000]  是會緊張的,掌聲
[00:02:07.000 --> 00:02:11.000]  (掌聲)
[00:02:11.000 --> 00:02:15.000]  今天很想跟大家分享我做單親母親的心路歷程
[00:02:15.000 --> 00:02:18.000]  我叫Forence,我的子女都長大了
[00:02:18.000 --> 00:02:22.000]  回想當年我結婚大約半年就懷孕了
[00:02:22.000 --> 00:02:24.000]  因為我還沒有準備好去當媽媽
[00:02:24.000 --> 00:02:26.000]  所以我很不開心
[00:02:26.000 --> 00:02:28.000]  過幾年生下女兒之後
