
[00:00:00.000 --> 00:00:07.000]  大堅姐妹平安!剛才唱的那首詩歌叫什麼名字?
[00:00:07.000 --> 00:00:14.000]  對,所以我們今天的講題和剛才的詩歌一樣,叫《神的帳幕在人間》
[00:00:14.000 --> 00:00:22.000]  我們五堂在講摩西五經的人物事件簿的系列,不知不覺已經趕到出埃及記
[00:00:22.000 --> 00:00:28.000]  最後那幾章,今天就會講神的帳幕,會幕究竟是怎樣的呢?
[00:00:28.000 --> 00:00:36.000]  有四個主要內容,就是講舊約的會幕,即是出埃及記
[00:00:36.000 --> 00:00:42.000]  原來新日也有講會幕,福音書也有,保羅書信也有,啟示錄也有
[00:00:42.000 --> 00:00:47.000]  原來今天也有另一種會幕,甚至將來也有會幕
[00:00:47.000 --> 00:00:51.000]  會幕和我們有沒有關係?有,有很大的關係
[00:00:51.000 --> 00:00:57.000]  我們就來看看會幕中,見到神有多愛我們,還有愛我們愛到有多盡
[00:00:57.000 --> 00:01:01.000]  我們看經文之前,我們一起去祈禱
[00:01:01.000 --> 00:01:06.000]  七海天父,我們感謝你,設下摩西五經很寶貴的話語
[00:01:06.000 --> 00:01:12.000]  求你開我們眼睛,開我們屬靈的眼睛,讓我們見到會幕是一回事
[00:01:12.000 --> 00:01:16.000]  見到神你自己的愛,愛我們,愛我們有多盡
[00:01:16.000 --> 00:01:21.000]  也願意帶領以下的時間,祈禱奉耶穌基督,聖命祈求,阿們
[00:01:21.000 --> 00:01:25.000]  我們講到系列叫人物事件簿
[00:01:25.000 --> 00:01:30.000]  我們重溫一下出埃及記有甚麼人物和事件
[00:01:30.000 --> 00:01:37.000]  頭幾章就講到以色列人受壓迫,然後神就預備拯救
[00:01:37.000 --> 00:01:41.000]  預備哪一個人去幫助拯救他們呢?摩西
[00:01:41.000 --> 00:01:45.000]  以色列人就蒙拯救,出了埃及
[00:01:45.000 --> 00:01:55.000]  神帶領他們去到西乃山,就叫摩西去西乃山頒佈律法和跟他們納約
[00:01:55.000 --> 00:02:00.000]  記得很重要的誡命是甚麼?有多少條?
[00:02:00.000 --> 00:02:06.000]  有十條,寫在一個板上,向摩西頒佈了
[00:02:06.000 --> 00:02:12.000]  也指示他們要建造會幕,用了很多篇幅去講
[00:02:12.000 --> 00:02:19.000]  但是人民等到不耐煩,摩西上了山那麼久會不會有甚麼不測?
