
[00:00:00.000 --> 00:00:04.200]  今天說到的題目是「信心計劃」
[00:00:04.200 --> 00:00:07.400]  為何我會有這個題目呢?
[00:00:07.400 --> 00:00:09.400]  因為剛好我預備這篇經文時
[00:00:09.400 --> 00:00:12.400]  家中的寬頻需要轉換計劃
[00:00:12.400 --> 00:00:18.400]  因為家中的寬頻經常會有不良的收音
[00:00:18.400 --> 00:00:20.600]  令我看電視時看不到
[00:00:20.600 --> 00:00:23.200]  因為我很喜歡看N字頭的收費台
[00:00:23.200 --> 00:00:25.200]  即是收費電視
[00:00:25.200 --> 00:00:26.600]  所以看不到
[00:00:26.600 --> 00:00:30.000]  我老公打機時又會有聲音,又打不到
[00:00:30.000 --> 00:00:36.000]  所以我老公很認真地做了很多資料搜集
[00:00:36.000 --> 00:00:38.000]  希望能夠轉換一個順暢的計劃
[00:00:38.000 --> 00:00:44.000]  最近已經轉換了計劃,真的順暢了很多
[00:00:44.000 --> 00:00:49.000]  其實不止寬頻,很多時候都會有計劃介紹給你
[00:00:49.000 --> 00:00:54.000]  例如保險,有朋友做保險時會打電話給你
[00:00:54.000 --> 00:00:57.400]  說計劃很適合你,希望轉換一下
[00:00:57.400 --> 00:01:00.400]  你的基金收息會更多
[00:01:00.400 --> 00:01:04.400]  做Facial也有計劃
[00:01:04.400 --> 00:01:08.400]  我不知道你們是否也有計劃做Facial
[00:01:08.400 --> 00:01:12.400]  做Facial的人經常推銷你
[00:01:12.400 --> 00:01:16.400]  最近有個美白亂敷療程
[00:01:16.400 --> 00:01:21.400]  我聽到美白就不太吸引,但亂敷就很吸引
[00:01:21.400 --> 00:01:25.400]  怎樣提升骨膠原來是這樣
[00:01:25.400 --> 00:01:29.400]  我相信轉換計劃都是想更好
[00:01:29.400 --> 00:01:31.400]  進步、優化
[00:01:31.400 --> 00:01:37.400]  我們熟齡生命跟隨主的信心
[00:01:37.400 --> 00:01:41.400]  究竟要轉換一個計劃會更進步、更成長
[00:01:41.400 --> 00:01:46.400]  計劃裏面,這個套餐裏面
[00:01:46.400 --> 00:01:51.400]  有甚麼重要的東西能夠幫助我們
[00:01:51.400 --> 00:01:53.400]  我們的信心不會被打倒
[00:01:53.400 --> 00:01:57.400]  希望今日的經文能夠成為我們生命的提醒
[00:01:57.400 --> 00:01:59.400]  經文有少許長
[00:01:59.400 --> 00:02:03.400]  在《雅各書》的一章的16到27節
[00:02:03.400 --> 00:02:07.400]  因為比較長的緣故,我把它剔開了三個部分
[00:02:07.400 --> 00:02:11.400]  弟兄先讀一個部分,姐妹讀第二個部分
[00:02:11.400 --> 00:02:13.400]  最後的部分一起讀
[00:02:13.400 --> 00:02:16.400]  我想邀請弟兄先讀一號碼
[00:02:16.400 --> 00:02:18.400]  16到18節,預備起
[00:02:18.400 --> 00:02:46.400]  (音樂)
[00:02:46.400 --> 00:02:48.400]  好,有請姐妹
[00:02:48.400 --> 00:02:50.400]  我親愛的弟兄們
[00:02:50.400 --> 00:02:52.400]  你們要明白
[00:02:52.400 --> 00:02:55.400]  你們每一個人要快快地聽
[00:02:55.400 --> 00:02:58.400]  慢慢地說,慢慢地動腦
[00:02:58.400 --> 00:03:02.400]  因為人的怒氣並不能實現神的義
[00:03:02.400 --> 00:03:08.400]  所以你們要除去一切的污穢和累積的惡毒
[00:03:08.400 --> 00:03:12.400]  要傳溫柔的心,領受所栽種的道
[00:03:12.400 --> 00:03:15.400]  就是能救你們靈魂的道
[00:03:15.400 --> 00:03:17.400]  一起,預備起
[00:03:17.400 --> 00:03:20.400]  但是你們要作行道的人
[00:03:20.400 --> 00:03:22.400]  不要只作聽道的人
[00:03:22.400 --> 00:03:24.400]  自己欺騙自己
[00:03:24.400 --> 00:03:27.400]  因為只聽道而不行道的
[00:03:27.400 --> 00:03:32.400]  就像人對著鏡子觀看自己本來的面目
[00:03:32.400 --> 00:03:34.400]  注視後就離開
[00:03:34.400 --> 00:03:38.400]  立刻忘記了自己的相貌如何
[00:03:38.400 --> 00:03:44.400]  唯有查看那完美使人自由的律法
[00:03:44.400 --> 00:03:46.400]  並且時常遵守的
[00:03:46.400 --> 00:03:49.400]  他不是聽了就亡
[00:03:49.400 --> 00:03:51.400]  而是切實行出來
[00:03:51.400 --> 00:03:55.400]  這樣的人在所行的事上必然蒙福
[00:03:55.400 --> 00:03:58.400]  若有人自以為虔誠
[00:03:58.400 --> 00:04:01.400]  卻不勒住自己的舌頭
[00:04:01.400 --> 00:04:03.400]  反欺騙自己的心
[00:04:03.400 --> 00:04:06.400]  這樣成是徒然的
[00:04:06.400 --> 00:04:09.400]  在神我們的父面前
[00:04:09.400 --> 00:04:12.400]  清潔沒有玷污的虔誠
[00:04:12.400 --> 00:04:16.400]  就是看顧在患難中的孤兒寡婦
[00:04:16.400 --> 00:04:20.400]  並且保守自己不沾染世俗
[00:04:20.400 --> 00:04:22.400]  我們在同低頭禱告
[00:04:22.400 --> 00:04:25.400]  天父上帝我們去禱告你
[00:04:25.400 --> 00:04:28.400]  求天父你幫助我們
[00:04:28.400 --> 00:04:30.400]  打開我們的心
[00:04:30.400 --> 00:04:33.400]  可能關於信心的事情
[00:04:33.400 --> 00:04:35.400]  我們聽很多
[00:04:35.400 --> 00:04:38.400]  這段經文可能對我們來說都很熟悉
[00:04:38.400 --> 00:04:42.400]  但求聖靈再一次幫助我們打開我們的心
[00:04:42.400 --> 00:04:48.400]  讓我們切切實實成為一個聽到行到的人
[00:04:48.400 --> 00:04:51.400]  並且讓我們一生的信心
[00:04:51.400 --> 00:04:53.400]  能夠緊靠著你
[00:04:53.400 --> 00:04:55.400]  一生都不會被動搖
[00:04:55.400 --> 00:04:57.400]  我們禱告交託
[00:04:57.400 --> 00:04:59.400]  奉耶穌基督的名祈求
[00:04:59.400 --> 00:05:01.400]  阿們
[00:05:01.400 --> 00:05:04.400]  其實由四月開始
[00:05:04.400 --> 00:05:07.400]  每個月有一次教會的講道主題
[00:05:07.400 --> 00:05:09.400]  都是講亞國書
[00:05:09.400 --> 00:05:11.400]  之前是講以弗所書
[00:05:11.400 --> 00:05:13.400]  這次是講亞國書
[00:05:13.400 --> 00:05:15.400]  亞國書都很強調信徒的信心
[00:05:15.400 --> 00:05:18.400]  特別是在試煉困難的裏面
[00:05:18.400 --> 00:05:20.400]  信心是很重要的
[00:05:20.400 --> 00:05:22.400]  如果大家有記性
[00:05:22.400 --> 00:05:25.400]  上個月Billy講亞國書的時候都提到
[00:05:25.400 --> 00:05:28.400]  信徒一定會面對試煉
[00:05:28.400 --> 00:05:30.400]  你逃不掉的
[00:05:30.400 --> 00:05:33.400]  但在試煉裏面
[00:05:33.400 --> 00:05:35.400]  信徒是能夠成長
[00:05:35.400 --> 00:05:37.400]  能夠經歷神更多
[00:05:37.400 --> 00:05:41.400]  過程都是信心的操練
[00:05:41.400 --> 00:05:46.400]  不過當時有些信徒不是這樣看
[00:05:46.400 --> 00:05:48.400]  他們認為面對試煉
[00:05:48.400 --> 00:05:50.400]  或者在試煉裏面
[00:05:50.400 --> 00:05:53.400]  會令信徒軟弱、失敗
[00:05:53.400 --> 00:05:55.400]  甚至犯罪跌倒
[00:05:55.400 --> 00:05:58.400]  他們將這些事歸咎於神
[00:05:58.400 --> 00:06:01.400]  他們覺得為何上帝要試煉人
[00:06:01.400 --> 00:06:03.400]  甚至他們覺得這些不是試煉
[00:06:03.400 --> 00:06:05.400]  而是試探
[00:06:05.400 --> 00:06:07.400]  甚至上帝給予一個誘惑人
[00:06:07.400 --> 00:06:09.400]  令人跌倒犯罪
[00:06:09.400 --> 00:06:12.400]  覺得試煉不是好事
[00:06:12.400 --> 00:06:14.400]  所以來到16節
[00:06:14.400 --> 00:06:19.400]  亞國提醒信徒不要被欺騙
[00:06:19.400 --> 00:06:21.400]  其實他很想回應信徒
[00:06:21.400 --> 00:06:23.400]  要分辨清楚
[00:06:23.400 --> 00:06:26.400]  不是關神事的
[00:06:26.400 --> 00:06:30.400]  軟弱、失敗、引誘、試探
[00:06:30.400 --> 00:06:34.400]  不是每件事都關神事
[00:06:34.400 --> 00:06:37.400]  亞國很想為上帝平反
[00:06:37.400 --> 00:06:41.400]  澄清上帝是怎樣的神
[00:06:41.400 --> 00:06:45.400]  上帝不是一個帶著惡去試探人
[00:06:45.400 --> 00:06:47.400]  去煽人的神
[00:06:47.400 --> 00:06:48.400]  祂是甚麼?
[00:06:48.400 --> 00:06:50.400]  眾光之父
[00:06:50.400 --> 00:06:53.400]  神是光明的神
[00:06:53.400 --> 00:06:55.400]  不是惡、黑暗的神
[00:06:55.400 --> 00:06:58.400]  而且神是一個賜美善的神
[00:06:58.400 --> 00:07:01.400]  英文翻譯是good gift和perfect gift
[00:07:01.400 --> 00:07:03.400]  是好東西
[00:07:03.400 --> 00:07:07.400]  神會給我們好東西,不是給我們壞東西
[00:07:07.400 --> 00:07:11.400]  還有,天父有一個屬性是不會改變
[00:07:11.400 --> 00:07:13.400]  他說愛你,就是愛你
[00:07:13.400 --> 00:07:16.400]  他說拯救你,就是拯救你
[00:07:16.400 --> 00:07:19.400]  他說跟你同在,就跟你同在
[00:07:19.400 --> 00:07:21.400]  直到永遠
[00:07:21.400 --> 00:07:25.400]  透過耶穌基督度成肉身
[00:07:25.400 --> 00:07:27.400]  耶穌基督的救恩
[00:07:27.400 --> 00:07:29.400]  就是拯救信徒到底
[00:07:29.400 --> 00:07:32.400]  永遠跟信徒同在
[00:07:32.400 --> 00:07:34.400]  也不會愛愛下信徒
[00:07:34.400 --> 00:07:36.400]  拯救下信徒,而不拯救他
[00:07:36.400 --> 00:07:38.400]  不愛他
[00:07:38.400 --> 00:07:40.400]  也不會愛愛下你,神會憎恨你
[00:07:40.400 --> 00:07:41.400]  不會的
[00:07:41.400 --> 00:07:43.400]  因為神說的話是會算數的
[00:07:43.400 --> 00:07:45.400]  祂不會不算數的
[00:07:45.400 --> 00:07:49.400]  甚至上帝看我們為初熟的果子
[00:07:49.400 --> 00:07:50.400]  甚麼意思?
[00:07:50.400 --> 00:07:53.400]  初熟的果子是獻給上帝的
[00:07:53.400 --> 00:07:56.400]  在舊約裏,要獻初熟的果子給上帝
[00:07:56.400 --> 00:07:59.400]  說的是我們一群歸給神的人
[00:07:59.400 --> 00:08:02.400]  獻給神的人,屬神的人
[00:08:02.400 --> 00:08:05.400]  天父藉耶穌基督的救恩
[00:08:05.400 --> 00:08:08.400]  叫我們這群信靠耶穌的人
[00:08:08.400 --> 00:08:10.400]  成為屬神的人
[00:08:10.400 --> 00:08:13.400]  天父就要將一切美好的事情
[00:08:13.400 --> 00:08:15.400]  給過你和我
[00:08:15.400 --> 00:08:18.400]  天父就是一個這樣的神
[00:08:18.400 --> 00:08:21.400]  但是當時的信徒
[00:08:21.400 --> 00:08:23.400]  甚或我們
[00:08:23.400 --> 00:08:27.400]  有時可能不是這樣理解天父
[00:08:27.400 --> 00:08:31.400]  可能我們對天父也有些誤解
[00:08:31.400 --> 00:08:34.400]  我們如果看回前一點,十四、十五節
[00:08:34.400 --> 00:08:36.400]  看他講甚麼
[00:08:36.400 --> 00:08:38.400]  當中他講到
[00:08:38.400 --> 00:08:42.400]  人是被自己的私慾誘惑
[00:08:42.400 --> 00:08:44.400]  去吸引了
[00:08:44.400 --> 00:08:47.400]  而這些不是神給人的試煉
[00:08:47.400 --> 00:08:50.400]  原來有些不是神的試煉
[00:08:50.400 --> 00:08:52.400]  那些是誘惑
[00:08:52.400 --> 00:08:55.400]  是人的私慾所產生
[00:08:55.400 --> 00:08:57.400]  而人抵受不住這些誘惑
[00:08:57.400 --> 00:09:00.400]  令自己陷入罪的裡面
[00:09:00.400 --> 00:09:03.400]  所以不要甚麼都賴上帝
[00:09:03.400 --> 00:09:09.400]  而私慾原文這個字帶有惡和壞的意思
[00:09:09.400 --> 00:09:13.400]  簡單來說,這些私慾都不是太好的東西
[00:09:13.400 --> 00:09:15.400]  而經文亦表達得很清楚
[00:09:15.400 --> 00:09:17.400]  是甚麼?是自己的私慾
[00:09:17.400 --> 00:09:20.400]  即是那些是我很想要的東西
