
[00:00:00.000 --> 00:00:08.000]  感謝敬拜隊以詩歌引領我們誠實清潔的心進入敬拜當中
[00:00:08.000 --> 00:00:11.360]  預備我們正直的心靈去朝見神
[00:00:11.360 --> 00:00:13.000]  與神相遇
[00:00:13.000 --> 00:00:17.000]  我們再次掌聲將一切榮耀重讚
[00:00:17.000 --> 00:00:21.000]  獻給我們在天上創始成中
[00:00:21.000 --> 00:00:24.000]  仍然坐著為王的天父上帝
[00:00:24.000 --> 00:00:25.000]  Amen
[00:00:25.000 --> 00:00:27.000]  請姐妹平安
[00:00:27.000 --> 00:00:32.000]  感恩我們能夠再次回到周六祖堂的崇拜
[00:00:32.000 --> 00:00:35.000]  再次聚集在神的殿當中
[00:00:35.000 --> 00:00:37.000]  敬拜那位恩慈信實
[00:00:37.000 --> 00:00:39.000]  施恩守約
[00:00:39.000 --> 00:00:41.000]  使得我們整個生命
[00:00:41.000 --> 00:00:43.000]  以至我們整個人生
[00:00:43.000 --> 00:00:48.000]  縱然我們時時刻刻被罪去試探人有
[00:00:48.000 --> 00:00:52.000]  甚或失腳陷在罪的當中
[00:00:52.000 --> 00:00:55.000]  犯罪而得罪了神
[00:00:55.000 --> 00:01:00.000]  但直至如今神仍然沒有放棄過我們
[00:01:00.000 --> 00:01:03.000]  我們仍然可以堅心信靠
[00:01:03.000 --> 00:01:06.000]  仰賴那位滿有慈悲
[00:01:06.000 --> 00:01:09.000]  滿有憐恤的天父上帝
[00:01:09.000 --> 00:01:11.000]  今天宣講的題目是
[00:01:11.000 --> 00:01:13.000]  悔罪有時
[00:01:13.000 --> 00:01:17.000]  所宣講的經文是詩篇五十一篇
[00:01:17.000 --> 00:01:21.000]  此刻讓我們一起同心大聲讀出神的話語
[00:01:21.000 --> 00:01:26.000]  詩篇五十一篇我們選用的是和合本修訂版
[00:01:26.000 --> 00:01:29.000]  我們由黃色的細字開始讀起
[00:01:29.000 --> 00:01:33.000]  大衛與拔士巴同訪以後
[00:01:33.000 --> 00:01:36.000]  那單先知來見他
[00:01:36.000 --> 00:01:38.000]  他作者師
[00:01:38.000 --> 00:01:41.000]  交給聖榮團長
[00:01:41.000 --> 00:01:42.000]  神啊
[00:01:42.000 --> 00:01:44.000]  求祢按祢的慈愛
[00:01:44.000 --> 00:01:46.000]  恩待我
[00:01:46.000 --> 00:01:48.000]  按祢豐盛的憐憫
[00:01:48.000 --> 00:01:50.000]  逃去我的過犯
[00:01:50.000 --> 00:01:54.000]  求祢將我的罪孽洗滌淨盡
[00:01:54.000 --> 00:01:56.000]  潔除我的罪
[00:01:56.000 --> 00:01:59.000]  因為我知道我的過犯
[00:01:59.000 --> 00:02:02.000]  我的罪常在我面前
[00:02:02.000 --> 00:02:04.000]  我向祢犯罪
[00:02:04.000 --> 00:02:07.000]  唯獨得罪了祢
[00:02:07.000 --> 00:02:10.000]  在祢眼前行了這惡
[00:02:10.000 --> 00:02:14.000]  以致祢集閉的時候顯為公義
[00:02:14.000 --> 00:02:18.000]  判斷的時候顯為清白
[00:02:18.000 --> 00:02:22.000]  看啊,我是在罪孽裡生的
[00:02:22.000 --> 00:02:27.000]  在我母親懷胎的時候就有了罪
[00:02:27.000 --> 00:02:31.000]  祢所喜愛的是內心誠實
[00:02:31.000 --> 00:02:36.000]  求祢在我隱密處使我得智慧
[00:02:36.000 --> 00:02:39.000]  求祢用牛失草潔淨我
[00:02:39.000 --> 00:02:41.000]  我就乾淨
[00:02:41.000 --> 00:02:43.000]  求祢洗滌我
[00:02:43.000 --> 00:02:46.000]  我就比雪更白
[00:02:46.000 --> 00:02:51.000]  求祢使我得聽歡喜快樂的聲音
[00:02:51.000 --> 00:02:55.000]  使祢所壓傷的骨頭可以融化
[00:02:55.000 --> 00:02:59.000]  求祢轉面不移我的罪
[00:02:59.000 --> 00:03:02.000]  逃去我的一切罪孽
[00:03:02.000 --> 00:03:06.000]  神啊,求祢為我做清潔的心
[00:03:06.000 --> 00:03:10.000]  使我裡面重新有淨淨的靈
[00:03:10.000 --> 00:03:12.000]  不要丟棄我
[00:03:12.000 --> 00:03:15.000]  使我離開祢的面
[00:03:15.000 --> 00:03:18.000]  不要從我收回祢的聖靈
[00:03:18.000 --> 00:03:22.000]  求祢使我重得救恩之樂
[00:03:22.000 --> 00:03:25.000]  以樂義的靈來扶持我
[00:03:25.000 --> 00:03:29.000]  我就把祢的道指教有過犯的人
