
[00:00:00.000 --> 00:00:04.000]  頂姐妹,今天我們繼續是今年我們中堂崇拜講道系列
[00:00:04.000 --> 00:00:05.000]  彼得前書
[00:00:05.000 --> 00:00:07.000]  前一個禮拜,不知道大家記不記得呢
[00:00:07.000 --> 00:00:10.000]  Ada師母和你分享了講題是天涯子尺
[00:00:10.000 --> 00:00:13.000]  那天還是跑馬拉松,記得嗎
[00:00:13.000 --> 00:00:15.000]  我們在士徒彼得當中學習
[00:00:15.000 --> 00:00:17.000]  人生好像長跑
[00:00:17.000 --> 00:00:20.000]  但每一天都是短跑,Ada師母提醒我們
[00:00:20.000 --> 00:00:22.000]  每一天我們要警醒的過活
[00:00:22.000 --> 00:00:24.000]  要有盼望,要聖潔,要敬畏
[00:00:24.000 --> 00:00:26.000]  好好活好每一天,榮耀主名
[00:00:26.000 --> 00:00:28.000]  今天我們會繼續延續彼得前書
[00:00:28.000 --> 00:00:32.000]  去到一章二十二節至到二章三節的教導
[00:00:32.000 --> 00:00:34.000]  沒錯,一個信主決志的人
[00:00:34.000 --> 00:00:37.000]  我們可以說是開始了一個肅靈的長跑
[00:00:37.000 --> 00:00:40.000]  或者有時我們叫這個做成性的旅程
[00:00:40.000 --> 00:00:44.000]  對於我們每一個因福加成長的頂姐妹
[00:00:44.000 --> 00:00:46.000]  我相信這個長跑是一段旅程
[00:00:46.000 --> 00:00:48.000]  你一定經歷過有三點
[00:00:48.000 --> 00:00:50.000]  我想你舉手表達一下
[00:00:50.000 --> 00:00:53.000]  有誰上過一針見血的福音,請舉手
[00:00:53.000 --> 00:00:55.000]  很多了,OK
[00:00:55.000 --> 00:00:58.000]  不過有很多針了很多次都還沒完
[00:00:58.000 --> 00:01:00.000]  價值觀重整
[00:01:00.000 --> 00:01:04.000]  有些可能說我下了新人座重整了很多次
[00:01:04.000 --> 00:01:06.000]  而第三是什麼
[00:01:06.000 --> 00:01:09.000]  新生命與新生活,有誰上過
