
[00:00:00.000 --> 00:00:02.000]  各位丹尖會主早安
[00:00:02.000 --> 00:00:04.320]  感恩再次見到大家
[00:00:04.320 --> 00:00:06.520]  一齊回來教會當中
[00:00:06.520 --> 00:00:08.880]  我們一齊來敬拜主
[00:00:08.880 --> 00:00:11.680]  來聆聽神自己的說話
[00:00:11.680 --> 00:00:15.440]  今天大家都回來教會當中
[00:00:15.440 --> 00:00:20.760]  我相信大家都是坐交通工具
[00:00:20.760 --> 00:00:22.040]  或者走路回來的
[00:00:22.040 --> 00:00:23.680]  我想問問大家
[00:00:23.680 --> 00:00:25.680]  有哪些是走路回來的?
[00:00:25.680 --> 00:00:29.600]  有些人住得近
[00:00:29.600 --> 00:00:31.600]  有哪些是坐車回來的?
[00:00:31.600 --> 00:00:33.160]  其他的都很多
[00:00:33.160 --> 00:00:36.440]  可能都住得近或者住得遠
[00:00:36.440 --> 00:00:37.880]  無論你是走路
[00:00:37.880 --> 00:00:39.880]  或者無論你是坐車
[00:00:39.880 --> 00:00:43.240]  其實你都是有一個計劃的
[00:00:43.240 --> 00:00:43.920]  計劃是怎樣?
[00:00:43.920 --> 00:00:44.840]  如果走路的話
[00:00:44.840 --> 00:00:48.160]  就轉某一個街道
[00:00:48.160 --> 00:00:49.440]  如果坐地鐵的話
[00:00:49.440 --> 00:00:52.560]  你就知道哪個出口最近
[00:00:52.560 --> 00:00:53.080]  知不知道?
[00:00:53.080 --> 00:00:54.000]  A,對
[00:00:54.000 --> 00:00:55.080]  要記住
[00:00:55.080 --> 00:00:57.040]  告訴一些新朋友
[00:00:57.040 --> 00:00:58.840]  A出口等你
[00:00:58.840 --> 00:01:01.960]  在A出口走過來
[00:01:01.960 --> 00:01:04.240]  其實大家回來教會
[00:01:04.240 --> 00:01:07.400]  都是習以為常的一個動作
[00:01:07.400 --> 00:01:09.000]  你都不用想了
[00:01:09.000 --> 00:01:10.040]  很自動
[00:01:10.040 --> 00:01:11.520]  出哪個出口
[00:01:11.520 --> 00:01:12.520]  走哪條街
[00:01:12.520 --> 00:01:14.240]  過哪條馬路
[00:01:14.240 --> 00:01:15.600]  紅綠燈
[00:01:15.600 --> 00:01:17.800]  但其實在背後當中
[00:01:17.800 --> 00:01:20.240]  都是有一些計劃的
[00:01:20.240 --> 00:01:21.800]  不過這個計劃
[00:01:21.800 --> 00:01:24.800]  大家都已經習慣了
[00:01:24.800 --> 00:01:26.680]  俗語有云
[00:01:26.680 --> 00:01:29.400]  一年之計在於什麼?
[00:01:29.400 --> 00:01:30.160]  是的
[00:01:30.160 --> 00:01:31.800]  大家都很熟悉
[00:01:31.800 --> 00:01:33.920]  一年之計在於春
[00:01:33.920 --> 00:01:34.920]  意思就是說
[00:01:34.920 --> 00:01:36.760]  一年的開始
