
[00:00:00.000 --> 00:00:05.400]  我們由去年四月開始就講以西傑書了
[00:00:05.400 --> 00:00:08.600]  《轉變中的盼望》系列
[00:00:08.600 --> 00:00:12.600]  講到今天終於來到最後一講
[00:00:12.600 --> 00:00:16.400]  我們從以西傑書走了一個圈
[00:00:16.400 --> 00:00:17.800]  一年那麼久
[00:00:17.800 --> 00:00:20.600]  大家還記不記得講了些什麼?
[00:00:20.600 --> 00:00:24.600]  大家在笑的
[00:00:24.600 --> 00:00:26.600]  是不是記得很清楚
[00:00:26.600 --> 00:00:28.600]  知道以西傑書講什麼呢?
[00:00:29.200 --> 00:00:33.200]  讓我們更好掌握這本書
[00:00:33.200 --> 00:00:37.200]  我很想跟大家先描繪整本書
[00:00:37.200 --> 00:00:41.200]  以西傑這個名字的意思就是
[00:00:41.200 --> 00:00:44.200]  願神兼顧他
[00:00:44.200 --> 00:00:47.200]  很特別,他的父母幫他改了這個名
[00:00:47.200 --> 00:00:49.200]  希望神能夠兼顧這個人
[00:00:49.200 --> 00:00:51.200]  在他二十五歲的時候
[00:00:51.200 --> 00:00:57.200]  那時候猶大國已經成為了巴比倫的附庸國
[00:00:57.200 --> 00:01:01.200]  因為當時的猶大王約瓦根
[00:01:01.200 --> 00:01:06.200]  原本是附庸國,應該聽巴比倫國的話
[00:01:06.200 --> 00:01:08.200]  但是他背叛了巴比倫王
[00:01:08.200 --> 00:01:11.200]  以至巴比倫王尼泊爾格尼撒
[00:01:11.200 --> 00:01:13.200]  就圍困耶路撒冷
[00:01:13.200 --> 00:01:24.200]  根據《列王記下》二十四章十三至十六節的記載
[00:01:24.200 --> 00:01:28.200]  尼泊爾格尼撒王攻入了耶路撒冷
[00:01:28.200 --> 00:01:35.200]  將皇宮和聖殿裡面一切珍貴的物品都擄走了
[00:01:35.200 --> 00:01:38.200]  而耶路撒冷城中的皇室成員
[00:01:38.200 --> 00:01:41.200]  大批的領袖、技術人員
[00:01:41.200 --> 00:01:44.200]  包括木匠、鐵匠、英勇的戰士
[00:01:44.200 --> 00:01:47.200]  通通都擄到了巴比倫
[00:01:47.200 --> 00:01:51.200]  而以西傑就是其中一份子
[00:01:51.200 --> 00:01:56.200]  當時是公元前597年
[00:01:56.200 --> 00:02:02.200]  以西傑被擄到巴比倫之後的五年
[00:02:02.200 --> 00:02:06.200]  即是公元前592年
[00:02:06.200 --> 00:02:10.200]  神就呼召他成為先知
[00:02:10.200 --> 00:02:16.200]  向被擄到巴比倫的以色列人傳講神的話
[00:02:16.200 --> 00:02:18.200]  在書卷一至三章
[00:02:18.200 --> 00:02:22.200]  其實是以西傑蒙召的經歷
[00:02:22.200 --> 00:02:26.200]  他在二章裡面見到神的榮耀
[00:02:26.200 --> 00:02:31.200]  之後書卷主要分為兩大部分
[00:02:31.200 --> 00:02:36.200]  就是審判的訊息和復興的訊息
[00:02:36.200 --> 00:02:37.200]  從第四章開始
[00:02:37.200 --> 00:02:40.200]  以西傑向被擄到巴比倫的猶大人
[00:02:40.200 --> 00:02:42.200]  講審判的訊息
[00:02:42.200 --> 00:02:45.200]  直至到二十四章
[00:02:45.200 --> 00:02:52.200]  神不僅要向猶大的百姓宣告審判即將來到
[00:02:52.200 --> 00:02:57.200]  更要讓他們知道為何神要審判他們
[00:02:57.200 --> 00:03:01.200]  為何他們要被擄到巴比倫
[00:03:01.200 --> 00:03:06.200]  先知很坦白地告訴以色列人
