
[00:00:00.000 --> 00:00:03.000]  (主持人:好,大家晚安了)
[00:00:03.000 --> 00:00:07.200]  (主持人:今晚的感覺都很特別)
[00:00:07.200 --> 00:00:11.200]  (主持人:今次看到Pace,是不是很colorful呢?)
[00:00:11.200 --> 00:00:16.200]  (主持人:很親切,距離近一點)
[00:00:16.200 --> 00:00:22.200]  (主持人:今晚剛好是中秋節)
[00:00:22.200 --> 00:00:28.200]  (主持人:早前在想的時候,都需要想想今晚的港度)
[00:00:28.200 --> 00:00:32.200]  (主持人:很開心今晚一齊思想)
[00:00:32.200 --> 00:00:36.200]  (主持人:首先祝大家中秋節快樂)
[00:00:36.200 --> 00:00:41.200]  (主持人:做節順心順利,雙聚飲食免疫)
[00:00:41.200 --> 00:00:44.200]  (主持人:可能有些做了節,有些未做)
[00:00:44.200 --> 00:00:48.200]  (主持人:剛才回來聊聊天,有些未做,有些做了)
[00:00:48.200 --> 00:00:52.200]  (主持人:我想這也是神讓我們思念)
[00:00:52.200 --> 00:00:57.200]  (主持人:神讓我們的關係特別和家人的關係)
[00:00:57.200 --> 00:01:03.200]  (主持人:我找到一個引子,想起中秋就彈了一句說話出來)
[00:01:03.200 --> 00:01:05.200]  (主持人:大家有沒有彈了甚麼說話出來?)
[00:01:05.200 --> 00:01:10.200]  (主持人:「一年容易又中秋」)
[00:01:10.200 --> 00:01:14.200]  (主持人:我發現這句說話從哪裏來的呢?)
[00:01:14.200 --> 00:01:20.200]  (主持人:就是在宋代的詩人陸游,他有一個叫燕西流的詩句)
[00:01:20.200 --> 00:01:26.200]  (主持人:就是這樣的,「西流遺跡尚毫紅」)
[00:01:26.200 --> 00:01:28.200]  (主持人:很難讀,我都很怕讀)
[00:01:28.200 --> 00:01:38.200]  (主持人:「壽身消在半空,萬里殷秦乘九客,一年容易又秋風」)
[00:01:38.200 --> 00:01:43.200]  (主持人:意思是當時詩人看到西流上有一些遺跡)
[00:01:43.200 --> 00:01:46.200]  (主持人:前人的遺跡仍然是很毫紅)
[00:01:46.200 --> 00:01:50.200]  (主持人:但自己因為繼續做軍人不能夠經常來)
[00:01:50.200 --> 00:01:53.200]  (主持人:當在橋頭吹起一陣風)
[00:01:53.200 --> 00:01:57.200]  (主持人:很厲害的,他是軍人,但懂得作詩)
[00:01:57.200 --> 00:02:00.200]  (主持人:他很感嘆「一年容易又秋風」)
[00:02:00.200 --> 00:02:03.200]  (主持人:就在想這麼快又一年)
[00:02:03.200 --> 00:02:07.200]  (主持人:然後就有感寫成了這句說話)
[00:02:07.200 --> 00:02:09.200]  (主持人:告訴他日子過得很快)
[00:02:09.200 --> 00:02:14.200]  (主持人:但後人就改了,就叫做「一年容易又中秋」)
[00:02:14.200 --> 00:02:18.200]  (主持人:提醒我們不要忘記一家團圓的意思)
[00:02:18.200 --> 00:02:24.200]  (主持人:今晚的講題就是團圓在哪裡可見呢?)
[00:02:24.200 --> 00:02:30.200]  (主持人:很想和大家透過聖經神的說話來領受)
[00:02:30.200 --> 00:02:33.200]  (主持人:我們先來討告,請低頭討告)
[00:02:33.200 --> 00:02:40.200]  (主持人:親愛的主,感謝祢讓我們一年容易又中秋)
[00:02:40.200 --> 00:02:44.200]  (主持人:讓我們能夠適逢崇拜的日子)
[00:02:44.200 --> 00:02:50.200]  (主持人:讓我們能夠歡歡喜喜回到家和殿)
[00:02:50.200 --> 00:02:53.200]  (主持人:一同敬拜和讚美祢)
[00:02:53.200 --> 00:02:58.200]  (主持人:讓我們有那份關係和親切感)
[00:02:58.200 --> 00:03:04.200]  (主持人:一同繼續經歷祢給我們的恩典和領受)
[00:03:04.200 --> 00:03:07.200]  (主持人:我們靠著祢的恩典去回應,去走出來)
[00:03:07.200 --> 00:03:13.200]  (主持人:求祢引領我們以下的正道時間)
[00:03:13.200 --> 00:03:18.200]  (主持人:讓祢的話在我們生命中去紮根和結果)
[00:03:18.200 --> 00:03:23.200]  (主持人:讓一切果子歸祢,聽我們祈禱奉主名求,阿門)
[00:03:23.200 --> 00:03:26.200]  (主持人:我們先讀聖經)
[00:03:26.200 --> 00:03:32.200]  (主持人:今次經文是記載在《約翰一書》一章一至十節)
[00:03:32.200 --> 00:03:35.200]  (主持人:在秩序表也有,或看頭影片也可)
[00:03:35.200 --> 00:03:38.200]  (主持人:我們一起讀吧,一二起)
[00:03:38.200 --> 00:03:45.200]  (主持人:論道從起初原有的生命之道,就是我們所聽見所看見)
[00:03:45.200 --> 00:03:51.200]  (主持人:親眼看過親手摸過的,這生命已經顯現出來)
[00:03:51.200 --> 00:03:57.200]  (主持人:我們看見了,現在又作見證,把源於父同在)
[00:03:57.200 --> 00:04:03.200]  (主持人:並且向我們顯現過那永遠的生命,傳揚給你們)
[00:04:03.200 --> 00:04:08.200]  (主持人:我們把所看見所聽見的,傳揚給你們)
[00:04:08.200 --> 00:04:18.200]  (主持人:為要使你們與我們有團契,而我們的團契是與父和他兒子耶穌基督所共有的)
[00:04:18.200 --> 00:04:24.200]  (主持人:我們把這些事,寫給你們,使我們的喜樂得以滿足)
[00:04:24.200 --> 00:04:28.200]  (主持人:神就是光,在他毫無黑暗)
[00:04:28.200 --> 00:04:33.200]  (主持人:這是我們從主所聽見,又報給你們的訊息)
[00:04:33.200 --> 00:04:39.200]  (主持人:我們若說我們與神有團契,卻仍在黑暗裡行走)
[00:04:39.200 --> 00:04:43.200]  (主持人:就是說方話,不幸實行真理了)
[00:04:43.200 --> 00:04:50.200]  (主持人:我們若在光明中行走,如同神在光明中,就彼此有團契)
[00:04:50.200 --> 00:04:55.200]  (主持人:他兒子耶穌的血,就洗淨我們一切的罪)
[00:04:55.200 --> 00:05:03.200]  (主持人:我們若說自己沒有罪,就是欺騙自己,真理就不在我們裡面了)
[00:05:03.200 --> 00:05:08.200]  (主持人:我們若認自己的罪,神是信實的,是公義的)
[00:05:08.200 --> 00:05:13.200]  (主持人:必要赦免我們的罪,洗淨我們一切的不義)
[00:05:13.200 --> 00:05:19.200]  (主持人:我們若說自己沒有過犯,就是把神當作說放的)
[00:05:19.200 --> 00:05:23.200]  (主持人:他的道就不在我們裡面了)
[00:05:23.200 --> 00:05:28.200]  (主持人:第一個分題,第一個小點就是)
[00:05:28.200 --> 00:05:33.200]  (主持人:團員在哪裡可見,一個感嘆號,一個問號)
[00:05:33.200 --> 00:05:37.200]  (主持人:首先我發現在聖經裡,讓我們看清楚)
[00:05:37.200 --> 00:05:41.200]  (主持人:去認識清楚的是你的家人)
[00:05:41.200 --> 00:05:45.200]  (主持人:不只是知道他的名字,不只是知道他的歲數這麼簡單)
[00:05:45.200 --> 00:05:50.200]  (主持人:知道他整個的生命故事)
