
[00:00:00.000 --> 00:00:04.400]  今天我們中堂會繼續我們的主題經文《創世記》
[00:00:04.400 --> 00:00:06.400]  不知道大家是否記得上兩星期
[00:00:06.400 --> 00:00:10.600]  Charles 牧師和我們一起看到關於羅亞建方舟的故事
[00:00:10.600 --> 00:00:12.600]  了解到當時的人
[00:00:12.600 --> 00:00:14.200]  好像先頭的詩歌所說
[00:00:14.200 --> 00:00:19.400]  都是充滿著貪愛和人性很多的邪惡
[00:00:19.400 --> 00:00:22.800]  上次我們讀到《創世記》六章五節
[00:00:22.800 --> 00:00:23.800]  經文是這麼說的
[00:00:23.800 --> 00:00:28.800]  他說:夜和華見人在地上罪大惡極
[00:00:28.800 --> 00:00:33.600]  終日心裡所想的盡都是惡事
[00:00:33.600 --> 00:00:35.000]  沒錯
[00:00:35.000 --> 00:00:38.200]  今天我們活在一個罪惡的世界
[00:00:38.200 --> 00:00:41.000]  昔日神如何透過洪水滅世
[00:00:41.000 --> 00:00:45.400]  但同時也透過羅亞一家與他納約
[00:00:45.400 --> 00:00:47.800]  繼續的施恩和拯救我們
[00:00:47.800 --> 00:00:50.400]  今天我們會說之後
[00:00:50.400 --> 00:00:53.000]  就是《創世記》十章和十一章
[00:00:53.000 --> 00:00:56.200]  我們都很熟悉關於巴別塔的故事
[00:00:56.200 --> 00:00:58.800]  當羅亞一家在洪水過後
[00:00:58.800 --> 00:01:01.200]  他的後裔沒有跟著
[00:01:01.200 --> 00:01:03.200]  所有人都變得很勁健
[00:01:03.200 --> 00:01:05.400]  反之有很多變本加厲
[00:01:05.400 --> 00:01:08.800]  就好像今天我們都活在一個罪惡的世代
[00:01:08.800 --> 00:01:12.200]  這個令我想起上個月我和太太看了一部電影
[00:01:12.200 --> 00:01:14.000]  有沒有人喜歡看電影的?
[00:01:14.000 --> 00:01:15.000]  也有吧
[00:01:15.000 --> 00:01:16.200]  如果大家喜歡看電影的話
[00:01:16.200 --> 00:01:18.400]  你也知道下個月就是美國一年一度
[00:01:18.400 --> 00:01:21.200]  奧斯卡的金像獎在三月十日舉行
[00:01:21.200 --> 00:01:22.600]  可能你也會留意
[00:01:22.600 --> 00:01:25.600]  今年奧斯卡有一部電影大熱門
[00:01:25.600 --> 00:01:28.200]  說的是《原子彈之父》是誰?
[00:01:28.200 --> 00:01:29.800]  是澳門海默
[00:01:29.800 --> 00:01:31.000]  但如果你看看名單裏面
[00:01:31.000 --> 00:01:33.200]  有一部歐洲電影也非常出名
[00:01:33.200 --> 00:01:34.600]  不過可能你沒有留意
[00:01:34.600 --> 00:01:38.600]  這部電影在去年康城影展獲得最高榮譽
[00:01:38.600 --> 00:01:39.600]  金鐘女獎
[00:01:39.600 --> 00:01:44.000]  也在歐洲電影獎獲得最佳電影、最佳編劇五項獎項
[00:01:44.000 --> 00:01:47.800]  在金球獎獲得最佳劇本和最佳外語片
[00:01:47.800 --> 00:01:50.000]  也獲權威的影評一致讚好
[00:01:50.000 --> 00:01:54.600]  這部電影叫做《墮下的對症》
[00:01:54.600 --> 00:01:58.600]  在內地的名稱就是《墮落的審判》
[00:01:58.600 --> 00:02:01.800]  台灣就譯為《墮落真相》
[00:02:01.800 --> 00:02:05.600]  英文的戲名就是《Anatomy of Fall》
[00:02:05.600 --> 00:02:09.800]  Anatomy 就是解剖、解構的意思
[00:02:09.800 --> 00:02:12.000]  而Fall 就是墮下
[00:02:12.000 --> 00:02:13.400]  就像你看海報裏面
[00:02:13.400 --> 00:02:16.600]  其實就是說一個男人在高處掉下來
[00:02:16.600 --> 00:02:19.200]  整部電影其實就是用不同的角度
[00:02:19.200 --> 00:02:21.000]  很多的片段
[00:02:21.000 --> 00:02:21.800]  我今天不劇透了
[00:02:21.800 --> 00:02:23.600]  都是在法庭裏面去說的
