
[00:00:00.000 --> 00:00:03.000]  在這裡再次祝大家
[00:00:03.000 --> 00:00:06.000]  頂姐妹新春愉快
[00:00:06.000 --> 00:00:08.000]  最近我看了一本書
[00:00:08.000 --> 00:00:14.000]  叫做《別把你的錢留到死》
[00:00:14.000 --> 00:00:17.000]  書名英文就是
[00:00:17.000 --> 00:00:19.000]  Die with Zero
[00:00:19.000 --> 00:00:21.000]  意思就是說
[00:00:21.000 --> 00:00:24.000]  你離世之前
[00:00:24.000 --> 00:00:26.000]  要將你所有錢
[00:00:26.000 --> 00:00:29.000]  全部用光
[00:00:29.000 --> 00:00:32.000]  作者在這本書提醒讀者
[00:00:32.000 --> 00:00:35.000]  要留意在他有生之年
[00:00:35.000 --> 00:00:40.000]  要盡量用盡他所積蓄的金錢
[00:00:40.000 --> 00:00:41.000]  目的是什麼呢?
[00:00:41.000 --> 00:00:45.000]  是要讓自己能夠在他在世的時間
[00:00:45.000 --> 00:00:48.000]  獲得最多美好的體驗
[00:00:48.000 --> 00:00:53.000]  讓自己有一個充實的人生
[00:00:53.000 --> 00:00:56.000]  以免自己可能用了很多時間
[00:00:56.000 --> 00:01:00.000]  你的精力在人生裏面賺錢
[00:01:00.000 --> 00:01:03.000]  不過最後當你離世之前
[00:01:03.000 --> 00:01:06.000]  你卻只是很少的時間
[00:01:06.000 --> 00:01:10.000]  或者到你真的有時間
[00:01:10.000 --> 00:01:13.000]  去用你的錢的時間
[00:01:13.000 --> 00:01:16.000]  你的身體健康的狀況
[00:01:16.000 --> 00:01:18.000]  已經不能用了
[00:01:18.000 --> 00:01:22.000]  這本書的作者給了我們一個很好的提醒
[00:01:22.000 --> 00:01:25.000]  提醒我們要在離世之前
[00:01:25.000 --> 00:01:28.000]  要在我們辛苦賺來的財富當中
[00:01:28.000 --> 00:01:32.000]  獲取最多美好的人生體驗
[00:01:32.000 --> 00:01:37.000]  但主耶穌也給了我們一個更加寶貴的教導
[00:01:37.000 --> 00:01:41.000]  就是教導我們要將地上的財富
[00:01:41.000 --> 00:01:44.000]  轉化成天上的財富
[00:01:44.000 --> 00:01:46.000]  這樣我們在離世之後
[00:01:46.000 --> 00:01:48.000]  我們就能夠在天上
[00:01:48.000 --> 00:01:53.000]  擁有一個用不盡的財寶
[00:01:53.000 --> 00:01:55.000]  現在我們一起看看
[00:01:55.000 --> 00:01:58.000]  我們如何去
[00:01:58.000 --> 00:02:04.000]  積蓄財寶在天上的教導
[00:02:04.000 --> 00:02:08.000]  我們今天的經文就是
[00:02:08.000 --> 00:02:13.000]  《路加福音》十二章三十到三十四節
[00:02:13.000 --> 00:02:17.000]  我首先想請弟兄讀一次
[00:02:17.000 --> 00:02:19.000]  姐妹就聽
[00:02:19.000 --> 00:02:22.000]  然後再請姐妹再讀一次
[00:02:22.000 --> 00:02:24.000]  然後弟兄再聆聽
[00:02:24.000 --> 00:02:27.000]  我們先請弟兄一起讀
[00:02:27.000 --> 00:02:31.000]  你們要變賣財產周濟人
[00:02:31.000 --> 00:02:38.000]  為自己積蓄和用不盡的財寶在天上
[00:02:38.000 --> 00:02:43.000]  就是察不能近從不能住的地方
[00:02:43.000 --> 00:02:46.000]  因為你們的財寶在那裡
[00:02:46.000 --> 00:02:49.000]  你們的心也在那裡
[00:02:49.000 --> 00:02:51.000]  請姐妹
[00:02:51.000 --> 00:03:12.000]  (音樂)
[00:03:12.000 --> 00:03:14.000]  在我們要解釋
[00:03:14.000 --> 00:03:18.000]  《路加福音》十二章三十到三十四節
[00:03:18.000 --> 00:03:20.000]  經文之籤的時間
