
[00:00:00.000 --> 00:00:04.000]  大英姐妹,大家好
[00:00:04.000 --> 00:00:08.000]  今晚我們要和思想的經文記載在
[00:00:08.000 --> 00:00:13.000]  《馬可福音》第十三章第一至三十七節
[00:00:13.000 --> 00:00:16.000]  講到面對末後的事
[00:00:16.000 --> 00:00:20.000]  滿土應該如何預備自己
[00:00:20.000 --> 00:00:23.000]  由於十三章的經文比較長
[00:00:23.000 --> 00:00:26.000]  時間所限我們今晚只會集中在
[00:00:26.000 --> 00:00:31.000]  第一至十七節和二十八至三十七節
[00:00:31.000 --> 00:00:35.000]  我會先讀《馬可福音》十三章第一至四節
[00:00:35.000 --> 00:00:39.000]  然後邀請弟兄和我讀出五至八節
[00:00:39.000 --> 00:00:42.000]  九至十三節由姐妹
[00:00:42.000 --> 00:00:46.000]  而最後一部分我會讀出三十二至三十七節
[00:00:46.000 --> 00:00:50.000]  PowerPoint左上角會有提示
[00:00:50.000 --> 00:00:53.000]  讓大家知道輪到誰讀
[00:00:53.000 --> 00:00:58.000]  讀的時候請大家留心一些重複的字眼
[00:01:00.000 --> 00:01:04.000]  《馬可福音》第十三章第一至第四節
[00:01:04.000 --> 00:01:08.000]  耶穌從聖殿裡出來的時候
[00:01:08.000 --> 00:01:10.000]  有一個門徒對他說
[00:01:10.000 --> 00:01:13.000]  老師,請看
[00:01:13.000 --> 00:01:15.000]  這是多麼了不起的石頭
[00:01:15.000 --> 00:01:18.000]  多麼了不起的建築
[00:01:18.000 --> 00:01:20.000]  耶穌對他說
[00:01:20.000 --> 00:01:23.000]  你看見這些宏偉的建築嗎?
[00:01:23.000 --> 00:01:26.000]  這裡將沒有一塊石頭
[00:01:26.000 --> 00:01:29.000]  會留在另一塊石頭上
[00:01:29.000 --> 00:01:32.000]  而不被拆毀的
[00:01:32.000 --> 00:01:38.000]  耶穌在橄欖山上面向聖殿坐著
[00:01:38.000 --> 00:01:44.000]  彼得、雅各、約翰和安德烈私下問祂說
[00:01:44.000 --> 00:01:46.000]  請告訴我們
[00:01:46.000 --> 00:01:49.000]  什麼時候有這些事呢?
[00:01:49.000 --> 00:01:52.000]  這一切事將成的時候
[00:01:52.000 --> 00:01:54.000]  有什麼預兆呢?
[00:01:55.000 --> 00:01:58.000]  耶穌說:你們會見到神
[00:01:58.000 --> 00:02:01.000]  因為有一個人在守護你們
[00:02:01.000 --> 00:02:03.000]  將來有這些人和我們在一起
[00:02:03.000 --> 00:02:08.000]  所以我希望你們這些人會明白我呼籲你們
[00:02:08.000 --> 00:02:12.000]  我保佑你們明白我和大家的認識
[00:02:12.000 --> 00:02:15.000]  因為你們會看到這些事已經發生
[00:02:15.000 --> 00:02:18.000]  反正有很多人已經死去
[00:02:18.000 --> 00:02:21.000]  反正你們會看到很多人已經死去
[00:02:21.000 --> 00:02:24.000]  所以我希望你們會明白我呼籲你們
[00:02:24.000 --> 00:02:28.000]  我保佑你們明白我和大家的認識
