
[00:00:00.000 --> 00:00:02.000]  他們也會拍手的
[00:00:02.000 --> 00:00:06.000]  不用拍手了
[00:00:06.000 --> 00:00:11.000]  很感謝陳牧師、黎牧師的邀請
[00:00:11.000 --> 00:00:14.000]  今天能夠在主日的時候
[00:00:14.000 --> 00:00:17.000]  敬拜上帝的時候
[00:00:17.000 --> 00:00:19.000]  分享上帝的話語
[00:00:19.000 --> 00:00:23.000]  我起初也沒有特別的記憶
[00:00:23.000 --> 00:00:25.000]  但一進來這個禮堂
[00:00:25.000 --> 00:00:27.000]  應該是十年前
[00:00:27.000 --> 00:00:28.000]  很久很久之前
[00:00:28.000 --> 00:00:31.000]  過一次跟大家分享希伯來書
[00:00:31.000 --> 00:00:32.000]  陳牧師提醒我
[00:00:32.000 --> 00:00:33.000]  你那時候來過
[00:00:33.000 --> 00:00:34.000]  分享希伯來書
[00:00:34.000 --> 00:00:38.000]  今天跟大家讀傳道書
[00:00:38.000 --> 00:00:42.000]  第七章
[00:00:42.000 --> 00:00:44.000]  我沒有powerpoint了
[00:00:44.000 --> 00:00:47.000]  所以經文就印在周刊上
[00:00:47.000 --> 00:00:49.000]  或者大家看你自己手機
[00:00:49.000 --> 00:00:51.000]  或者硬本的聖經
[00:00:51.000 --> 00:00:55.000]  不過我想多讀幾節經文
[00:00:55.000 --> 00:00:57.000]  在周刊上沒有的
[00:00:57.000 --> 00:00:59.000]  可以由第一節讀起
[00:00:59.000 --> 00:01:01.000]  不過我是由第五節讀起
[00:01:01.000 --> 00:01:04.000]  周刊上就列了第十一節
[00:01:04.000 --> 00:01:06.000]  第五到第十節
[00:01:06.000 --> 00:01:08.000]  周刊上就沒有列出來
[00:01:08.000 --> 00:01:10.000]  但我覺得都應該讀一讀
[00:01:10.000 --> 00:01:12.000]  大家讀的時候
[00:01:12.000 --> 00:01:16.000]  留意裡面的分段內容
[00:01:16.000 --> 00:01:19.000]  和合本自己有分段落
[00:01:19.000 --> 00:01:21.000]  有標題有分段落
[00:01:21.000 --> 00:01:22.000]  大致上都ok的
[00:01:22.000 --> 00:01:25.000]  有時候不是分得很仔細
[00:01:25.000 --> 00:01:27.000]  有時候分得太仔細
[00:01:27.000 --> 00:01:29.000]  有時候我覺得分得錯了
[00:01:29.000 --> 00:01:33.000]  大家讀的時候留意
[00:01:33.000 --> 00:01:36.000]  五到十節應該是一整篇
[00:01:36.000 --> 00:01:40.000]  一會兒十一、十二節
[00:01:40.000 --> 00:01:42.000]  又是另一整篇
[00:01:42.000 --> 00:01:45.000]  十三、十四節又是另一整篇
[00:01:45.000 --> 00:01:47.000]  然後到第十五節
[00:01:47.000 --> 00:01:49.000]  和合本有一個大圈
[00:01:49.000 --> 00:01:52.000]  有時候和合本沒有分段落
[00:01:52.000 --> 00:01:54.000]  沒有立新的標題
[00:01:54.000 --> 00:01:55.000]  分開一個段落
[00:01:55.000 --> 00:01:57.000]  但中間有一個大圈
[00:01:57.000 --> 00:01:59.000]  大圈其實也是一個段落
[00:01:59.000 --> 00:02:02.000]  但不知道為什麼沒有立標題分段落
[00:02:02.000 --> 00:02:04.000]  第十五到第十八節
[00:02:04.000 --> 00:02:06.000]  又是一個段落
[00:02:06.000 --> 00:02:08.000]  聽我讀出來
[00:02:08.000 --> 00:02:11.000]  大家留意看著便是
[00:02:11.000 --> 00:02:12.000]  第五節
[00:02:12.000 --> 00:02:16.000]  聽智慧人的雜鼻強如聽愚昧人的歌唱
[00:02:16.000 --> 00:02:20.000]  愚昧人的笑聲好像獲下小荊棘的爆聲
[00:02:20.000 --> 00:02:21.000]  你也時虛空
[00:02:21.000 --> 00:02:24.000]  勒索使智慧人變為如網
[00:02:24.000 --> 00:02:26.000]  賄賂能敗壞人的遺心
[00:02:26.000 --> 00:02:29.000]  事情的終局強如事情的起頭
[00:02:29.000 --> 00:02:32.000]  全心忍耐的勝過居心驕傲的
[00:02:32.000 --> 00:02:35.000]  你不要心裡急躁惱怒
[00:02:35.000 --> 00:02:38.000]  因為惱怒存在於每人的懷中
