
[00:00:00.000 --> 00:00:01.920]  各位丁姐妹,開始講道的時候
[00:00:01.920 --> 00:00:04.520]  想問大家一個快問快答的問題
[00:00:04.520 --> 00:00:05.800]  不用想,馬上回答
[00:00:05.800 --> 00:00:06.800]  若哥告訴你
[00:00:06.800 --> 00:00:10.120]  有一個蒙神揀選又有恩賜的人
[00:00:10.120 --> 00:00:12.600]  他說做一些事來幫你敬拜
[00:00:12.600 --> 00:00:16.040]  你覺得他這個行動是愛神表現的
[00:00:16.040 --> 00:00:17.480]  請你舉手
[00:00:17.480 --> 00:00:20.280]  你們的要求這麼高
[00:00:20.280 --> 00:00:23.360]  有一個蒙神揀選又有恩賜
[00:00:23.360 --> 00:00:26.520]  他說帶你敬拜的人出來幫你敬拜
[00:00:26.520 --> 00:00:28.960]  你覺得是一件好事嗎
[00:00:29.960 --> 00:00:32.600]  你也挺難做的,在這裡做牧師
[00:00:32.600 --> 00:00:35.040]  你想想,若哥在生命中
[00:00:35.040 --> 00:00:36.440]  在我們的日常敬拜中
[00:00:36.440 --> 00:00:41.760]  有一個很有恩賜的領事
[00:00:41.760 --> 00:00:43.800]  像剛才一樣帶我們唱詩
[00:00:43.800 --> 00:00:45.840]  在敬拜當中不是一件好事嗎
[00:00:45.840 --> 00:00:47.840]  如果有一個蒙神揀選
[00:00:47.840 --> 00:00:49.480]  很有講道的恩賜
[00:00:49.480 --> 00:00:52.040]  帶領你和我在崇拜當中
[00:00:52.040 --> 00:00:53.960]  去明白活用神的話語
[00:00:53.960 --> 00:00:56.000]  不是一件大好的事情嗎
[00:00:56.000 --> 00:00:57.240]  你想清楚
[00:00:57.320 --> 00:00:59.160]  但我不知道你有沒有想過一件事
[00:00:59.160 --> 00:01:02.040]  就是有時候一個蒙神揀選
[00:01:02.040 --> 00:01:04.560]  被神使用,很有恩賜的人
[00:01:04.560 --> 00:01:07.840]  走出來說幫我們敬拜的時候
[00:01:07.840 --> 00:01:13.120]  其實很可能那個人背後服侍的原因
[00:01:13.120 --> 00:01:17.880]  是他口中告訴你,他深深愛著神
[00:01:17.880 --> 00:01:19.840]  但他服侍的原因
[00:01:19.840 --> 00:01:23.720]  是他內心愛著另一件事
[00:01:23.720 --> 00:01:26.720]  所以就有今天這個正道題目
[00:01:26.800 --> 00:01:30.560]  叫做「心愛你時,心愛他」
[00:01:30.560 --> 00:01:33.160]  不知道你有沒有想過
[00:01:33.160 --> 00:01:36.000]  「心愛你時,心愛他」
[00:01:36.000 --> 00:01:37.880]  聽到這個題目的時候
[00:01:37.880 --> 00:01:39.480]  正道來說,如果你聽到這裡
[00:01:39.480 --> 00:01:42.000]  你的頭頂有幾十個問號飛來飛去
[00:01:42.000 --> 00:01:44.840]  滿腦懷疑,其實是很正常的
[00:01:44.840 --> 00:01:47.160]  原因是在正常的情況下
[00:01:47.160 --> 00:01:48.760]  「心愛你時,心愛他」這件事
[00:01:48.760 --> 00:01:50.400]  沒理由在一個表面上
[00:01:50.400 --> 00:01:55.840]  十分愛神的人的現實生活中出現
[00:01:56.000 --> 00:01:58.240]  是,差點讓他睡了
[00:01:58.240 --> 00:01:59.880]  我最近知道有一句話叫做
[00:01:59.880 --> 00:02:01.560]  無論如何,這時候你要明白
[00:02:01.560 --> 00:02:05.680]  當你若果一個人說很愛神
[00:02:05.680 --> 00:02:07.520]  但深愛其他事情的時候
[00:02:07.520 --> 00:02:09.360]  你覺得神是否接受呢
[00:02:09.360 --> 00:02:12.160]  接受嗎
[00:02:12.160 --> 00:02:14.440]  我不管神是否接受
[00:02:14.440 --> 00:02:16.840]  不如看看人是否接受,好嗎
[00:02:16.840 --> 00:02:18.560]  聽清楚我的問題
[00:02:18.560 --> 00:02:20.880]  你聽清楚我的問題
[00:02:20.880 --> 00:02:25.240]  你生了小朋友的舉手給我看
[00:02:26.240 --> 00:02:28.440]  在這裡,好…
[00:02:28.440 --> 00:02:30.240]  舉手,不用放下
[00:02:30.240 --> 00:02:32.760]  你結婚的舉手給我看
[00:02:32.760 --> 00:02:36.920]  你正在拍拖的舉手給我看
[00:02:36.920 --> 00:02:38.960]  你很想拍拖
[00:02:38.960 --> 00:02:41.200]  曾經拍過拖的舉手給我看
[00:02:41.200 --> 00:02:42.920]  曾經拍過而已
[00:02:42.920 --> 00:02:45.000]  不用放下
[00:02:45.000 --> 00:02:47.160]  你想拍拖的舉手給我看
[00:02:47.160 --> 00:02:49.840]  聽清楚…
[00:02:49.840 --> 00:02:51.760]  聽清楚就行了,現在放下手
[00:02:51.760 --> 00:02:54.800]  聽好了,麻煩放下
[00:02:55.440 --> 00:02:57.800]  如果你覺得你的另一半
[00:02:57.800 --> 00:03:00.960]  能夠接受你嘴裡深愛另一半
[00:03:00.960 --> 00:03:03.680]  但容許你的心掛念你的前度
[00:03:03.680 --> 00:03:05.040]  你舉手給我看
[00:03:05.040 --> 00:03:06.600]  我再說一次
[00:03:06.600 --> 00:03:08.400]  如果你認為你的另一半
[00:03:08.400 --> 00:03:11.200]  能夠接受你嘴裡說很愛他
[00:03:11.200 --> 00:03:14.800]  但容許你的心掛念你的前度
[00:03:14.800 --> 00:03:16.760]  你告訴我,你舉手吧
[00:03:16.760 --> 00:03:19.600]  大家都知道死字怎麼寫
[00:03:19.600 --> 00:03:21.720]  「頂節目」,你有否想過
[00:03:21.720 --> 00:03:23.200]  人與人之間
[00:03:23.280 --> 00:03:25.520]  若然你說很愛你
[00:03:25.520 --> 00:03:29.240]  但心卻掛念另一半
[00:03:29.240 --> 00:03:30.920]  人與人之間也不接受
[00:03:30.920 --> 00:03:32.440]  但我想告訴大家
[00:03:32.440 --> 00:03:35.560]  在聖經中,的確在聖經歷史中
[00:03:35.560 --> 00:03:39.600]  有一個被神揀選,很有才華的人
[00:03:39.600 --> 00:03:42.360]  他服侍、帶領人去敬拜神
[00:03:42.360 --> 00:03:47.200]  就是深愛神時,心卻愛著其他東西
[00:03:47.200 --> 00:03:50.600]  頂節目,有否想過
[00:03:51.200 --> 00:03:54.240]  如果連神揀選的領袖
[00:03:54.240 --> 00:03:56.760]  也會發生這些問題
[00:03:56.760 --> 00:04:01.480]  作為評述徒弟,我們有否把握
