
[00:00:00.000 --> 00:00:04.000]  今天我想介紹一下書籍,我們有書室
[00:00:04.000 --> 00:00:08.000]  我最近重啟敬拜,在看潘博華的《團契生活》
[00:00:08.000 --> 00:00:12.000]  可能頭兩個章節比較難看,比較辛苦
[00:00:12.000 --> 00:00:16.000]  後面他講到獨處和彼此承擔的章節
[00:00:16.000 --> 00:00:20.000]  我覺得在重啟敬拜的實體聚會時,很值得去看
[00:00:20.000 --> 00:00:25.000]  因為潘博華在納粹德國時,他在一個很大的壓力下
[00:00:25.000 --> 00:00:30.000]  他在一個很小的神學院教弟兄姊妹如何是真正的相聚
[00:00:30.000 --> 00:00:35.000]  我覺得在這一刻重啟弟兄姊妹,特別是社會事件之後
[00:00:35.000 --> 00:00:41.000]  我們可以再看,是相當有幫助和服侍的
[00:00:41.000 --> 00:00:45.000]  今天跟大家分享聖經來自路加福音
[00:00:45.000 --> 00:00:48.000]  其實在復活節也在其他堂講過
[00:00:48.000 --> 00:00:51.000]  但我覺得每次講的時候都有新的體會
[00:00:51.000 --> 00:00:53.000]  所以很開心今天跟大家分享
[00:00:53.000 --> 00:00:55.000]  我們一起祈禱,一起禱告
[00:00:55.000 --> 00:01:00.000]  主,我求你幫助引領我們
[00:01:00.000 --> 00:01:07.000]  讓我們在整個敬拜中,以耶穌基督的說話為我們的中心點
[00:01:07.000 --> 00:01:11.000]  以致我們在整個敬拜中,看得見上帝你自己如何向我們說話
[00:01:11.000 --> 00:01:15.000]  願主你引領看過我們,我們禱告奉耶穌基督的名,阿們
[00:01:19.000 --> 00:01:22.000]  看看我們經文有沒有出來
[00:01:22.000 --> 00:01:27.000]  我們一起讀出今天經文,路加福音的二十一章
[00:01:27.000 --> 00:01:32.000]  第五節
[00:01:32.000 --> 00:01:37.000]  讀出這幾張投影片,一二三
[00:01:37.000 --> 00:01:42.000]  有人談論聖殿是用美石和貢物裝飾的
[00:01:42.000 --> 00:01:47.000]  耶穌就說:你們所看見的這一切
[00:01:47.000 --> 00:01:55.000]  日子將到,沒有一塊石頭會留在另一塊石頭上而不被拆毀的
[00:01:55.000 --> 00:02:00.000]  他們問他:老師,什麼時候有這些事呢?
[00:02:00.000 --> 00:02:05.000]  這些事將臨到的時候,有什麼預兆呢?
[00:02:05.000 --> 00:02:10.000]  耶穌說:你們要謹慎,不要受迷惑
[00:02:10.000 --> 00:02:16.000]  因為將有好些人冒我的名來說:我是基督
[00:02:16.000 --> 00:02:21.000]  又說:時候近了,你們不要跟從他們
[00:02:21.000 --> 00:02:31.000]  當你們聽見我和耶穌說:你們所看見的這一切
[00:02:31.000 --> 00:02:35.000]  日子將到,沒有一塊石頭會留在另一塊石頭上而不被拆毀的
[00:02:35.000 --> 00:02:41.000]  這裡可能有人亂了,我們再錄下一張投影片,希望好一點
[00:02:41.000 --> 00:02:52.000]  他們問他:老師,什麼時候有這些事呢?
[00:02:52.000 --> 00:02:57.000]  這些事將臨到的時候,有什麼預兆呢?
[00:02:57.000 --> 00:03:02.000]  耶穌說:你們要謹慎,不要受迷惑
[00:03:02.000 --> 00:03:08.000]  因為將有好些人冒我的名來說:我是基督
[00:03:08.000 --> 00:03:13.000]  又說:時候近了,你們不要跟從他們
[00:03:13.000 --> 00:03:19.000]  當你們聽見打仗和動亂的時,不要驚慌
[00:03:19.000 --> 00:03:26.000]  因為這些事必須發生,但終結不會立刻就到
[00:03:26.000 --> 00:03:32.000]  於是耶穌對他們說:民要攻打民,國要攻打國
[00:03:32.000 --> 00:03:43.000]  將有大地震,多處必有饑荒、瘟疫,又有可怕的異象和大神蹟從天上顯現
[00:03:43.000 --> 00:03:50.000]  但這一切的事以前,有人要下手拿你們,迫害你們
[00:03:50.000 --> 00:03:55.000]  把你們交給會堂,並且關在監獄裡
[00:03:55.000 --> 00:04:02.000]  又為我明的緣故,拉你們到君王和統治者面前
