
[00:00:00.000 --> 00:00:02.560]  好,兄弟姊妹平安
[00:00:02.560 --> 00:00:04.800]  平安,我就是Carson
[00:00:04.800 --> 00:00:06.560]  今年在這裡服侍大家
[00:00:06.560 --> 00:00:10.080]  我來自長洲,長洲簡稱「神學院」
[00:00:10.080 --> 00:00:13.480]  多謝劍拔隊剛才的帶領
[00:00:13.480 --> 00:00:15.920]  其實今天討論的主題
[00:00:15.920 --> 00:00:21.080]  跟劍拔隊想帶出來的流程很相似
[00:00:21.080 --> 00:00:24.880]  我們在洪水氾濫的時候
[00:00:24.880 --> 00:00:28.440]  我們怎樣去看到神呢?
[00:00:28.480 --> 00:00:32.760]  開始的時候想跟大家看一段15秒的片段
[00:00:32.760 --> 00:00:35.240]  是關於一位小三的學生
[00:00:35.240 --> 00:00:37.040]  他的背景是這樣的
[00:00:37.040 --> 00:00:38.840]  他幾年前剛好疫情結束
[00:00:38.840 --> 00:00:41.040]  他要考TSA回學校
[00:00:41.040 --> 00:00:43.320]  剛好遇到一位記者採訪
[00:00:43.320 --> 00:00:45.560]  然後記者就問他
[00:00:45.560 --> 00:00:47.400]  然後他就這樣回答
[00:00:47.400 --> 00:00:51.320]  (有什麼害怕呢?)
[00:00:51.320 --> 00:00:52.600]  (我想試一下)
[00:00:52.600 --> 00:00:54.920]  (不是覺得人生一點難度都沒有)
[00:00:54.920 --> 00:00:56.560]  (人生一點難度都沒有)
[00:00:56.600 --> 00:01:00.160]  (人生一點難度都沒有)
[00:01:00.160 --> 00:01:02.680]  他就說人生一點難度都沒有
[00:01:02.680 --> 00:01:07.680]  我想問問在座有沒有人夠膽立這個FLAG?
[00:01:07.680 --> 00:01:10.560]  有啊,厲害啊
[00:01:10.560 --> 00:01:11.720]  待會再訪問一下你
[00:01:11.720 --> 00:01:13.560]  為什麼夠膽立這個FLAG?
[00:01:13.560 --> 00:01:14.880]  我想他是小三
[00:01:14.880 --> 00:01:16.520]  所以沒有經歷過什麼
[00:01:16.520 --> 00:01:18.400]  他夠膽說這些話
[00:01:18.400 --> 00:01:21.400]  到了大家…至少在這裡都是高中
[00:01:21.400 --> 00:01:23.840]  應該經歷的事情都不少
[00:01:23.880 --> 00:01:28.200]  所以今天選了一個大家都很熟悉的神蹟
[00:01:28.200 --> 00:01:29.960]  跟大家分享
[00:01:29.960 --> 00:01:32.560]  這個神蹟是唯一一個
[00:01:32.560 --> 00:01:34.560]  記載在四幅音書的神蹟
[00:01:34.560 --> 00:01:36.120]  有沒有人知道是哪個神蹟?
[00:01:36.120 --> 00:01:38.600]  聽到嗎?
[00:01:38.600 --> 00:01:39.840]  剛剛聽到一點
[00:01:39.840 --> 00:01:41.440]  有一點聲音
[00:01:41.440 --> 00:01:42.600]  給點信心
[00:01:42.600 --> 00:01:44.440]  你們的底子應該不弱
[00:01:44.440 --> 00:01:47.360]  五餅二魚,對,我聽到了
[00:01:47.360 --> 00:01:48.360]  就是五餅二魚
[00:01:48.360 --> 00:01:52.080]  這個神蹟可能大家從兒童主義學
[00:01:52.120 --> 00:01:55.120]  或者在學校或很多地方都聽過這個神蹟
[00:01:55.120 --> 00:01:56.320]  最神奇的地方就是
[00:01:56.320 --> 00:01:59.440]  五個餅、兩條魚分給了五千個男人
[00:01:59.440 --> 00:02:02.840]  在現實層面就沒什麼可能
[00:02:02.840 --> 00:02:05.360]  很多時候我們教人聽這個神蹟
[00:02:05.360 --> 00:02:08.320]  很多時候教導都是想告訴我們
[00:02:08.320 --> 00:02:11.640]  第一,主耶穌是神的兒子的身分
[00:02:11.640 --> 00:02:13.880]  又或者是想告訴我們
