
[00:00:00.000 --> 00:00:02.000]  我哋齊同心祈禱
[00:00:02.000 --> 00:00:04.000]  親愛的天父上帝
[00:00:04.000 --> 00:00:06.000]  我哋滿心感謝讚美你
[00:00:06.000 --> 00:00:08.000]  今日係一個好特別嘅日子
[00:00:08.000 --> 00:00:12.000]  係人間係父親節嘅時候
[00:00:12.000 --> 00:00:14.000]  亦都讓我哋嚟去學習
[00:00:14.000 --> 00:00:16.000]  點樣從神嘅眼光
[00:00:16.000 --> 00:00:18.000]  嚟做一個父親
[00:00:18.000 --> 00:00:20.000]  一個丈夫 一個男性
[00:00:20.000 --> 00:00:22.000]  亦都讓我哋能夠去
[00:00:22.000 --> 00:00:24.000]  喺屬靈上面
[00:00:24.000 --> 00:00:26.000]  真係有呢個力量
[00:00:26.000 --> 00:00:28.000]  去幫助我哋嘅家人
[00:00:28.000 --> 00:00:30.000]  走近上帝
[00:00:30.000 --> 00:00:32.000]  亦都喺我哋嘅人生旅途裏面
[00:00:32.000 --> 00:00:34.000]  我哋要做好多嘅決定
[00:00:34.000 --> 00:00:36.000]  你引領住我哋
[00:00:36.000 --> 00:00:38.000]  就願你嘅聖靈係今天
[00:00:38.000 --> 00:00:40.000]  喺崇拜裏面運行
[00:00:40.000 --> 00:00:42.000]  喺我哋嘅心裏面向我哋說話
[00:00:42.000 --> 00:00:44.000]  藉住聖經嘅教導
[00:00:44.000 --> 00:00:46.000]  讓我哋再一次嘅嚟去得到提醒
[00:00:46.000 --> 00:00:48.000]  我哋恭敬嘅嚟去祈禱
[00:00:48.000 --> 00:00:50.000]  奉耶穌基督嘅名 阿門
[00:00:50.000 --> 00:00:52.000]  好感謝
[00:00:52.000 --> 00:00:54.000]  上帝嘅恩典
[00:00:54.000 --> 00:00:56.000]  亦都好多謝
[00:00:56.000 --> 00:00:58.000]  佛道會恩福北區堂
[00:00:58.000 --> 00:01:00.000]  陳健良牧師
[00:01:00.000 --> 00:01:02.000]  陳黎素科牧師嘅邀請
[00:01:02.000 --> 00:01:04.000]  讓我哋同大家
[00:01:04.000 --> 00:01:06.000]  分享聖經嘅說話
[00:01:06.000 --> 00:01:08.000]  今日係父親節嘅日子
[00:01:08.000 --> 00:01:10.000]  但我講道嘅題目就唔係好應節
[00:01:10.000 --> 00:01:12.000]  不過呢
[00:01:12.000 --> 00:01:14.000]  佢有一個層面
[00:01:14.000 --> 00:01:16.000]  可以幫我哋去諗一諗
[00:01:16.000 --> 00:01:18.000]  我點樣可以成為
[00:01:18.000 --> 00:01:20.000]  一位屬靈嘅父親
[00:01:20.000 --> 00:01:22.000]  呢個都係好重要嘅課題
[00:01:22.000 --> 00:01:24.000]  有人話
[00:01:24.000 --> 00:01:26.000]  我冇做powerpoint
[00:01:26.000 --> 00:01:28.000]  咁想大家係專注啲
[00:01:28.000 --> 00:01:30.000]  history
[00:01:30.000 --> 00:01:32.000]  你聽過history
[00:01:32.000 --> 00:01:34.000]  呢個英文字係可以係
[00:01:34.000 --> 00:01:36.000]  his story
[00:01:36.000 --> 00:01:38.000]  即係話 佢嘅故事嘅組合
[00:01:38.000 --> 00:01:40.000]  意思就係
[00:01:40.000 --> 00:01:42.000]  歷史就係上帝嘅故事
[00:01:42.000 --> 00:01:44.000]  咁即係話
[00:01:44.000 --> 00:01:46.000]  你諗返過去嘅歷史
[00:01:46.000 --> 00:01:48.000]  其實你睇到上帝嘅故事
[00:01:48.000 --> 00:01:50.000]  咁當然呢句話
[00:01:50.000 --> 00:01:52.000]  又有兩個層面
[00:01:52.000 --> 00:01:54.000]  我喺聖經裏面
[00:01:54.000 --> 00:01:56.000]  睇到嘅歷史
[00:01:56.000 --> 00:01:58.000]  係上帝嘅故事
[00:01:58.000 --> 00:02:00.000]  如果我睇我自己嘅
[00:02:00.000 --> 00:02:02.000]  歷史又點呀
[00:02:02.000 --> 00:02:04.000]  都睇到上帝喺
[00:02:04.000 --> 00:02:06.000]  我嘅生命裏面嘅故事
[00:02:06.000 --> 00:02:08.000]  我估大家都應該
[00:02:08.000 --> 00:02:10.000]  會有興趣
[00:02:10.000 --> 00:02:12.000]  一方面讀聖經 第二方面就係
[00:02:12.000 --> 00:02:14.000]  睇下你嘅人生裏面
[00:02:14.000 --> 00:02:16.000]  上帝喺你嘅生命裏面
[00:02:16.000 --> 00:02:18.000]  寫下一個乜嘢嘅故事
[00:02:18.000 --> 00:02:20.000]  咁人係好有限嘅
[00:02:20.000 --> 00:02:22.000]  活到一百歲係少數
[00:02:22.000 --> 00:02:24.000]  不過而家呢
[00:02:24.000 --> 00:02:26.000]  其實都越嚟越多人係會去到
[00:02:26.000 --> 00:02:28.000]  一百歲㗎啦
[00:02:28.000 --> 00:02:30.000]  而我哋嘅記憶都係主要喺
[00:02:30.000 --> 00:02:32.000]  世上嘅幾十年嘅
[00:02:32.000 --> 00:02:34.000]  經歷我哋記得嘅嘢
[00:02:34.000 --> 00:02:36.000]  都係呢幾十年嘅嘢
[00:02:36.000 --> 00:02:38.000]  我哋信主之後體驗到
[00:02:38.000 --> 00:02:40.000]  上帝喺我哋嘅人生
[00:02:40.000 --> 00:02:42.000]  喺我哋歷史裏面嗰個真實
[00:02:42.000 --> 00:02:44.000]  所以當我哋去諗
[00:02:44.000 --> 00:02:46.000]  上帝嘅故事嘅時候
[00:02:46.000 --> 00:02:48.000]  我哋就會諗上帝喺我嘅人生
[00:02:48.000 --> 00:02:50.000]  嘅故事
