
[00:00:00.000 --> 00:00:01.200]  喂,Hello
[00:00:01.200 --> 00:00:03.200]  好,午安,大英姐妹
[00:00:03.200 --> 00:00:04.560]  Hello
[00:00:04.560 --> 00:00:05.760]  午安,大英姐妹
[00:00:05.760 --> 00:00:06.960]  Hello,Kare
[00:00:06.960 --> 00:00:09.160]  是,午安,大英姐妹
[00:00:09.160 --> 00:00:10.360]  午安,午安,午安
[00:00:10.360 --> 00:00:13.360]  是,多謝敬拜隊帶我們一齊來敬拜
[00:00:13.360 --> 00:00:15.640]  多謝Mercy選一首英文歌
[00:00:15.640 --> 00:00:18.760]  我竟然知道有九成是她說甚麼
[00:00:18.760 --> 00:00:21.160]  多謝你選一首淺一點的,讓我去明白
[00:00:21.160 --> 00:00:23.200]  不過真的多謝敬拜隊
[00:00:23.200 --> 00:00:25.600]  為我們預備我們的心
[00:00:25.600 --> 00:00:27.160]  在很忙亂的時候
[00:00:27.160 --> 00:00:29.960]  我們預備一個地方去稱讚上帝
[00:00:29.960 --> 00:00:31.560]  去讚美上帝
[00:00:31.560 --> 00:00:33.040]  和上帝相遇
[00:00:33.040 --> 00:00:35.240]  我想是讓我們能夠輕散的時候
[00:00:35.240 --> 00:00:36.960]  是,我想
[00:00:36.960 --> 00:00:38.760]  希望大家也有一段這樣的時間
[00:00:38.760 --> 00:00:42.240]  可以將我們一切都卸下給主去和祂相遇
[00:00:42.240 --> 00:00:43.640]  進入去講道的時間
[00:00:43.640 --> 00:00:45.840]  今天講道的題目叫做
[00:00:45.840 --> 00:00:49.760]  路見不易,拔刀相助
[00:00:49.760 --> 00:00:51.360]  我想問你一個問題
[00:00:51.360 --> 00:00:54.640]  你有多相信這一句話
[00:00:54.640 --> 00:00:58.840]  這句話叫做善惡到頭終有報
[00:00:58.840 --> 00:01:02.240]  即是說,如果你做了好事
[00:01:02.240 --> 00:01:04.160]  嘩!馬上就有獎了
[00:01:04.160 --> 00:01:06.160]  但如果你做了壞事
[00:01:06.160 --> 00:01:08.160]  就沒有了
[00:01:08.160 --> 00:01:10.360]  如果你相信和不相信
[00:01:10.360 --> 00:01:11.960]  會影響到甚麼呢
[00:01:11.960 --> 00:01:16.360]  會影響到你今天選擇行善或行惡
[00:01:16.360 --> 00:01:18.360]  或者選擇甚麼都不做
[00:01:18.360 --> 00:01:20.360]  如果你相信,你當然多做好事
[00:01:20.360 --> 00:01:21.760]  少做壞事
[00:01:21.760 --> 00:01:23.360]  如果你不相信,隨便吧
[00:01:23.360 --> 00:01:25.960]  甚麼都好,甚麼都無所謂
